Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,34.0,36.0,32.0,36.0,33.0
144,32.0,32.0,27.0,31.0,30.0
145,30.0,33.0,30.0,35.0,34.0
146,34.0,37.0,32.0,32.0,34.0
147,32.0,31.0,27.0,30.0,28.0
148,30.0,32.0,30.0,36.0,33.0
149,33.0,36.0,32.0,36.0,33.0
150,33.0,32.0,27.0,31.0,29.0
151,31.0,33.0,31.0,35.0,34.0
152,34.0,37.0,33.0,37.0,34.0
153,28.0,29.0,28.0,29.0,28.0
154,32.0,32.0,30.0,31.0,32.0
155,34.0,35.0,31.0,31.0,34.0
156,31.0,30.0,26.0,29.0,27.0
157,30.0,31.0,29.0,36.0,32.0
158,32.0,35.0,31.0,35.0,32.0
159,32.0,31.0,26.0,30.0,28.0
160,31.0,32.0,30.0,35.0,33.0
161,33.0,36.0,32.0,36.0,33.0
162,28.0,29.0,27.0,29.0,27.0
163,32.0,31.0,30.0,31.0,31.0
164,34.0,34.0,31.0,31.0,33.0
165,29.0,29.0,25.0,29.0,28.0
166,30.0,30.0,28.0,30.0,31.0
167,35.0,34.0,31.0,31.0,32.0
