Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,44.0,44.0,44.0,44.0,45.0,44.0,43.0
1,41.0,43.0,42.0,39.0,46.0,39.0,44.0
2,39.0,44.0,42.0,41.0,45.0,41.0,44.0
3,43.0,43.0,44.0,43.0,46.0,43.0,43.0
4,40.0,42.0,44.0,39.0,45.0,38.0,44.0
5,40.0,43.0,46.0,40.0,46.0,40.0,44.0
6,44.0,44.0,44.0,44.0,47.0,44.0,44.0
7,41.0,43.0,44.0,40.0,44.0,39.0,45.0
8,41.0,41.0,42.0,41.0,46.0,41.0,44.0
9,44.0,44.0,44.0,45.0,45.0,44.0,43.0
10,40.0,42.0,41.0,46.0,44.0,39.0,43.0
11,42.0,44.0,42.0,47.0,44.0,41.0,44.0
12,43.0,43.0,43.0,44.0,44.0,44.0,43.0
13,45.0,45.0,45.0,45.0,45.0,45.0,44.0
14,45.0,45.0,45.0,46.0,45.0,46.0,44.0
15,44.0,44.0,44.0,44.0,45.0,44.0,44.0
16,46.0,46.0,46.0,45.0,45.0,45.0,45.0
17,46.0,46.0,46.0,46.0,45.0,46.0,45.0
18,43.0,43.0,44.0,45.0,45.0,45.0,44.0
19,40.0,42.0,46.0,42.0,44.0,39.0,44.0
20,40.0,42.0,46.0,40.0,46.0,40.0,45.0
21,43.0,43.0,43.0,46.0,46.0,46.0,44.0
22,40.0,43.0,44.0,43.0,45.0,40.0,45.0
23,41.0,41.0,44.0,41.0,47.0,41.0,46.0
24,43.0,43.0,44.0,45.0,45.0,43.0,43.0
25,42.0,42.0,44.0,46.0,43.0,39.0,43.0
26,42.0,43.0,46.0,47.0,45.0,40.0,44.0
27,42.0,42.0,43.0,45.0,45.0,45.0,45.0
28,47.0,47.0,47.0,46.0,47.0,45.0,47.0
29,47.0,47.0,47.0,46.0,46.0,46.0,44.0
30,43.0,43.0,43.0,45.0,46.0,45.0,43.0
31,48.0,48.0,48.0,46.0,48.0,45.0,45.0
32,48.0,48.0,48.0,46.0,45.0,46.0,45.0
33,44.0,44.0,44.0,47.0,45.0,47.0,45.0
34,41.0,42.0,41.0,44.0,46.0,41.0,46.0
35,42.0,42.0,44.0,42.0,47.0,42.0,47.0
36,44.0,44.0,44.0,45.0,46.0,44.0,44.0
37,41.0,42.0,44.0,47.0,44.0,40.0,44.0
38,41.0,41.0,42.0,46.0,45.0,41.0,44.0
39,43.0,43.0,43.0,46.0,45.0,46.0,45.0
40,45.0,45.0,45.0,47.0,47.0,46.0,47.0
41,45.0,45.0,45.0,45.0,47.0,45.0,45.0
42,44.0,44.0,44.0,46.0,46.0,46.0,44.0
43,46.0,46.0,46.0,47.0,48.0,46.0,46.0
44,46.0,46.0,46.0,45.0,46.0,45.0,45.0
45,44.0,44.0,44.0,46.0,44.0,44.0,45.0
46,41.0,44.0,44.0,45.0,44.0,38.0,45.0
47,42.0,45.0,44.0,47.0,46.0,41.0,44.0
48,43.0,43.0,43.0,46.0,45.0,46.0,45.0
49,45.0,45.0,45.0,46.0,44.0,44.0,46.0
50,45.0,45.0,45.0,47.0,45.0,46.0,45.0
51,44.0,44.0,44.0,47.0,44.0,47.0,45.0
52,46.0,46.0,46.0,47.0,45.0,44.0,45.0
53,46.0,46.0,46.0,47.0,45.0,46.0,46.0
54,42.0,42.0,42.0,45.0,45.0,45.0,46.0
55,44.0,44.0,44.0,46.0,46.0,43.0,46.0
