Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,56.0,56.0,56.0,53.0,53.0,54.0,55.0,54.0,54.0,54.0
75,55.0,55.0,58.0,56.0,55.0,52.0,58.0,54.0,54.0,54.0
76,55.0,55.0,55.0,56.0,55.0,48.0,56.0,55.0,55.0,54.0
77,55.0,55.0,55.0,54.0,54.0,48.0,56.0,54.0,54.0,54.0
78,58.0,58.0,62.0,62.0,62.0,55.0,59.0,54.0,54.0,54.0
79,54.0,54.0,57.0,58.0,57.0,52.0,61.0,54.0,54.0,54.0
80,54.0,54.0,57.0,58.0,58.0,52.0,56.0,54.0,54.0,54.0
81,63.0,63.0,63.0,56.0,56.0,60.0,54.0,53.0,53.0,53.0
82,52.0,52.0,55.0,55.0,55.0,56.0,54.0,52.0,52.0,52.0
83,58.0,58.0,58.0,52.0,52.0,56.0,50.0,53.0,53.0,53.0
84,62.0,62.0,62.0,56.0,55.0,59.0,59.0,57.0,57.0,57.0
85,55.0,55.0,55.0,59.0,59.0,55.0,56.0,59.0,59.0,59.0
86,57.0,57.0,57.0,53.0,53.0,55.0,56.0,54.0,54.0,54.0
87,56.0,56.0,59.0,57.0,56.0,53.0,59.0,54.0,54.0,54.0
88,56.0,56.0,56.0,56.0,55.0,49.0,57.0,55.0,55.0,54.0
89,56.0,56.0,56.0,54.0,54.0,49.0,57.0,54.0,54.0,54.0
90,53.0,53.0,54.0,54.0,54.0,53.0,55.0,52.0,52.0,52.0
91,50.0,50.0,55.0,47.0,48.0,50.0,57.0,48.0,48.0,48.0
92,51.0,51.0,56.0,51.0,51.0,48.0,52.0,49.0,49.0,49.0
93,59.0,59.0,59.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0
94,53.0,53.0,58.0,53.0,53.0,58.0,56.0,51.0,54.0,51.0
95,53.0,53.0,55.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0
96,60.0,60.0,60.0,53.0,53.0,53.0,55.0,53.0,53.0,53.0
97,54.0,54.0,59.0,51.0,51.0,54.0,54.0,50.0,54.0,50.0
98,54.0,54.0,56.0,54.0,54.0,54.0,55.0,54.0,54.0,54.0
99,58.0,58.0,58.0,52.0,52.0,52.0,58.0,57.0,57.0,57.0
100,52.0,52.0,57.0,53.0,52.0,57.0,57.0,54.0,54.0,54.0
101,52.0,52.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0
102,59.0,59.0,59.0,53.0,52.0,53.0,59.0,58.0,58.0,58.0
103,53.0,53.0,58.0,54.0,53.0,53.0,58.0,55.0,55.0,55.0
104,53.0,53.0,55.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0
105,54.0,54.0,54.0,54.0,53.0,48.0,55.0,54.0,54.0,53.0
106,49.0,49.0,54.0,51.0,52.0,48.0,54.0,51.0,55.0,50.0
107,49.0,49.0,54.0,52.0,51.0,47.0,54.0,51.0,51.0,50.0
108,59.0,59.0,58.0,62.0,62.0,51.0,56.0,53.0,53.0,53.0
109,55.0,55.0,49.0,52.0,51.0,45.0,53.0,50.0,50.0,50.0
110,55.0,55.0,53.0,51.0,51.0,45.0,49.0,50.0,50.0,50.0
111,64.0,64.0,64.0,56.0,56.0,56.0,55.0,52.0,52.0,52.0
112,53.0,53.0,55.0,51.0,51.0,51.0,54.0,48.0,48.0,48.0
113,59.0,59.0,59.0,49.0,49.0,48.0,50.0,48.0,48.0,48.0
114,63.0,63.0,63.0,56.0,55.0,55.0,60.0,53.0,53.0,53.0
115,55.0,55.0,55.0,59.0,59.0,50.0,57.0,55.0,55.0,55.0
116,58.0,58.0,58.0,53.0,53.0,47.0,57.0,54.0,54.0,54.0
117,57.0,57.0,57.0,57.0,56.0,49.0,55.0,53.0,53.0,53.0
118,56.0,56.0,56.0,55.0,54.0,46.0,57.0,55.0,55.0,54.0
119,56.0,56.0,56.0,54.0,54.0,46.0,57.0,54.0,54.0,54.0
120,54.0,54.0,54.0,50.0,51.0,50.0,55.0,49.0,49.0,49.0
121,51.0,51.0,55.0,46.0,48.0,48.0,57.0,48.0,48.0,48.0
