Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,46.0,47.0,47.0,46.0,45.0
144,45.0,46.0,46.0,45.0,44.0
145,47.0,48.0,48.0,47.0,45.0
146,47.0,48.0,48.0,47.0,46.0
147,43.0,44.0,44.0,43.0,42.0
148,45.0,46.0,46.0,45.0,43.0
149,45.0,46.0,46.0,45.0,44.0
150,44.0,45.0,45.0,44.0,43.0
151,46.0,47.0,47.0,46.0,44.0
152,46.0,47.0,47.0,46.0,45.0
153,45.0,46.0,46.0,45.0,44.0
154,47.0,48.0,48.0,47.0,45.0
155,47.0,48.0,48.0,47.0,46.0
156,42.0,43.0,43.0,42.0,41.0
157,44.0,45.0,45.0,44.0,42.0
158,44.0,45.0,45.0,44.0,43.0
159,43.0,44.0,44.0,43.0,42.0
160,45.0,46.0,46.0,45.0,43.0
161,45.0,46.0,46.0,45.0,44.0
162,44.0,45.0,45.0,44.0,43.0
163,46.0,47.0,47.0,46.0,44.0
164,46.0,47.0,47.0,46.0,45.0
165,44.0,45.0,45.0,44.0,44.0
166,46.0,47.0,47.0,46.0,43.0
167,46.0,47.0,47.0,46.0,46.0
