Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
92,45.0,43.0,45.0,45.0,44.0,49.0,48.0,46.0
93,42.0,42.0,41.0,41.0,45.0,47.0,45.0,46.0
94,48.0,47.0,47.0,47.0,47.0,48.0,44.0,47.0
95,45.0,46.0,45.0,45.0,46.0,49.0,48.0,46.0
96,42.0,41.0,41.0,41.0,45.0,47.0,46.0,46.0
97,47.0,47.0,47.0,47.0,47.0,48.0,44.0,47.0
98,44.0,47.0,43.0,43.0,46.0,49.0,48.0,46.0
99,41.0,42.0,40.0,40.0,44.0,46.0,44.0,46.0
100,47.0,46.0,46.0,46.0,46.0,47.0,43.0,47.0
101,44.0,46.0,44.0,44.0,45.0,48.0,47.0,46.0
102,42.0,42.0,41.0,41.0,44.0,46.0,45.0,46.0
103,46.0,46.0,46.0,46.0,46.0,47.0,43.0,47.0
104,44.0,47.0,43.0,43.0,45.0,48.0,48.0,46.0
105,41.0,41.0,41.0,41.0,41.0,42.0,42.0,45.0
106,42.0,43.0,42.0,42.0,42.0,43.0,43.0,47.0
107,42.0,47.0,43.0,43.0,43.0,44.0,48.0,44.0
108,36.0,39.0,36.0,36.0,42.0,39.0,39.0,42.0
109,37.0,40.0,37.0,37.0,43.0,40.0,40.0,43.0
110,42.0,44.0,40.0,40.0,43.0,40.0,43.0,43.0
111,40.0,39.0,36.0,36.0,41.0,43.0,39.0,43.0
112,42.0,43.0,39.0,39.0,44.0,44.0,40.0,44.0
113,45.0,45.0,41.0,41.0,43.0,44.0,45.0,46.0
114,40.0,39.0,36.0,36.0,41.0,42.0,39.0,43.0
115,42.0,42.0,38.0,38.0,44.0,43.0,40.0,44.0
116,45.0,45.0,41.0,41.0,45.0,44.0,45.0,46.0
117,36.0,39.0,36.0,36.0,42.0,38.0,39.0,43.0
118,37.0,40.0,37.0,37.0,44.0,40.0,40.0,44.0
119,41.0,45.0,41.0,41.0,46.0,42.0,45.0,44.0
120,40.0,38.0,35.0,35.0,42.0,43.0,39.0,43.0
121,45.0,44.0,40.0,40.0,43.0,44.0,40.0,44.0
