Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,42.0,40.0,39.0,40.0,45.0,45.0,45.0,40.0,40.0,45.0,40.0,45.0
63,32.0,31.0,37.0,37.0,37.0,37.0,37.0,36.0,37.0,37.0,37.0,42.0
64,33.0,32.0,38.0,33.0,38.0,32.0,32.0,33.0,38.0,38.0,38.0,38.0
65,34.0,33.0,39.0,33.0,39.0,33.0,33.0,33.0,39.0,39.0,39.0,41.0
66,33.0,31.0,37.0,38.0,38.0,38.0,38.0,37.0,38.0,38.0,38.0,43.0
67,34.0,33.0,38.0,33.0,39.0,32.0,32.0,33.0,39.0,38.0,39.0,39.0
68,35.0,33.0,39.0,34.0,40.0,34.0,33.0,33.0,40.0,40.0,40.0,42.0
69,38.0,37.0,37.0,43.0,37.0,38.0,37.0,42.0,38.0,43.0,37.0,41.0
70,39.0,38.0,38.0,38.0,40.0,34.0,33.0,38.0,39.0,40.0,40.0,41.0
71,40.0,39.0,39.0,39.0,39.0,34.0,34.0,39.0,40.0,39.0,39.0,43.0
72,45.0,42.0,37.0,43.0,42.0,43.0,42.0,42.0,37.0,42.0,37.0,42.0
73,38.0,43.0,37.0,39.0,39.0,39.0,38.0,38.0,38.0,39.0,39.0,44.0
74,39.0,44.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,48.0
75,40.0,37.0,37.0,38.0,43.0,43.0,43.0,37.0,37.0,42.0,37.0,43.0
76,33.0,38.0,38.0,39.0,38.0,38.0,38.0,39.0,38.0,38.0,39.0,44.0
77,34.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,49.0
78,34.0,31.0,38.0,39.0,39.0,39.0,39.0,37.0,39.0,39.0,39.0,44.0
79,35.0,34.0,38.0,33.0,40.0,32.0,32.0,33.0,39.0,39.0,40.0,38.0
80,36.0,34.0,40.0,35.0,41.0,35.0,34.0,33.0,41.0,41.0,41.0,42.0
81,39.0,37.0,38.0,44.0,38.0,39.0,38.0,43.0,39.0,44.0,38.0,42.0
82,39.0,39.0,38.0,38.0,41.0,35.0,34.0,38.0,39.0,41.0,41.0,42.0
83,41.0,39.0,40.0,40.0,40.0,35.0,34.0,39.0,41.0,40.0,40.0,43.0
84,46.0,42.0,37.0,44.0,43.0,44.0,43.0,43.0,38.0,43.0,37.0,42.0
85,38.0,44.0,37.0,40.0,40.0,40.0,39.0,38.0,38.0,40.0,40.0,45.0
86,40.0,44.0,39.0,40.0,39.0,40.0,39.0,39.0,40.0,39.0,39.0,48.0
87,41.0,37.0,37.0,39.0,44.0,44.0,44.0,38.0,38.0,42.0,38.0,43.0
88,33.0,39.0,38.0,39.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,44.0
89,35.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,40.0,40.0,40.0,49.0
90,38.0,37.0,38.0,42.0,38.0,38.0,37.0,41.0,38.0,42.0,38.0,42.0
91,41.0,38.0,40.0,40.0,40.0,35.0,33.0,38.0,41.0,40.0,40.0,43.0
92,40.0,39.0,39.0,39.0,40.0,34.0,34.0,39.0,40.0,39.0,40.0,40.0
93,44.0,42.0,38.0,42.0,42.0,43.0,42.0,42.0,38.0,42.0,38.0,43.0
94,40.0,43.0,39.0,45.0,40.0,40.0,38.0,43.0,40.0,45.0,40.0,48.0
95,40.0,44.0,39.0,44.0,39.0,39.0,39.0,44.0,39.0,44.0,39.0,45.0
96,39.0,37.0,38.0,43.0,42.0,42.0,42.0,43.0,38.0,43.0,38.0,43.0
97,39.0,38.0,38.0,44.0,41.0,40.0,39.0,44.0,39.0,44.0,41.0,49.0
98,40.0,39.0,39.0,44.0,40.0,40.0,40.0,44.0,40.0,44.0,40.0,44.0
99,44.0,43.0,37.0,42.0,41.0,42.0,42.0,42.0,37.0,46.0,41.0,42.0
100,47.0,42.0,38.0,45.0,44.0,45.0,43.0,43.0,39.0,44.0,39.0,47.0
101,46.0,44.0,38.0,44.0,43.0,44.0,44.0,44.0,38.0,43.0,38.0,44.0
102,45.0,44.0,37.0,43.0,42.0,43.0,43.0,43.0,37.0,47.0,42.0,43.0
103,46.0,43.0,37.0,44.0,45.0,45.0,44.0,44.0,38.0,43.0,40.0,48.0
104,47.0,44.0,39.0,44.0,44.0,45.0,45.0,44.0,39.0,44.0,39.0,45.0
105,40.0,39.0,37.0,38.0,43.0,43.0,43.0,38.0,37.0,42.0,43.0,43.0
106,41.0,38.0,37.0,39.0,44.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0
107,42.0,39.0,39.0,39.0,45.0,45.0,45.0,39.0,39.0,44.0,40.0,44.0
108,35.0,31.0,37.0,40.0,40.0,40.0,40.0,37.0,37.0,40.0,40.0,41.0
109,33.0,32.0,38.0,33.0,38.0,32.0,32.0,33.0,38.0,39.0,38.0,34.0
110,37.0,33.0,38.0,36.0,42.0,36.0,35.0,33.0,39.0,42.0,42.0,38.0
111,40.0,37.0,39.0,45.0,39.0,40.0,39.0,43.0,40.0,45.0,39.0,39.0
112,39.0,38.0,38.0,38.0,42.0,36.0,35.0,38.0,39.0,42.0,42.0,38.0
113,42.0,39.0,41.0,41.0,41.0,36.0,34.0,39.0,42.0,41.0,41.0,39.0
114,47.0,42.0,38.0,45.0,44.0,45.0,44.0,43.0,39.0,44.0,38.0,38.0
115,38.0,43.0,37.0,41.0,41.0,41.0,40.0,38.0,38.0,41.0,41.0,42.0
116,41.0,44.0,40.0,41.0,40.0,41.0,39.0,39.0,41.0,40.0,40.0,44.0
117,42.0,37.0,37.0,40.0,45.0,45.0,45.0,38.0,37.0,42.0,39.0,39.0
118,33.0,38.0,38.0,39.0,38.0,38.0,38.0,39.0,39.0,39.0,38.0,40.0
119,36.0,39.0,39.0,39.0,41.0,41.0,40.0,39.0,39.0,41.0,41.0,45.0
120,39.0,38.0,38.0,43.0,39.0,39.0,38.0,42.0,39.0,43.0,39.0,39.0
121,42.0,39.0,41.0,41.0,41.0,36.0,34.0,39.0,42.0,41.0,41.0,39.0
122,41.0,40.0,40.0,40.0,41.0,35.0,35.0,40.0,41.0,40.0,41.0,36.0
123,45.0,43.0,38.0,43.0,43.0,44.0,43.0,43.0,38.0,43.0,38.0,39.0
124,41.0,44.0,40.0,46.0,41.0,41.0,39.0,44.0,41.0,46.0,41.0,44.0
125,40.0,45.0,39.0,45.0,40.0,40.0,40.0,45.0,40.0,45.0,40.0,41.0
126,40.0,38.0,38.0,43.0,43.0,43.0,43.0,42.0,39.0,43.0,39.0,39.0
127,39.0,39.0,39.0,44.0,42.0,41.0,40.0,44.0,39.0,44.0,42.0,45.0
128,40.0,40.0,39.0,44.0,41.0,40.0,40.0,44.0,41.0,44.0,41.0,40.0
129,45.0,44.0,37.0,43.0,42.0,43.0,43.0,43.0,37.0,47.0,41.0,38.0
130,48.0,43.0,39.0,46.0,45.0,46.0,44.0,44.0,40.0,45.0,40.0,43.0
131,47.0,44.0,38.0,45.0,44.0,45.0,45.0,45.0,39.0,44.0,39.0,40.0
132,45.0,45.0,37.0,43.0,43.0,44.0,43.0,42.0,38.0,48.0,42.0,39.0
133,46.0,43.0,38.0,44.0,46.0,46.0,45.0,44.0,39.0,44.0,41.0,44.0
134,47.0,45.0,39.0,44.0,45.0,45.0,45.0,44.0,40.0,45.0,40.0,41.0
135,40.0,40.0,37.0,38.0,43.0,43.0,43.0,37.0,38.0,43.0,43.0,39.0
136,41.0,38.0,38.0,39.0,44.0,44.0,44.0,39.0,39.0,43.0,39.0,40.0
137,42.0,40.0,39.0,39.0,45.0,45.0,45.0,39.0,40.0,45.0,40.0,40.0
138,40.0,38.0,39.0,43.0,39.0,39.0,39.0,43.0,41.0,45.0,39.0,38.0
139,41.0,40.0,40.0,40.0,41.0,35.0,36.0,40.0,42.0,44.0,41.0,39.0
140,41.0,40.0,40.0,40.0,41.0,35.0,36.0,40.0,42.0,44.0,41.0,39.0
141,45.0,43.0,38.0,44.0,43.0,44.0,44.0,43.0,40.0,49.0,39.0,41.0
142,41.0,45.0,40.0,45.0,40.0,40.0,41.0,45.0,42.0,45.0,40.0,44.0
143,41.0,45.0,40.0,45.0,40.0,40.0,41.0,45.0,42.0,45.0,40.0,44.0
144,40.0,38.0,39.0,43.0,43.0,44.0,44.0,43.0,41.0,43.0,40.0,39.0
145,42.0,40.0,41.0,44.0,41.0,40.0,40.0,44.0,43.0,44.0,41.0,40.0
146,42.0,40.0,41.0,45.0,41.0,40.0,40.0,45.0,43.0,45.0,41.0,40.0
147,46.0,44.0,40.0,44.0,43.0,44.0,43.0,43.0,40.0,49.0,41.0,43.0
148,47.0,44.0,39.0,45.0,44.0,45.0,45.0,45.0,41.0,45.0,40.0,44.0
149,47.0,44.0,39.0,45.0,44.0,45.0,45.0,45.0,41.0,45.0,40.0,45.0
150,46.0,43.0,41.0,44.0,44.0,45.0,44.0,43.0,41.0,47.0,42.0,41.0
151,47.0,45.0,40.0,46.0,45.0,45.0,45.0,44.0,42.0,46.0,41.0,45.0
152,47.0,45.0,40.0,46.0,45.0,45.0,45.0,45.0,42.0,46.0,41.0,44.0
153,41.0,38.0,42.0,43.0,44.0,44.0,44.0,43.0,42.0,43.0,42.0,39.0
154,42.0,40.0,39.0,44.0,45.0,45.0,45.0,44.0,41.0,45.0,42.0,45.0
155,42.0,40.0,39.0,45.0,45.0,45.0,45.0,45.0,41.0,45.0,42.0,44.0
156,45.0,43.0,39.0,43.0,42.0,43.0,42.0,42.0,39.0,48.0,41.0,43.0
157,47.0,45.0,38.0,45.0,44.0,45.0,44.0,44.0,40.0,48.0,42.0,44.0
158,47.0,45.0,38.0,45.0,44.0,45.0,44.0,44.0,40.0,49.0,42.0,45.0
159,46.0,44.0,40.0,44.0,43.0,44.0,43.0,43.0,40.0,48.0,42.0,40.0
160,48.0,46.0,39.0,46.0,45.0,46.0,44.0,44.0,41.0,49.0,43.0,44.0
161,48.0,46.0,39.0,46.0,45.0,46.0,45.0,45.0,41.0,50.0,43.0,43.0
162,45.0,43.0,41.0,43.0,44.0,45.0,43.0,43.0,41.0,47.0,43.0,41.0
163,46.0,45.0,38.0,44.0,46.0,46.0,45.0,44.0,40.0,48.0,44.0,44.0
164,47.0,45.0,39.0,45.0,46.0,46.0,45.0,45.0,40.0,48.0,44.0,43.0
165,40.0,38.0,37.0,38.0,43.0,43.0,43.0,38.0,37.0,42.0,42.0,38.0
166,41.0,40.0,38.0,39.0,44.0,44.0,44.0,39.0,39.0,44.0,44.0,40.0
167,42.0,40.0,38.0,40.0,45.0,45.0,45.0,40.0,39.0,44.0,44.0,40.0
