Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,46.0,42.0,45.0,46.0,47.0,42.0,42.0,48.0,48.0,48.0,48.0,46.0,46.0,48.0,49.0
51,42.0,41.0,40.0,44.0,41.0,40.0,41.0,46.0,46.0,46.0,46.0,44.0,43.0,43.0,48.0
52,46.0,47.0,45.0,48.0,45.0,43.0,47.0,48.0,48.0,48.0,48.0,45.0,45.0,48.0,50.0
53,46.0,43.0,45.0,47.0,46.0,42.0,43.0,48.0,48.0,48.0,48.0,46.0,46.0,48.0,50.0
54,41.0,40.0,39.0,44.0,40.0,39.0,40.0,45.0,45.0,46.0,46.0,43.0,43.0,42.0,47.0
55,44.0,45.0,43.0,46.0,43.0,43.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,46.0,48.0
56,45.0,42.0,44.0,45.0,46.0,42.0,42.0,47.0,47.0,47.0,47.0,48.0,48.0,47.0,48.0
57,41.0,40.0,39.0,43.0,41.0,39.0,40.0,45.0,45.0,45.0,45.0,44.0,44.0,42.0,47.0
58,45.0,46.0,44.0,47.0,44.0,43.0,46.0,47.0,47.0,47.0,47.0,45.0,45.0,47.0,49.0
59,46.0,42.0,44.0,46.0,47.0,42.0,42.0,47.0,47.0,47.0,47.0,49.0,49.0,47.0,49.0
60,41.0,40.0,39.0,39.0,40.0,39.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,42.0,45.0
61,44.0,43.0,42.0,43.0,44.0,43.0,43.0,46.0,46.0,46.0,46.0,46.0,46.0,44.0,46.0
62,43.0,43.0,41.0,42.0,43.0,42.0,43.0,47.0,47.0,47.0,47.0,50.0,50.0,44.0,50.0
63,49.0,52.0,47.0,50.0,47.0,50.0,50.0,45.0,45.0,45.0,47.0,48.0,48.0,45.0,52.0
64,51.0,54.0,49.0,52.0,49.0,52.0,52.0,46.0,46.0,46.0,48.0,50.0,50.0,47.0,54.0
65,54.0,54.0,49.0,52.0,53.0,52.0,52.0,47.0,47.0,47.0,49.0,50.0,47.0,47.0,54.0
