Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
28,58.0,58.0,55.0,54.0,58.0,58.0,54.0,58.0,57.0,57.0,57.0
29,59.0,59.0,59.0,59.0,59.0,59.0,58.0,59.0,58.0,58.0,58.0
30,54.0,54.0,55.0,55.0,55.0,53.0,55.0,54.0,53.0,53.0,53.0
31,54.0,59.0,55.0,55.0,59.0,55.0,55.0,55.0,58.0,58.0,58.0
32,56.0,60.0,60.0,60.0,60.0,58.0,59.0,60.0,59.0,59.0,59.0
33,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0
34,52.0,52.0,53.0,53.0,52.0,52.0,52.0,51.0,52.0,54.0,52.0
35,53.0,52.0,51.0,51.0,51.0,53.0,50.0,51.0,50.0,54.0,50.0
36,58.0,55.0,53.0,53.0,54.0,58.0,52.0,54.0,52.0,54.0,51.0
37,59.0,55.0,53.0,54.0,55.0,59.0,52.0,59.0,53.0,54.0,52.0
38,60.0,56.0,53.0,53.0,55.0,60.0,52.0,55.0,53.0,53.0,53.0
39,57.0,54.0,56.0,54.0,54.0,59.0,53.0,54.0,52.0,53.0,53.0
40,58.0,59.0,55.0,55.0,59.0,58.0,53.0,58.0,58.0,58.0,58.0
41,59.0,59.0,59.0,59.0,59.0,59.0,58.0,59.0,58.0,58.0,58.0
42,54.0,54.0,55.0,55.0,55.0,53.0,54.0,54.0,53.0,53.0,53.0
43,55.0,60.0,55.0,55.0,60.0,54.0,54.0,55.0,59.0,59.0,59.0
44,56.0,60.0,60.0,60.0,60.0,58.0,59.0,60.0,59.0,59.0,59.0
45,57.0,56.0,53.0,53.0,56.0,57.0,52.0,54.0,53.0,54.0,52.0
46,60.0,56.0,53.0,55.0,54.0,60.0,52.0,54.0,56.0,54.0,53.0
47,57.0,57.0,52.0,52.0,51.0,57.0,50.0,51.0,55.0,55.0,53.0
48,59.0,55.0,57.0,54.0,55.0,59.0,53.0,54.0,54.0,56.0,52.0
49,60.0,59.0,59.0,59.0,59.0,60.0,58.0,54.0,58.0,58.0,58.0
50,61.0,57.0,56.0,56.0,56.0,61.0,55.0,55.0,56.0,56.0,55.0
51,57.0,55.0,54.0,54.0,55.0,57.0,53.0,54.0,53.0,54.0,53.0
52,60.0,60.0,60.0,60.0,60.0,60.0,59.0,55.0,59.0,59.0,59.0
53,60.0,56.0,56.0,56.0,57.0,60.0,55.0,55.0,55.0,55.0,54.0
54,58.0,54.0,56.0,54.0,54.0,58.0,52.0,54.0,53.0,55.0,51.0
55,59.0,58.0,58.0,58.0,58.0,59.0,57.0,54.0,57.0,57.0,57.0
56,60.0,56.0,58.0,56.0,56.0,61.0,54.0,55.0,55.0,55.0,55.0
57,57.0,54.0,57.0,54.0,55.0,58.0,53.0,54.0,52.0,53.0,52.0
58,59.0,59.0,59.0,59.0,59.0,59.0,58.0,55.0,58.0,58.0,58.0
59,59.0,56.0,59.0,56.0,57.0,60.0,55.0,55.0,54.0,54.0,54.0
60,54.0,54.0,54.0,54.0,55.0,54.0,53.0,54.0,53.0,53.0,53.0
61,55.0,60.0,55.0,55.0,60.0,54.0,54.0,52.0,59.0,59.0,59.0
62,56.0,56.0,56.0,56.0,57.0,58.0,55.0,55.0,55.0,55.0,54.0
63,52.0,53.0,53.0,53.0,53.0,52.0,53.0,51.0,51.0,53.0,53.0
64,53.0,51.0,53.0,53.0,51.0,55.0,53.0,50.0,51.0,52.0,51.0
65,52.0,51.0,51.0,52.0,50.0,54.0,50.0,50.0,50.0,53.0,51.0
66,52.0,53.0,54.0,54.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0
67,53.0,51.0,52.0,52.0,51.0,55.0,52.0,50.0,52.0,53.0,52.0
68,52.0,50.0,52.0,52.0,50.0,54.0,50.0,51.0,50.0,54.0,51.0
69,57.0,53.0,54.0,54.0,54.0,57.0,52.0,54.0,52.0,54.0,52.0
70,58.0,54.0,53.0,53.0,53.0,58.0,52.0,58.0,53.0,53.0,52.0
71,59.0,54.0,58.0,58.0,53.0,59.0,52.0,55.0,53.0,53.0,53.0
72,56.0,53.0,57.0,53.0,54.0,58.0,53.0,54.0,52.0,53.0,53.0
73,57.0,57.0,54.0,53.0,57.0,57.0,53.0,57.0,57.0,57.0,57.0
74,58.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
75,53.0,53.0,54.0,54.0,54.0,52.0,54.0,53.0,53.0,53.0,53.0
76,56.0,58.0,54.0,54.0,58.0,56.0,54.0,54.0,58.0,58.0,58.0
77,55.0,59.0,59.0,59.0,59.0,57.0,59.0,59.0,59.0,59.0,59.0
78,52.0,52.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
79,51.0,51.0,52.0,52.0,51.0,52.0,52.0,50.0,52.0,54.0,52.0
80,52.0,51.0,52.0,52.0,50.0,52.0,50.0,51.0,50.0,54.0,50.0
81,57.0,54.0,54.0,54.0,53.0,57.0,52.0,54.0,52.0,54.0,51.0
82,58.0,54.0,53.0,53.0,54.0,58.0,52.0,58.0,53.0,54.0,52.0
83,59.0,55.0,58.0,58.0,54.0,59.0,52.0,55.0,53.0,53.0,53.0
84,56.0,53.0,57.0,53.0,53.0,58.0,53.0,54.0,52.0,53.0,53.0
85,57.0,58.0,54.0,54.0,58.0,57.0,53.0,57.0,58.0,58.0,58.0
86,58.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
87,53.0,53.0,54.0,54.0,54.0,53.0,54.0,53.0,53.0,53.0,53.0
88,57.0,59.0,54.0,54.0,59.0,57.0,54.0,54.0,59.0,59.0,59.0
89,55.0,59.0,59.0,59.0,59.0,57.0,59.0,59.0,59.0,59.0,59.0
90,56.0,55.0,54.0,54.0,55.0,56.0,52.0,55.0,53.0,54.0,52.0
91,59.0,55.0,58.0,58.0,54.0,59.0,52.0,56.0,55.0,54.0,53.0
92,56.0,56.0,54.0,54.0,55.0,57.0,50.0,56.0,55.0,55.0,53.0
93,58.0,54.0,58.0,54.0,54.0,58.0,53.0,55.0,54.0,55.0,52.0
94,59.0,58.0,59.0,58.0,58.0,59.0,58.0,57.0,58.0,58.0,58.0
95,60.0,56.0,58.0,58.0,56.0,60.0,55.0,60.0,56.0,56.0,54.0
96,57.0,54.0,54.0,54.0,54.0,57.0,53.0,55.0,53.0,54.0,53.0
97,59.0,59.0,59.0,59.0,59.0,59.0,59.0,58.0,59.0,59.0,59.0
98,59.0,56.0,58.0,55.0,56.0,59.0,55.0,60.0,55.0,55.0,54.0
99,57.0,53.0,57.0,53.0,54.0,57.0,52.0,55.0,53.0,54.0,51.0
100,58.0,57.0,58.0,57.0,57.0,58.0,57.0,56.0,57.0,57.0,57.0
101,59.0,57.0,59.0,58.0,57.0,60.0,54.0,60.0,55.0,55.0,54.0
102,56.0,53.0,56.0,53.0,54.0,57.0,53.0,55.0,52.0,53.0,52.0
103,58.0,58.0,58.0,58.0,58.0,58.0,58.0,57.0,58.0,58.0,58.0
104,58.0,58.0,58.0,55.0,58.0,59.0,55.0,59.0,54.0,54.0,54.0
105,54.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0
106,57.0,59.0,54.0,54.0,59.0,57.0,54.0,53.0,59.0,59.0,59.0
