Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,51.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,51.0,50.0,50.0,50.0,50.0,50.0
51,50.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,50.0,49.0,48.0,48.0,49.0,49.0
52,51.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,50.0,50.0
53,52.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,52.0,50.0,50.0,50.0,49.0,49.0
54,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,50.0,48.0,48.0,48.0,50.0,50.0
55,50.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,50.0,48.0,48.0,48.0,49.0,49.0
56,51.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,51.0,49.0,49.0,49.0,49.0,49.0
57,51.0,49.0,46.0,46.0,46.0,46.0,46.0,46.0,48.0,51.0,48.0,48.0,48.0,48.0,48.0
58,51.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,51.0,49.0,49.0,49.0,50.0,50.0
59,52.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,52.0,50.0,50.0,50.0,48.0,48.0
60,50.0,48.0,47.0,46.0,46.0,46.0,47.0,47.0,48.0,50.0,48.0,47.0,47.0,48.0,48.0
61,50.0,48.0,50.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,50.0,49.0
62,51.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,51.0,49.0,48.0,48.0,45.0,45.0
63,47.0,47.0,48.0,48.0,46.0,46.0,46.0,46.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0
64,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,47.0,49.0,49.0,49.0,48.0,48.0
65,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
66,48.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
67,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,48.0,48.0
68,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0
69,49.0,50.0,48.0,48.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0
70,49.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0,49.0,49.0,49.0,49.0,49.0
71,49.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0
72,48.0,49.0,47.0,47.0,46.0,46.0,46.0,46.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0
73,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,48.0,48.0
74,48.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0
75,47.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,48.0,48.0
76,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
77,49.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0
78,48.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
79,48.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
80,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,50.0,48.0,48.0,48.0,48.0,48.0
81,49.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,49.0,48.0,48.0,48.0,47.0,47.0
82,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,49.0,49.0
83,49.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0
84,48.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0
85,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0
86,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0
87,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0
