Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,55.0,55.0,55.0,55.0,56.0,54.0
1,55.0,55.0,55.0,55.0,51.0,48.0
2,51.0,51.0,51.0,50.0,52.0,48.0
3,54.0,54.0,54.0,54.0,55.0,54.0
4,54.0,54.0,54.0,54.0,51.0,48.0
5,51.0,51.0,51.0,51.0,52.0,52.0
6,55.0,55.0,55.0,55.0,56.0,54.0
7,55.0,55.0,55.0,55.0,52.0,48.0
8,51.0,51.0,51.0,51.0,52.0,52.0
9,55.0,55.0,55.0,55.0,55.0,53.0
10,55.0,55.0,55.0,55.0,51.0,52.0
11,51.0,51.0,51.0,51.0,51.0,49.0
12,56.0,56.0,56.0,55.0,55.0,54.0
13,56.0,56.0,56.0,56.0,57.0,55.0
14,56.0,56.0,56.0,56.0,57.0,55.0
15,55.0,55.0,55.0,55.0,56.0,55.0
16,57.0,57.0,57.0,57.0,58.0,56.0
17,57.0,57.0,57.0,57.0,58.0,56.0
18,53.0,53.0,53.0,53.0,54.0,53.0
19,53.0,53.0,53.0,53.0,52.0,47.0
20,50.0,50.0,50.0,50.0,51.0,52.0
21,54.0,54.0,54.0,54.0,55.0,54.0
22,54.0,54.0,54.0,54.0,53.0,47.0
23,51.0,51.0,51.0,51.0,52.0,52.0
24,54.0,54.0,54.0,54.0,54.0,53.0
25,54.0,54.0,54.0,54.0,50.0,52.0
26,51.0,51.0,51.0,51.0,51.0,51.0
27,56.0,56.0,56.0,54.0,55.0,54.0
28,58.0,58.0,58.0,55.0,56.0,55.0
29,56.0,56.0,56.0,56.0,57.0,57.0
30,55.0,55.0,55.0,55.0,56.0,54.0
31,59.0,59.0,59.0,56.0,57.0,55.0
32,57.0,57.0,57.0,57.0,58.0,58.0
33,55.0,55.0,55.0,54.0,55.0,54.0
34,55.0,55.0,55.0,54.0,53.0,47.0
35,50.0,50.0,50.0,50.0,51.0,52.0
36,55.0,55.0,55.0,55.0,55.0,53.0
37,55.0,55.0,55.0,55.0,50.0,52.0
38,52.0,52.0,52.0,52.0,52.0,52.0
39,57.0,57.0,57.0,55.0,55.0,55.0
40,59.0,59.0,59.0,55.0,56.0,55.0
41,57.0,57.0,57.0,57.0,57.0,58.0
42,55.0,55.0,55.0,54.0,56.0,54.0
43,60.0,60.0,60.0,56.0,57.0,55.0
44,57.0,57.0,57.0,56.0,58.0,59.0
45,54.0,54.0,54.0,54.0,53.0,52.0
46,54.0,54.0,54.0,54.0,50.0,52.0
47,53.0,53.0,53.0,53.0,51.0,48.0
48,56.0,56.0,56.0,56.0,55.0,55.0
49,56.0,56.0,56.0,56.0,56.0,58.0
50,58.0,58.0,58.0,58.0,57.0,54.0
51,57.0,57.0,57.0,57.0,56.0,54.0
52,57.0,57.0,57.0,57.0,57.0,59.0
53,59.0,59.0,59.0,59.0,58.0,55.0
54,56.0,56.0,56.0,55.0,55.0,54.0
55,58.0,58.0,58.0,56.0,56.0,57.0
56,57.0,57.0,57.0,57.0,57.0,56.0
57,57.0,57.0,57.0,56.0,56.0,55.0
58,59.0,59.0,59.0,57.0,57.0,58.0
59,58.0,58.0,58.0,58.0,58.0,57.0
60,56.0,56.0,56.0,55.0,56.0,54.0
61,59.0,59.0,59.0,56.0,57.0,55.0
62,57.0,57.0,57.0,57.0,58.0,55.0
63,52.0,52.0,52.0,52.0,53.0,52.0
64,52.0,52.0,52.0,52.0,51.0,46.0
65,49.0,49.0,49.0,49.0,50.0,51.0
66,53.0,53.0,53.0,53.0,54.0,53.0
67,53.0,53.0,53.0,53.0,52.0,46.0
68,50.0,50.0,50.0,50.0,51.0,51.0
69,53.0,53.0,53.0,53.0,53.0,52.0
70,53.0,53.0,53.0,53.0,52.0,51.0
71,50.0,50.0,50.0,50.0,50.0,50.0
72,55.0,55.0,55.0,55.0,55.0,53.0
73,57.0,57.0,57.0,57.0,58.0,54.0
74,55.0,55.0,55.0,55.0,56.0,56.0
75,54.0,54.0,54.0,54.0,55.0,53.0
76,58.0,58.0,58.0,58.0,59.0,54.0
77,56.0,56.0,56.0,56.0,57.0,57.0
78,54.0,54.0,54.0,53.0,54.0,53.0
79,54.0,54.0,54.0,53.0,53.0,46.0
80,50.0,50.0,50.0,50.0,51.0,51.0
81,54.0,54.0,54.0,54.0,54.0,52.0
82,54.0,54.0,54.0,54.0,53.0,51.0
83,51.0,51.0,51.0,51.0,51.0,51.0
84,56.0,56.0,56.0,56.0,56.0,54.0
85,58.0,58.0,58.0,58.0,59.0,54.0
86,56.0,56.0,56.0,56.0,57.0,57.0
87,55.0,55.0,55.0,55.0,56.0,53.0
88,59.0,59.0,59.0,59.0,60.0,54.0
89,57.0,57.0,57.0,57.0,58.0,58.0
90,53.0,53.0,53.0,53.0,52.0,51.0
91,53.0,53.0,53.0,53.0,49.0,51.0
92,52.0,52.0,52.0,52.0,50.0,47.0
93,55.0,55.0,55.0,55.0,54.0,54.0
94,55.0,55.0,55.0,55.0,55.0,57.0
95,57.0,57.0,57.0,57.0,56.0,53.0
96,56.0,56.0,56.0,56.0,55.0,53.0
97,56.0,56.0,56.0,56.0,56.0,58.0
98,58.0,58.0,58.0,58.0,57.0,54.0
99,55.0,55.0,55.0,55.0,55.0,53.0
100,57.0,57.0,57.0,57.0,57.0,56.0
101,56.0,56.0,56.0,56.0,56.0,55.0
102,56.0,56.0,56.0,56.0,56.0,54.0
103,58.0,58.0,58.0,58.0,58.0,57.0
104,57.0,57.0,57.0,57.0,57.0,56.0
105,55.0,55.0,55.0,54.0,55.0,53.0
106,58.0,58.0,58.0,58.0,59.0,54.0
107,56.0,56.0,56.0,56.0,57.0,54.0
108,54.0,54.0,54.0,53.0,54.0,50.0
109,54.0,54.0,54.0,51.0,53.0,43.0
110,50.0,50.0,50.0,48.0,48.0,48.0
111,55.0,55.0,55.0,54.0,54.0,50.0
112,55.0,55.0,55.0,54.0,54.0,48.0
113,50.0,50.0,50.0,50.0,50.0,49.0
114,54.0,54.0,54.0,57.0,57.0,52.0
115,55.0,55.0,55.0,59.0,60.0,51.0
116,55.0,55.0,55.0,54.0,56.0,55.0
117,54.0,54.0,54.0,53.0,55.0,50.0
118,56.0,56.0,56.0,60.0,61.0,51.0
119,56.0,56.0,56.0,55.0,57.0,56.0
120,54.0,54.0,54.0,54.0,53.0,49.0
121,54.0,54.0,54.0,54.0,49.0,49.0
122,51.0,51.0,51.0,51.0,51.0,48.0
123,55.0,55.0,55.0,55.0,55.0,52.0
124,56.0,56.0,56.0,55.0,55.0,55.0
125,56.0,56.0,56.0,56.0,56.0,54.0
126,56.0,56.0,56.0,55.0,56.0,50.0
127,57.0,57.0,57.0,56.0,56.0,56.0
128,57.0,57.0,57.0,56.0,57.0,54.0
129,54.0,54.0,54.0,56.0,56.0,52.0
130,58.0,58.0,58.0,58.0,58.0,54.0
131,56.0,56.0,56.0,56.0,56.0,56.0
132,55.0,55.0,55.0,57.0,57.0,53.0
133,59.0,59.0,59.0,59.0,59.0,55.0
134,57.0,57.0,57.0,57.0,57.0,57.0
135,54.0,54.0,54.0,53.0,55.0,50.0
136,56.0,56.0,56.0,59.0,60.0,51.0
137,56.0,56.0,56.0,55.0,57.0,54.0
138,53.0,53.0,53.0,53.0,52.0,49.0
139,53.0,53.0,53.0,53.0,48.0,48.0
140,52.0,52.0,52.0,52.0,50.0,45.0
141,55.0,55.0,55.0,55.0,55.0,52.0
142,55.0,55.0,55.0,55.0,54.0,54.0
143,57.0,57.0,57.0,57.0,56.0,51.0
144,56.0,56.0,56.0,56.0,56.0,52.0
145,56.0,56.0,56.0,56.0,55.0,54.0
146,58.0,58.0,58.0,58.0,57.0,52.0
147,55.0,55.0,55.0,55.0,54.0,54.0
148,56.0,56.0,56.0,56.0,56.0,56.0
149,57.0,57.0,57.0,57.0,56.0,54.0
150,56.0,56.0,56.0,56.0,55.0,55.0
151,57.0,57.0,57.0,57.0,57.0,57.0
152,58.0,58.0,58.0,58.0,57.0,55.0
153,54.0,54.0,54.0,55.0,56.0,51.0
154,56.0,56.0,56.0,56.0,56.0,54.0
155,56.0,56.0,56.0,56.0,57.0,54.0
156,54.0,54.0,54.0,54.0,54.0,53.0
157,56.0,56.0,56.0,56.0,56.0,55.0
158,56.0,56.0,56.0,56.0,55.0,53.0
159,55.0,55.0,55.0,55.0,55.0,54.0
160,57.0,57.0,57.0,57.0,57.0,56.0
161,57.0,57.0,57.0,57.0,56.0,54.0
162,55.0,55.0,55.0,56.0,56.0,52.0
163,58.0,58.0,58.0,58.0,58.0,54.0
164,57.0,57.0,57.0,57.0,57.0,54.0
165,53.0,53.0,53.0,53.0,54.0,50.0
166,55.0,55.0,55.0,58.0,59.0,51.0
167,58.0,58.0,58.0,55.0,56.0,51.0
