Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,49.0,47.0,47.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0
75,47.0,47.0,45.0,45.0,47.0,45.0,49.0,47.0,47.0,49.0
76,47.0,47.0,47.0,44.0,47.0,45.0,49.0,49.0,49.0,49.0
77,49.0,48.0,47.0,44.0,49.0,45.0,49.0,49.0,49.0,49.0
78,46.0,46.0,45.0,44.0,47.0,44.0,45.0,44.0,44.0,45.0
79,49.0,47.0,47.0,47.0,48.0,47.0,46.0,47.0,47.0,48.0
80,48.0,48.0,47.0,48.0,49.0,48.0,47.0,48.0,48.0,49.0
81,49.0,47.0,48.0,49.0,48.0,49.0,48.0,46.0,46.0,48.0
82,50.0,48.0,49.0,50.0,48.0,50.0,49.0,49.0,49.0,49.0
83,51.0,49.0,49.0,51.0,50.0,51.0,50.0,50.0,50.0,50.0
84,48.0,48.0,47.0,48.0,47.0,48.0,47.0,45.0,45.0,47.0
85,49.0,47.0,48.0,49.0,47.0,49.0,48.0,48.0,48.0,48.0
86,50.0,48.0,48.0,50.0,49.0,50.0,49.0,49.0,49.0,49.0
87,48.0,46.0,46.0,46.0,47.0,46.0,48.0,45.0,45.0,48.0
88,48.0,48.0,48.0,45.0,48.0,46.0,49.0,49.0,49.0,49.0
89,49.0,49.0,48.0,45.0,49.0,46.0,50.0,50.0,50.0,50.0
90,51.0,46.0,51.0,51.0,46.0,51.0,49.0,47.0,47.0,49.0
91,51.0,47.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0
92,49.0,46.0,48.0,49.0,47.0,49.0,48.0,48.0,48.0,48.0
93,50.0,47.0,50.0,50.0,49.0,50.0,48.0,47.0,47.0,48.0
94,51.0,48.0,51.0,51.0,48.0,51.0,50.0,50.0,50.0,50.0
95,48.0,47.0,48.0,48.0,47.0,48.0,47.0,47.0,47.0,47.0
96,50.0,48.0,50.0,49.0,50.0,49.0,48.0,46.0,46.0,48.0
97,50.0,49.0,50.0,50.0,49.0,50.0,49.0,49.0,49.0,49.0
98,48.0,47.0,48.0,47.0,48.0,47.0,48.0,48.0,48.0,48.0
99,49.0,46.0,49.0,49.0,48.0,49.0,47.0,46.0,46.0,47.0
100,50.0,47.0,50.0,50.0,47.0,50.0,49.0,49.0,49.0,49.0
101,48.0,46.0,48.0,48.0,48.0,47.0,46.0,46.0,46.0,46.0
102,49.0,47.0,49.0,48.0,49.0,48.0,47.0,47.0,47.0,47.0
103,49.0,48.0,49.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0
104,48.0,47.0,48.0,46.0,48.0,46.0,47.0,47.0,47.0,47.0
105,48.0,48.0,48.0,43.0,48.0,44.0,48.0,46.0,46.0,48.0
106,47.0,47.0,46.0,43.0,47.0,45.0,48.0,48.0,48.0,48.0
107,48.0,48.0,48.0,42.0,48.0,43.0,45.0,47.0,47.0,45.0
108,45.0,44.0,44.0,43.0,44.0,43.0,44.0,44.0,44.0,44.0
109,46.0,45.0,45.0,43.0,46.0,44.0,45.0,45.0,45.0,45.0
110,47.0,46.0,44.0,44.0,46.0,44.0,46.0,46.0,46.0,46.0
111,48.0,47.0,46.0,49.0,47.0,48.0,47.0,46.0,46.0,47.0
112,49.0,49.0,47.0,48.0,47.0,48.0,47.0,47.0,47.0,47.0
