Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,47.0,47.0,50.0,47.0,49.0,49.0,47.0,50.0,49.0,48.0,49.0,49.0
63,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
64,53.0,53.0,49.0,48.0,49.0,49.0,53.0,49.0,49.0,53.0,53.0,53.0
65,53.0,53.0,54.0,53.0,54.0,53.0,53.0,54.0,54.0,53.0,53.0,53.0
66,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
67,54.0,54.0,50.0,49.0,50.0,49.0,54.0,50.0,50.0,54.0,54.0,54.0
68,54.0,54.0,55.0,54.0,55.0,54.0,54.0,55.0,55.0,54.0,54.0,54.0
69,52.0,52.0,51.0,52.0,50.0,52.0,52.0,51.0,49.0,52.0,52.0,52.0
70,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0
71,49.0,49.0,50.0,49.0,49.0,53.0,49.0,50.0,49.0,49.0,53.0,53.0
72,52.0,52.0,51.0,52.0,51.0,52.0,52.0,51.0,51.0,52.0,52.0,52.0
73,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
74,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
75,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
76,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
77,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
78,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
79,54.0,54.0,50.0,49.0,50.0,49.0,54.0,50.0,50.0,54.0,54.0,54.0
80,54.0,54.0,55.0,54.0,55.0,54.0,54.0,55.0,55.0,54.0,54.0,54.0
81,53.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,50.0,53.0,53.0,53.0
82,54.0,54.0,54.0,53.0,54.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0
83,50.0,50.0,51.0,50.0,50.0,53.0,50.0,51.0,50.0,50.0,53.0,53.0
84,53.0,53.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0
85,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
86,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
87,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
88,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
89,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
90,51.0,51.0,48.0,51.0,47.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0
91,46.0,46.0,49.0,46.0,48.0,52.0,46.0,49.0,48.0,47.0,52.0,52.0
92,49.0,49.0,48.0,49.0,47.0,49.0,49.0,49.0,47.0,49.0,49.0,49.0
93,52.0,52.0,51.0,52.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0
94,48.0,48.0,52.0,48.0,52.0,52.0,48.0,52.0,52.0,49.0,52.0,52.0
95,50.0,50.0,49.0,50.0,49.0,50.0,50.0,50.0,49.0,50.0,50.0,50.0
96,52.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0
97,49.0,49.0,53.0,49.0,53.0,53.0,49.0,53.0,53.0,50.0,53.0,53.0
98,50.0,50.0,50.0,50.0,49.0,50.0,50.0,50.0,49.0,50.0,50.0,50.0
99,52.0,52.0,51.0,52.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0
100,47.0,47.0,51.0,47.0,51.0,51.0,47.0,51.0,51.0,48.0,51.0,51.0
101,50.0,50.0,49.0,50.0,49.0,50.0,50.0,50.0,49.0,50.0,50.0,50.0
102,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
103,48.0,48.0,52.0,48.0,52.0,52.0,48.0,52.0,52.0,49.0,52.0,52.0
104,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
105,51.0,51.0,52.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0
106,46.0,46.0,49.0,46.0,48.0,48.0,46.0,49.0,49.0,48.0,48.0,48.0
107,49.0,49.0,50.0,49.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0
108,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,46.0,46.0
109,47.0,47.0,45.0,43.0,45.0,43.0,47.0,45.0,45.0,49.0,47.0,47.0
110,46.0,46.0,47.0,46.0,47.0,46.0,46.0,47.0,47.0,47.0,46.0,46.0
111,47.0,47.0,46.0,47.0,45.0,47.0,47.0,46.0,44.0,48.0,47.0,47.0
112,48.0,48.0,47.0,46.0,47.0,46.0,48.0,47.0,47.0,49.0,48.0,48.0
113,45.0,45.0,50.0,45.0,50.0,45.0,45.0,50.0,50.0,46.0,45.0,45.0
114,47.0,47.0,46.0,47.0,46.0,47.0,47.0,46.0,46.0,48.0,47.0,47.0
115,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0
116,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,49.0
117,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,46.0,46.0
118,47.0,47.0,48.0,47.0,47.0,47.0,47.0,48.0,48.0,49.0,47.0,47.0
119,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,50.0
120,48.0,48.0,45.0,48.0,44.0,48.0,48.0,45.0,43.0,48.0,48.0,48.0
121,47.0,47.0,49.0,47.0,49.0,47.0,47.0,49.0,49.0,48.0,47.0,47.0
122,49.0,49.0,46.0,49.0,45.0,48.0,49.0,48.0,45.0,49.0,48.0,48.0
123,48.0,48.0,46.0,48.0,45.0,48.0,48.0,46.0,45.0,48.0,48.0,48.0
124,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,49.0
125,50.0,50.0,48.0,50.0,46.0,48.0,50.0,48.0,46.0,50.0,48.0,48.0
126,46.0,46.0,47.0,46.0,45.0,46.0,46.0,47.0,45.0,47.0,46.0,46.0
127,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,50.0
128,50.0,50.0,49.0,50.0,46.0,48.0,50.0,49.0,47.0,50.0,48.0,48.0
129,47.0,47.0,46.0,47.0,46.0,47.0,47.0,46.0,46.0,47.0,47.0,47.0
130,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0
131,50.0,50.0,48.0,50.0,48.0,48.0,50.0,48.0,48.0,50.0,48.0,48.0
132,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
133,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,49.0
134,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
135,45.0,45.0,46.0,45.0,45.0,45.0,45.0,46.0,45.0,47.0,45.0,45.0
136,47.0,47.0,48.0,47.0,47.0,47.0,47.0,48.0,47.0,48.0,47.0,47.0
137,49.0,49.0,47.0,49.0,47.0,47.0,49.0,47.0,47.0,49.0,47.0,47.0
138,44.0,44.0,43.0,44.0,42.0,43.0,44.0,46.0,41.0,45.0,43.0,43.0
139,49.0,49.0,44.0,49.0,43.0,44.0,49.0,44.0,42.0,49.0,44.0,44.0
140,45.0,45.0,42.0,45.0,43.0,42.0,45.0,44.0,40.0,47.0,42.0,42.0
141,45.0,45.0,44.0,45.0,43.0,45.0,45.0,46.0,43.0,46.0,45.0,45.0
142,50.0,50.0,44.0,50.0,44.0,46.0,50.0,45.0,44.0,50.0,46.0,46.0
143,46.0,46.0,43.0,46.0,43.0,43.0,46.0,44.0,41.0,48.0,43.0,43.0
144,46.0,46.0,45.0,46.0,44.0,46.0,46.0,45.0,43.0,46.0,46.0,46.0
145,50.0,50.0,45.0,50.0,44.0,47.0,50.0,45.0,44.0,50.0,47.0,47.0
146,46.0,46.0,44.0,46.0,44.0,44.0,46.0,44.0,42.0,48.0,44.0,44.0
147,46.0,46.0,45.0,46.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0
148,50.0,50.0,46.0,50.0,46.0,46.0,50.0,46.0,46.0,50.0,46.0,46.0
149,46.0,46.0,43.0,46.0,43.0,44.0,46.0,44.0,43.0,48.0,44.0,44.0
150,46.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0
151,49.0,49.0,47.0,49.0,47.0,47.0,49.0,47.0,47.0,49.0,47.0,47.0
152,46.0,46.0,44.0,46.0,44.0,44.0,46.0,44.0,43.0,48.0,44.0,44.0
153,44.0,44.0,45.0,44.0,44.0,44.0,44.0,45.0,44.0,46.0,44.0,44.0
154,49.0,49.0,46.0,49.0,46.0,46.0,49.0,46.0,46.0,49.0,46.0,46.0
155,46.0,46.0,44.0,46.0,45.0,45.0,46.0,44.0,42.0,48.0,43.0,45.0
156,46.0,46.0,45.0,46.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0
157,49.0,49.0,45.0,49.0,45.0,45.0,49.0,45.0,45.0,49.0,45.0,45.0
158,45.0,45.0,43.0,45.0,43.0,44.0,45.0,44.0,43.0,47.0,44.0,44.0
159,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0
160,49.0,49.0,46.0,49.0,46.0,46.0,49.0,46.0,46.0,49.0,46.0,46.0
161,46.0,46.0,43.0,46.0,43.0,43.0,46.0,43.0,43.0,48.0,43.0,43.0
162,45.0,45.0,46.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,45.0
163,49.0,49.0,45.0,49.0,45.0,46.0,49.0,45.0,45.0,49.0,46.0,46.0
164,45.0,45.0,44.0,45.0,44.0,44.0,45.0,44.0,43.0,47.0,43.0,44.0
165,44.0,44.0,45.0,44.0,43.0,43.0,44.0,45.0,42.0,46.0,43.0,43.0
166,46.0,46.0,43.0,46.0,41.0,42.0,46.0,43.0,42.0,47.0,42.0,42.0
167,45.0,45.0,43.0,45.0,42.0,42.0,45.0,44.0,42.0,48.0,42.0,42.0
