Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,51.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0
75,51.0,49.0,52.0,52.0,52.0,52.0,52.0,49.0,50.0,50.0
76,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,51.0
77,51.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,53.0
78,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,45.0,48.0
79,48.0,50.0,45.0,45.0,45.0,47.0,47.0,49.0,47.0,46.0
80,51.0,52.0,50.0,50.0,50.0,50.0,49.0,52.0,50.0,48.0
81,47.0,51.0,48.0,48.0,48.0,50.0,50.0,51.0,48.0,51.0
82,50.0,52.0,48.0,48.0,48.0,49.0,49.0,51.0,49.0,48.0
83,52.0,51.0,49.0,49.0,49.0,53.0,53.0,51.0,53.0,51.0
84,50.0,51.0,49.0,49.0,49.0,50.0,50.0,51.0,49.0,52.0
85,49.0,53.0,53.0,53.0,53.0,49.0,49.0,53.0,49.0,49.0
86,51.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0
87,51.0,49.0,49.0,49.0,49.0,50.0,50.0,49.0,50.0,48.0
88,48.0,51.0,49.0,49.0,49.0,47.0,47.0,51.0,47.0,50.0
89,51.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,51.0,51.0
90,47.0,51.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,51.0
91,51.0,48.0,47.0,47.0,47.0,51.0,51.0,47.0,51.0,50.0
92,49.0,48.0,48.0,48.0,48.0,53.0,53.0,48.0,53.0,50.0
93,48.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0
94,50.0,53.0,52.0,52.0,52.0,51.0,51.0,52.0,51.0,51.0
95,50.0,52.0,51.0,51.0,51.0,53.0,53.0,51.0,53.0,52.0
96,49.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0
