Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,42.0,42.0,42.0,42.0,42.0,42.0,39.0,42.0,42.0,42.0
75,40.0,39.0,39.0,40.0,39.0,40.0,38.0,39.0,40.0,40.0
76,41.0,41.0,41.0,41.0,42.0,41.0,40.0,41.0,42.0,41.0
77,42.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,43.0,41.0
78,41.0,42.0,41.0,41.0,38.0,40.0,38.0,42.0,39.0,40.0
79,43.0,43.0,43.0,42.0,42.0,41.0,40.0,43.0,42.0,42.0
80,43.0,43.0,43.0,42.0,41.0,41.0,42.0,43.0,40.0,42.0
81,42.0,42.0,42.0,40.0,39.0,40.0,36.0,42.0,39.0,40.0
82,42.0,42.0,42.0,42.0,41.0,41.0,39.0,42.0,41.0,42.0
83,44.0,44.0,44.0,42.0,41.0,42.0,40.0,44.0,41.0,42.0
84,41.0,41.0,41.0,41.0,39.0,39.0,36.0,41.0,40.0,41.0
85,42.0,42.0,41.0,41.0,40.0,40.0,39.0,42.0,40.0,41.0
86,43.0,43.0,43.0,42.0,40.0,41.0,40.0,43.0,41.0,42.0
87,40.0,40.0,40.0,40.0,38.0,39.0,36.0,40.0,41.0,40.0
88,42.0,42.0,42.0,42.0,41.0,41.0,39.0,42.0,41.0,42.0
89,42.0,42.0,42.0,42.0,39.0,41.0,40.0,42.0,42.0,42.0
90,41.0,41.0,41.0,41.0,36.0,41.0,35.0,41.0,41.0,41.0
91,41.0,41.0,41.0,41.0,40.0,41.0,38.0,41.0,39.0,41.0
92,43.0,43.0,43.0,43.0,40.0,43.0,39.0,43.0,40.0,43.0
93,40.0,40.0,40.0,40.0,38.0,40.0,35.0,40.0,41.0,40.0
94,41.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0
95,42.0,42.0,42.0,42.0,40.0,42.0,39.0,42.0,40.0,42.0
96,40.0,40.0,40.0,40.0,39.0,40.0,35.0,40.0,41.0,40.0
97,41.0,41.0,41.0,41.0,40.0,41.0,38.0,41.0,40.0,41.0
98,42.0,41.0,41.0,41.0,40.0,41.0,39.0,41.0,40.0,41.0
99,39.0,39.0,39.0,39.0,38.0,39.0,35.0,39.0,40.0,39.0
100,40.0,40.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,39.0
101,41.0,41.0,41.0,41.0,39.0,41.0,39.0,41.0,40.0,41.0
102,39.0,39.0,39.0,40.0,39.0,39.0,35.0,39.0,40.0,40.0
103,41.0,41.0,40.0,40.0,39.0,40.0,38.0,41.0,39.0,40.0
104,41.0,41.0,40.0,41.0,39.0,41.0,39.0,41.0,40.0,41.0
105,39.0,39.0,39.0,40.0,38.0,39.0,35.0,39.0,40.0,39.0
106,41.0,41.0,41.0,41.0,39.0,41.0,38.0,41.0,39.0,41.0
107,41.0,41.0,41.0,41.0,39.0,41.0,39.0,41.0,40.0,41.0
108,42.0,42.0,42.0,41.0,37.0,38.0,37.0,42.0,37.0,37.0
109,44.0,44.0,44.0,43.0,39.0,39.0,40.0,44.0,39.0,39.0
110,44.0,44.0,44.0,43.0,38.0,40.0,41.0,44.0,37.0,41.0
111,41.0,41.0,41.0,41.0,36.0,38.0,35.0,41.0,37.0,38.0
112,43.0,43.0,43.0,42.0,40.0,40.0,40.0,43.0,39.0,38.0
113,43.0,43.0,43.0,42.0,40.0,40.0,39.0,43.0,38.0,40.0
114,41.0,41.0,40.0,40.0,35.0,37.0,35.0,41.0,38.0,38.0
115,43.0,42.0,42.0,41.0,39.0,39.0,40.0,42.0,38.0,40.0
116,43.0,42.0,42.0,41.0,39.0,39.0,39.0,42.0,39.0,41.0
117,41.0,41.0,41.0,41.0,36.0,38.0,35.0,41.0,39.0,37.0
118,43.0,43.0,43.0,42.0,39.0,39.0,40.0,43.0,39.0,38.0
119,43.0,43.0,43.0,42.0,37.0,40.0,39.0,43.0,40.0,42.0
120,42.0,42.0,42.0,40.0,36.0,39.0,34.0,42.0,40.0,38.0
121,42.0,42.0,42.0,41.0,40.0,40.0,39.0,42.0,38.0,40.0
122,44.0,44.0,44.0,41.0,39.0,41.0,38.0,44.0,38.0,41.0
123,41.0,41.0,41.0,39.0,37.0,38.0,34.0,41.0,40.0,39.0
124,42.0,41.0,41.0,40.0,40.0,39.0,39.0,41.0,38.0,40.0
125,43.0,43.0,43.0,41.0,39.0,40.0,38.0,43.0,39.0,41.0
126,40.0,40.0,40.0,40.0,38.0,39.0,35.0,40.0,40.0,39.0
127,42.0,42.0,42.0,41.0,40.0,40.0,39.0,42.0,39.0,41.0
128,42.0,42.0,42.0,42.0,39.0,40.0,39.0,42.0,39.0,42.0
129,40.0,40.0,40.0,38.0,36.0,37.0,34.0,40.0,39.0,38.0
130,41.0,41.0,40.0,39.0,39.0,38.0,39.0,41.0,38.0,39.0
131,42.0,42.0,42.0,40.0,38.0,39.0,38.0,42.0,39.0,40.0
132,40.0,40.0,39.0,39.0,37.0,38.0,34.0,40.0,39.0,38.0
133,42.0,42.0,41.0,40.0,39.0,39.0,39.0,42.0,38.0,40.0
134,42.0,42.0,41.0,41.0,38.0,40.0,38.0,42.0,39.0,41.0
135,40.0,40.0,40.0,40.0,37.0,37.0,35.0,40.0,38.0,36.0
136,42.0,42.0,42.0,41.0,39.0,39.0,39.0,42.0,38.0,37.0
137,42.0,42.0,42.0,41.0,39.0,39.0,39.0,42.0,39.0,41.0
138,41.0,41.0,41.0,40.0,36.0,38.0,34.0,41.0,39.0,39.0
139,42.0,42.0,42.0,42.0,39.0,40.0,38.0,42.0,37.0,40.0
140,42.0,42.0,42.0,42.0,38.0,40.0,37.0,42.0,38.0,42.0
141,40.0,40.0,40.0,39.0,38.0,38.0,34.0,40.0,41.0,39.0
142,41.0,41.0,41.0,41.0,39.0,39.0,38.0,41.0,39.0,41.0
143,42.0,41.0,41.0,41.0,38.0,40.0,37.0,41.0,40.0,41.0
144,40.0,40.0,40.0,40.0,38.0,38.0,35.0,40.0,40.0,39.0
145,41.0,41.0,41.0,41.0,39.0,40.0,38.0,41.0,39.0,41.0
146,42.0,41.0,41.0,42.0,39.0,40.0,38.0,41.0,40.0,41.0
147,39.0,39.0,39.0,39.0,40.0,37.0,33.0,39.0,41.0,39.0
148,40.0,40.0,40.0,40.0,39.0,38.0,38.0,40.0,40.0,40.0
149,41.0,41.0,40.0,41.0,40.0,39.0,37.0,40.0,40.0,41.0
150,39.0,39.0,39.0,40.0,41.0,38.0,34.0,39.0,40.0,40.0
151,41.0,41.0,40.0,40.0,40.0,39.0,38.0,41.0,40.0,40.0
152,41.0,41.0,41.0,41.0,41.0,40.0,38.0,41.0,40.0,41.0
153,39.0,39.0,39.0,40.0,39.0,38.0,35.0,39.0,40.0,39.0
154,41.0,41.0,41.0,41.0,40.0,40.0,38.0,41.0,39.0,40.0
155,41.0,41.0,41.0,41.0,40.0,40.0,39.0,41.0,39.0,41.0
156,38.0,38.0,38.0,38.0,39.0,36.0,33.0,38.0,40.0,38.0
157,40.0,39.0,39.0,39.0,38.0,37.0,38.0,39.0,40.0,39.0
158,40.0,40.0,39.0,40.0,39.0,38.0,37.0,39.0,39.0,40.0
159,38.0,38.0,38.0,39.0,40.0,37.0,33.0,38.0,40.0,39.0
160,40.0,40.0,39.0,39.0,39.0,38.0,38.0,40.0,40.0,39.0
161,40.0,40.0,40.0,41.0,40.0,39.0,37.0,40.0,39.0,41.0
162,39.0,39.0,38.0,39.0,38.0,37.0,34.0,39.0,39.0,38.0
163,41.0,40.0,40.0,40.0,39.0,39.0,38.0,40.0,38.0,40.0
164,41.0,40.0,40.0,41.0,39.0,39.0,38.0,40.0,38.0,41.0
165,39.0,39.0,39.0,39.0,36.0,37.0,35.0,39.0,38.0,35.0
166,41.0,40.0,40.0,41.0,38.0,39.0,38.0,40.0,38.0,37.0
167,41.0,40.0,40.0,41.0,38.0,39.0,39.0,40.0,37.0,40.0
