Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,46.0,46.0,43.0,46.0,44.0,46.0,43.0
106,45.0,45.0,46.0,47.0,45.0,45.0,45.0
107,45.0,45.0,49.0,48.0,46.0,45.0,45.0
108,41.0,41.0,42.0,47.0,41.0,39.0,42.0
109,42.0,42.0,47.0,47.0,43.0,36.0,46.0
110,41.0,42.0,47.0,47.0,45.0,37.0,46.0
111,46.0,46.0,48.0,48.0,45.0,44.0,45.0
112,47.0,47.0,51.0,49.0,46.0,43.0,50.0
113,44.0,44.0,51.0,51.0,46.0,43.0,47.0
114,46.0,46.0,48.0,47.0,46.0,44.0,45.0
115,47.0,47.0,51.0,48.0,48.0,44.0,50.0
116,44.0,44.0,51.0,51.0,48.0,43.0,47.0
117,43.0,43.0,43.0,47.0,42.0,40.0,42.0
118,44.0,44.0,48.0,47.0,44.0,44.0,47.0
119,42.0,42.0,48.0,47.0,46.0,41.0,47.0
120,49.0,48.0,50.0,50.0,45.0,49.0,44.0
121,50.0,50.0,49.0,49.0,46.0,45.0,48.0
122,46.0,46.0,50.0,52.0,49.0,46.0,47.0
123,49.0,48.0,50.0,50.0,47.0,49.0,44.0
124,51.0,51.0,49.0,49.0,48.0,50.0,48.0
125,49.0,49.0,50.0,52.0,51.0,49.0,47.0
126,48.0,48.0,51.0,48.0,46.0,46.0,44.0
127,50.0,50.0,50.0,49.0,47.0,50.0,48.0
128,49.0,49.0,50.0,51.0,47.0,49.0,46.0
129,49.0,48.0,50.0,49.0,46.0,49.0,43.0
130,51.0,51.0,49.0,48.0,47.0,50.0,47.0
131,49.0,49.0,49.0,51.0,50.0,49.0,46.0
132,48.0,48.0,51.0,47.0,47.0,46.0,44.0
133,50.0,50.0,50.0,48.0,48.0,50.0,48.0
134,49.0,49.0,50.0,50.0,48.0,49.0,45.0
135,41.0,41.0,44.0,47.0,43.0,41.0,41.0
136,46.0,46.0,47.0,47.0,45.0,46.0,45.0
137,43.0,43.0,50.0,48.0,45.0,42.0,45.0
138,50.0,45.0,50.0,49.0,45.0,50.0,44.0
139,47.0,47.0,49.0,45.0,45.0,45.0,48.0
140,50.0,50.0,50.0,47.0,44.0,46.0,47.0
141,50.0,46.0,50.0,50.0,46.0,50.0,44.0
142,50.0,48.0,50.0,47.0,48.0,50.0,48.0
143,51.0,50.0,50.0,48.0,47.0,51.0,47.0
144,49.0,45.0,50.0,49.0,46.0,49.0,44.0
145,50.0,46.0,49.0,46.0,47.0,50.0,49.0
146,51.0,49.0,49.0,49.0,45.0,51.0,47.0
147,50.0,46.0,50.0,49.0,47.0,50.0,43.0
148,50.0,48.0,50.0,46.0,47.0,50.0,48.0
149,51.0,50.0,50.0,48.0,46.0,51.0,46.0
150,49.0,46.0,50.0,48.0,47.0,49.0,44.0
151,50.0,48.0,49.0,47.0,48.0,50.0,49.0
152,51.0,49.0,49.0,49.0,47.0,51.0,47.0
153,45.0,45.0,46.0,47.0,46.0,45.0,44.0
154,46.0,46.0,46.0,46.0,47.0,46.0,49.0
155,49.0,49.0,48.0,47.0,45.0,49.0,46.0
