Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,40.0,39.0,39.0,38.0,37.0
144,38.0,38.0,38.0,42.0,42.0
145,40.0,39.0,39.0,39.0,37.0
146,40.0,39.0,39.0,38.0,37.0
147,38.0,37.0,37.0,41.0,41.0
148,39.0,39.0,39.0,38.0,36.0
149,40.0,39.0,39.0,37.0,36.0
150,38.0,37.0,37.0,42.0,41.0
151,40.0,39.0,39.0,39.0,37.0
152,40.0,39.0,39.0,38.0,37.0
153,38.0,37.0,37.0,41.0,40.0
154,40.0,40.0,40.0,39.0,37.0
155,40.0,39.0,39.0,35.0,38.0
156,37.0,36.0,36.0,40.0,40.0
157,40.0,40.0,40.0,37.0,35.0
158,39.0,38.0,38.0,36.0,35.0
159,37.0,36.0,36.0,41.0,40.0
160,41.0,41.0,41.0,38.0,36.0
161,39.0,38.0,38.0,37.0,36.0
162,37.0,36.0,36.0,40.0,40.0
163,42.0,42.0,42.0,38.0,36.0
164,39.0,38.0,38.0,34.0,37.0
165,37.0,36.0,36.0,40.0,40.0
166,39.0,39.0,39.0,38.0,36.0
167,39.0,38.0,38.0,34.0,33.0
