Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
75,51.0,51.0,51.0,49.0,48.0,48.0,51.0,48.0,48.0,51.0
76,55.0,55.0,55.0,51.0,50.0,50.0,55.0,50.0,50.0,55.0
77,52.0,52.0,53.0,51.0,50.0,50.0,52.0,50.0,50.0,52.0
78,51.0,51.0,45.0,49.0,49.0,49.0,51.0,49.0,49.0,51.0
79,52.0,52.0,50.0,50.0,49.0,49.0,52.0,49.0,49.0,52.0
80,53.0,53.0,47.0,50.0,50.0,50.0,53.0,50.0,50.0,53.0
81,51.0,51.0,47.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
82,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0
83,53.0,53.0,49.0,54.0,53.0,54.0,53.0,54.0,53.0,53.0
84,52.0,52.0,50.0,51.0,50.0,50.0,52.0,50.0,50.0,52.0
85,55.0,55.0,55.0,53.0,52.0,52.0,55.0,52.0,52.0,55.0
86,54.0,54.0,52.0,53.0,52.0,53.0,54.0,53.0,52.0,54.0
87,51.0,51.0,49.0,50.0,49.0,49.0,51.0,49.0,49.0,51.0
88,54.0,54.0,54.0,52.0,51.0,51.0,54.0,51.0,51.0,54.0
89,53.0,53.0,51.0,52.0,51.0,51.0,53.0,51.0,51.0,53.0
90,51.0,51.0,48.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
91,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
92,50.0,50.0,50.0,55.0,55.0,55.0,50.0,55.0,55.0,50.0
93,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
94,52.0,52.0,52.0,52.0,51.0,51.0,52.0,51.0,51.0,52.0
95,53.0,53.0,53.0,57.0,57.0,57.0,53.0,57.0,57.0,53.0
96,51.0,51.0,50.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
97,52.0,52.0,52.0,51.0,50.0,50.0,52.0,50.0,50.0,52.0
98,52.0,52.0,52.0,56.0,56.0,56.0,52.0,56.0,56.0,52.0
99,52.0,52.0,50.0,51.0,51.0,51.0,52.0,51.0,51.0,52.0
100,54.0,54.0,54.0,52.0,51.0,51.0,54.0,51.0,51.0,54.0
101,52.0,52.0,52.0,57.0,57.0,57.0,52.0,57.0,57.0,52.0
102,53.0,53.0,51.0,51.0,50.0,50.0,53.0,50.0,50.0,53.0
103,55.0,55.0,55.0,51.0,50.0,50.0,55.0,50.0,50.0,55.0
104,53.0,53.0,53.0,56.0,56.0,56.0,53.0,56.0,56.0,53.0
105,52.0,52.0,50.0,50.0,49.0,49.0,52.0,49.0,49.0,52.0
106,54.0,54.0,54.0,46.0,45.0,45.0,54.0,45.0,45.0,54.0
107,52.0,52.0,52.0,49.0,49.0,49.0,52.0,49.0,49.0,52.0
108,47.0,47.0,41.0,44.0,44.0,44.0,46.0,44.0,44.0,46.0
109,48.0,48.0,44.0,45.0,44.0,44.0,47.0,44.0,44.0,47.0
110,49.0,49.0,43.0,47.0,47.0,47.0,50.0,47.0,47.0,48.0
111,47.0,47.0,42.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0
112,49.0,49.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0
113,51.0,51.0,46.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
114,50.0,50.0,45.0,47.0,47.0,47.0,50.0,47.0,47.0,51.0
115,52.0,52.0,50.0,49.0,49.0,49.0,52.0,49.0,49.0,52.0
