Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,49.0,45.0,45.0,45.0,49.0,49.0,49.0
106,50.0,47.0,47.0,47.0,50.0,50.0,50.0
107,51.0,47.0,47.0,47.0,51.0,51.0,51.0
108,41.0,46.0,46.0,46.0,39.0,39.0,39.0
109,42.0,47.0,47.0,47.0,41.0,41.0,41.0
110,45.0,52.0,52.0,52.0,42.0,42.0,42.0
111,53.0,46.0,46.0,46.0,41.0,41.0,41.0
112,51.0,53.0,53.0,53.0,43.0,43.0,43.0
113,47.0,52.0,52.0,52.0,43.0,43.0,43.0
114,52.0,46.0,46.0,46.0,48.0,48.0,48.0
115,50.0,52.0,52.0,52.0,46.0,46.0,46.0
116,46.0,52.0,52.0,52.0,45.0,45.0,45.0
117,48.0,46.0,46.0,46.0,48.0,48.0,48.0
118,44.0,47.0,47.0,47.0,46.0,46.0,46.0
119,45.0,52.0,52.0,52.0,42.0,42.0,42.0
120,53.0,46.0,46.0,46.0,41.0,41.0,41.0
121,51.0,53.0,53.0,53.0,43.0,43.0,43.0
122,48.0,51.0,51.0,51.0,44.0,44.0,44.0
123,52.0,46.0,46.0,46.0,48.0,48.0,48.0
124,55.0,53.0,53.0,53.0,46.0,46.0,46.0
125,54.0,52.0,52.0,52.0,47.0,47.0,47.0
126,53.0,46.0,46.0,46.0,48.0,48.0,48.0
127,55.0,53.0,53.0,53.0,46.0,46.0,46.0
128,54.0,51.0,51.0,51.0,46.0,46.0,46.0
129,53.0,45.0,45.0,45.0,48.0,48.0,48.0
130,54.0,52.0,52.0,52.0,50.0,50.0,50.0
131,55.0,51.0,51.0,51.0,54.0,54.0,54.0
132,53.0,46.0,46.0,46.0,48.0,48.0,48.0
133,54.0,52.0,52.0,52.0,50.0,50.0,50.0
134,55.0,52.0,52.0,52.0,54.0,54.0,54.0
135,49.0,45.0,45.0,45.0,48.0,48.0,48.0
136,50.0,47.0,47.0,47.0,50.0,50.0,50.0
137,51.0,48.0,48.0,48.0,51.0,51.0,51.0
138,55.0,47.0,47.0,47.0,43.0,43.0,43.0
139,53.0,52.0,52.0,52.0,43.0,43.0,43.0
140,49.0,49.0,49.0,49.0,45.0,45.0,45.0
141,54.0,46.0,46.0,46.0,50.0,50.0,50.0
142,54.0,53.0,53.0,53.0,48.0,48.0,48.0
143,54.0,48.0,48.0,48.0,47.0,47.0,47.0
144,54.0,47.0,47.0,47.0,50.0,50.0,50.0
145,54.0,52.0,52.0,52.0,48.0,48.0,48.0
146,54.0,48.0,48.0,48.0,46.0,46.0,46.0
147,53.0,45.0,45.0,45.0,49.0,49.0,49.0
148,54.0,52.0,52.0,52.0,49.0,49.0,49.0
149,55.0,47.0,47.0,47.0,54.0,54.0,54.0
150,53.0,46.0,46.0,46.0,49.0,49.0,49.0
151,55.0,53.0,53.0,53.0,49.0,49.0,49.0
152,55.0,47.0,47.0,47.0,54.0,54.0,54.0
153,54.0,46.0,46.0,46.0,49.0,49.0,49.0
154,55.0,49.0,49.0,49.0,49.0,49.0,49.0
155,55.0,48.0,48.0,48.0,51.0,51.0,51.0
156,52.0,44.0,44.0,44.0,48.0,48.0,48.0
157,53.0,51.0,51.0,51.0,49.0,49.0,49.0
158,54.0,46.0,46.0,46.0,53.0,53.0,53.0
159,53.0,45.0,45.0,45.0,48.0,48.0,48.0
160,54.0,52.0,52.0,52.0,50.0,50.0,50.0
161,55.0,46.0,46.0,46.0,54.0,54.0,54.0
162,53.0,45.0,45.0,45.0,49.0,49.0,49.0
163,54.0,48.0,48.0,48.0,50.0,50.0,50.0
164,55.0,47.0,47.0,47.0,54.0,54.0,54.0
165,49.0,46.0,46.0,46.0,49.0,49.0,49.0
166,50.0,48.0,48.0,48.0,50.0,50.0,50.0
167,51.0,47.0,47.0,47.0,51.0,51.0,51.0
