Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,55.0,57.0,54.0,55.0,58.0,56.0,55.0,56.0,56.0,56.0,56.0,55.0,55.0,56.0,56.0
51,55.0,55.0,55.0,54.0,55.0,54.0,56.0,54.0,54.0,54.0,54.0,55.0,54.0,54.0,54.0
52,57.0,57.0,53.0,56.0,57.0,55.0,55.0,55.0,55.0,56.0,55.0,57.0,56.0,56.0,55.0
53,56.0,56.0,54.0,56.0,56.0,55.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,55.0,55.0
54,55.0,55.0,54.0,54.0,55.0,55.0,54.0,55.0,55.0,54.0,55.0,55.0,54.0,54.0,54.0
55,57.0,57.0,52.0,54.0,57.0,55.0,55.0,55.0,55.0,56.0,55.0,57.0,56.0,56.0,56.0
56,57.0,57.0,53.0,55.0,57.0,55.0,54.0,55.0,55.0,55.0,55.0,54.0,55.0,55.0,55.0
57,56.0,56.0,55.0,54.0,55.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,55.0
58,58.0,56.0,53.0,55.0,57.0,55.0,56.0,55.0,55.0,55.0,55.0,56.0,56.0,55.0,55.0
59,58.0,57.0,54.0,56.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,55.0,55.0,55.0
60,55.0,54.0,55.0,54.0,55.0,52.0,54.0,52.0,52.0,52.0,52.0,49.0,52.0,52.0,53.0
61,57.0,56.0,53.0,54.0,56.0,53.0,52.0,53.0,53.0,54.0,53.0,49.0,54.0,54.0,53.0
62,54.0,56.0,54.0,56.0,56.0,53.0,54.0,53.0,53.0,53.0,53.0,49.0,51.0,53.0,54.0
63,55.0,54.0,55.0,54.0,54.0,54.0,51.0,54.0,54.0,52.0,54.0,49.0,54.0,52.0,53.0
64,53.0,43.0,53.0,54.0,44.0,54.0,55.0,55.0,55.0,54.0,54.0,51.0,54.0,54.0,53.0
65,55.0,50.0,48.0,56.0,50.0,56.0,53.0,56.0,56.0,54.0,56.0,48.0,56.0,54.0,55.0
66,55.0,55.0,55.0,54.0,55.0,54.0,52.0,54.0,54.0,53.0,54.0,49.0,55.0,53.0,54.0
67,52.0,44.0,53.0,54.0,45.0,54.0,56.0,54.0,54.0,55.0,54.0,50.0,55.0,55.0,54.0
68,54.0,47.0,48.0,55.0,50.0,56.0,54.0,56.0,56.0,55.0,56.0,49.0,57.0,55.0,56.0
69,54.0,53.0,54.0,55.0,53.0,55.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0
70,53.0,51.0,51.0,55.0,51.0,54.0,56.0,54.0,54.0,55.0,54.0,54.0,55.0,55.0,52.0
71,55.0,52.0,48.0,55.0,52.0,54.0,55.0,54.0,54.0,55.0,54.0,54.0,55.0,55.0,53.0
72,55.0,54.0,55.0,54.0,54.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0
73,56.0,56.0,56.0,54.0,56.0,55.0,57.0,55.0,55.0,56.0,55.0,55.0,56.0,56.0,54.0
74,57.0,56.0,57.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,53.0,56.0,56.0,55.0
75,56.0,53.0,56.0,55.0,53.0,53.0,52.0,53.0,53.0,53.0,53.0,50.0,53.0,53.0,52.0
76,56.0,55.0,57.0,55.0,55.0,54.0,56.0,54.0,54.0,55.0,54.0,50.0,55.0,55.0,52.0
77,58.0,55.0,58.0,57.0,55.0,54.0,53.0,54.0,54.0,54.0,54.0,50.0,54.0,54.0,53.0
78,55.0,54.0,55.0,54.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,54.0,53.0,53.0
79,53.0,45.0,53.0,54.0,46.0,53.0,57.0,53.0,53.0,55.0,53.0,50.0,54.0,55.0,53.0
80,55.0,46.0,48.0,56.0,47.0,55.0,55.0,55.0,55.0,55.0,55.0,49.0,56.0,55.0,55.0
