Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,47.0,49.0,48.0,48.0,48.0,47.0,49.0,47.0,46.0,47.0,47.0
69,44.0,47.0,45.0,45.0,45.0,44.0,47.0,46.0,44.0,44.0,44.0
70,46.0,49.0,46.0,46.0,46.0,46.0,49.0,46.0,45.0,46.0,46.0
71,47.0,50.0,47.0,47.0,47.0,47.0,50.0,46.0,46.0,47.0,47.0
72,43.0,47.0,44.0,44.0,44.0,44.0,47.0,46.0,43.0,43.0,43.0
73,45.0,49.0,45.0,45.0,45.0,45.0,49.0,48.0,45.0,45.0,45.0
74,46.0,49.0,46.0,46.0,46.0,46.0,49.0,48.0,46.0,46.0,46.0
75,43.0,47.0,44.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0
76,44.0,47.0,45.0,45.0,45.0,45.0,47.0,46.0,44.0,45.0,45.0
77,47.0,49.0,46.0,46.0,46.0,47.0,49.0,48.0,46.0,47.0,47.0
78,44.0,47.0,45.0,45.0,45.0,46.0,46.0,45.0,43.0,45.0,45.0
79,46.0,49.0,46.0,46.0,46.0,46.0,49.0,46.0,45.0,46.0,46.0
80,46.0,49.0,48.0,48.0,48.0,46.0,49.0,47.0,47.0,48.0,48.0
81,44.0,46.0,46.0,46.0,46.0,45.0,46.0,45.0,45.0,45.0,45.0
82,46.0,49.0,47.0,47.0,47.0,46.0,49.0,47.0,45.0,47.0,47.0
83,47.0,51.0,48.0,48.0,48.0,47.0,51.0,47.0,46.0,47.0,47.0
84,44.0,46.0,45.0,45.0,45.0,45.0,46.0,45.0,44.0,44.0,44.0
85,45.0,48.0,46.0,46.0,46.0,45.0,48.0,47.0,44.0,46.0,46.0
86,46.0,50.0,47.0,47.0,47.0,46.0,50.0,48.0,46.0,46.0,46.0
87,44.0,47.0,45.0,45.0,45.0,45.0,46.0,45.0,42.0,44.0,44.0
88,45.0,48.0,46.0,46.0,46.0,45.0,48.0,47.0,45.0,46.0,46.0
89,47.0,49.0,47.0,47.0,47.0,47.0,49.0,48.0,47.0,47.0,47.0
90,46.0,46.0,46.0,46.0,46.0,46.0,47.0,45.0,45.0,45.0,45.0
91,47.0,51.0,48.0,48.0,48.0,47.0,51.0,46.0,46.0,47.0,47.0
92,50.0,48.0,47.0,47.0,47.0,50.0,49.0,47.0,47.0,47.0,47.0
93,47.0,46.0,45.0,45.0,45.0,47.0,47.0,45.0,44.0,45.0,44.0
94,49.0,50.0,47.0,47.0,47.0,49.0,50.0,46.0,46.0,46.0,46.0
95,49.0,48.0,47.0,47.0,47.0,49.0,49.0,47.0,47.0,46.0,46.0
96,45.0,46.0,45.0,45.0,45.0,45.0,47.0,45.0,45.0,45.0,45.0
97,47.0,48.0,47.0,47.0,47.0,47.0,48.0,46.0,47.0,47.0,47.0
98,47.0,48.0,47.0,47.0,47.0,47.0,49.0,47.0,46.0,47.0,47.0
99,46.0,46.0,44.0,44.0,44.0,46.0,46.0,45.0,43.0,44.0,43.0
100,48.0,49.0,46.0,46.0,46.0,48.0,49.0,46.0,45.0,45.0,45.0
101,48.0,50.0,46.0,46.0,46.0,48.0,50.0,49.0,46.0,46.0,45.0
102,44.0,46.0,44.0,44.0,44.0,44.0,46.0,45.0,44.0,44.0,44.0
103,46.0,47.0,46.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0
104,46.0,50.0,46.0,46.0,46.0,46.0,50.0,49.0,46.0,46.0,46.0
105,43.0,45.0,44.0,44.0,44.0,44.0,45.0,44.0,43.0,44.0,44.0
106,45.0,46.0,46.0,46.0,46.0,45.0,46.0,45.0,45.0,46.0,46.0
107,47.0,48.0,46.0,46.0,46.0,47.0,48.0,47.0,45.0,47.0,47.0
108,44.0,48.0,46.0,46.0,46.0,46.0,45.0,44.0,42.0,42.0,42.0
109,45.0,50.0,47.0,47.0,47.0,46.0,46.0,45.0,43.0,44.0,44.0
110,46.0,46.0,48.0,48.0,48.0,46.0,46.0,45.0,46.0,48.0,48.0
111,44.0,45.0,46.0,46.0,46.0,46.0,46.0,44.0,43.0,42.0,42.0
112,46.0,46.0,48.0,48.0,48.0,46.0,46.0,45.0,46.0,48.0,48.0
113,47.0,47.0,49.0,49.0,49.0,47.0,47.0,46.0,45.0,47.0,47.0
114,44.0,45.0,45.0,45.0,45.0,46.0,46.0,44.0,42.0,42.0,42.0
115,45.0,46.0,47.0,47.0,47.0,46.0,46.0,45.0,45.0,47.0,47.0
116,46.0,48.0,48.0,48.0,48.0,47.0,48.0,45.0,44.0,46.0,46.0
117,44.0,45.0,45.0,45.0,45.0,46.0,46.0,44.0,42.0,43.0,43.0
118,45.0,46.0,47.0,47.0,47.0,46.0,46.0,45.0,43.0,44.0,44.0
119,46.0,49.0,48.0,48.0,48.0,47.0,49.0,45.0,43.0,47.0,47.0
120,46.0,45.0,47.0,47.0,47.0,46.0,45.0,43.0,44.0,43.0,43.0
121,47.0,47.0,49.0,49.0,49.0,47.0,47.0,46.0,45.0,47.0,47.0
