Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
46,60.0,59.0,58.0,58.0,55.0,55.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
47,61.0,61.0,56.0,56.0,56.0,56.0,61.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
48,60.0,61.0,58.0,59.0,60.0,60.0,61.0,59.0,58.0,59.0,58.0,58.0,59.0,58.0,58.0,58.0
49,60.0,60.0,62.0,62.0,54.0,54.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
50,65.0,63.0,60.0,60.0,56.0,56.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
51,60.0,61.0,58.0,59.0,61.0,61.0,61.0,59.0,58.0,59.0,58.0,58.0,59.0,58.0,58.0,59.0
52,61.0,58.0,63.0,63.0,55.0,55.0,58.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
53,65.0,63.0,60.0,60.0,56.0,56.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
54,60.0,61.0,58.0,58.0,59.0,59.0,61.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
55,60.0,59.0,61.0,61.0,53.0,53.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
56,64.0,62.0,64.0,64.0,55.0,55.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
57,60.0,61.0,58.0,58.0,60.0,60.0,61.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
58,61.0,57.0,62.0,62.0,54.0,54.0,57.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
59,65.0,62.0,64.0,64.0,55.0,55.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
60,60.0,58.0,57.0,59.0,59.0,59.0,58.0,59.0,57.0,59.0,57.0,57.0,59.0,57.0,57.0,57.0
61,61.0,55.0,59.0,59.0,55.0,55.0,55.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
62,65.0,59.0,58.0,58.0,55.0,55.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
63,56.0,55.0,55.0,56.0,55.0,55.0,55.0,56.0,55.0,56.0,55.0,55.0,56.0,55.0,55.0,56.0
64,62.0,60.0,56.0,55.0,60.0,60.0,60.0,55.0,56.0,55.0,56.0,55.0,55.0,56.0,55.0,56.0
65,59.0,59.0,56.0,56.0,57.0,57.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
66,57.0,55.0,56.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
67,62.0,60.0,57.0,56.0,61.0,61.0,60.0,56.0,57.0,56.0,57.0,54.0,56.0,57.0,54.0,57.0
68,59.0,59.0,56.0,57.0,58.0,58.0,59.0,57.0,56.0,57.0,56.0,56.0,57.0,56.0,56.0,57.0
69,57.0,61.0,55.0,56.0,57.0,57.0,61.0,56.0,55.0,56.0,55.0,55.0,56.0,55.0,55.0,56.0
70,62.0,60.0,57.0,57.0,58.0,58.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
71,59.0,59.0,56.0,57.0,58.0,58.0,59.0,57.0,56.0,57.0,56.0,56.0,57.0,56.0,56.0,56.0
72,57.0,61.0,56.0,57.0,56.0,56.0,61.0,57.0,56.0,57.0,56.0,56.0,57.0,56.0,56.0,57.0
73,61.0,59.0,61.0,61.0,57.0,57.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
74,63.0,60.0,60.0,60.0,62.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
75,58.0,58.0,56.0,56.0,57.0,57.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
76,62.0,57.0,58.0,58.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
77,63.0,60.0,61.0,61.0,62.0,62.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
78,58.0,54.0,57.0,57.0,56.0,56.0,54.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
79,59.0,56.0,54.0,56.0,58.0,58.0,56.0,56.0,54.0,56.0,54.0,53.0,56.0,54.0,53.0,54.0
80,60.0,55.0,57.0,57.0,58.0,58.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
81,58.0,61.0,56.0,56.0,58.0,58.0,61.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
82,60.0,59.0,57.0,58.0,59.0,59.0,59.0,58.0,57.0,58.0,57.0,57.0,58.0,57.0,57.0,57.0
83,60.0,58.0,57.0,57.0,59.0,59.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
