Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,52.0,52.0,60.0,60.0,60.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
1,57.0,57.0,58.0,58.0,58.0,53.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
2,52.0,52.0,54.0,54.0,56.0,52.0,52.0,56.0,52.0,52.0,56.0,52.0,52.0
3,54.0,54.0,64.0,64.0,64.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
4,58.0,58.0,62.0,62.0,62.0,53.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
5,57.0,57.0,58.0,58.0,60.0,53.0,57.0,60.0,57.0,57.0,60.0,57.0,57.0
6,52.0,52.0,59.0,59.0,59.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
7,54.0,54.0,56.0,56.0,58.0,53.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
8,52.0,52.0,54.0,54.0,55.0,48.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
9,64.0,64.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
10,62.0,62.0,67.0,67.0,71.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0
11,58.0,58.0,62.0,62.0,66.0,57.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0
12,63.0,63.0,65.0,65.0,65.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
13,61.0,61.0,66.0,66.0,70.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0
14,57.0,57.0,61.0,61.0,65.0,56.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0
15,53.0,53.0,60.0,60.0,59.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0
16,59.0,59.0,67.0,67.0,66.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0
17,58.0,58.0,62.0,62.0,61.0,54.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
18,55.0,55.0,64.0,64.0,64.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
19,57.0,57.0,61.0,61.0,63.0,56.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
20,58.0,58.0,61.0,61.0,60.0,56.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
21,56.0,56.0,63.0,63.0,63.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
22,57.0,57.0,61.0,61.0,62.0,57.0,58.0,61.0,61.0,61.0,61.0,61.0,61.0
23,57.0,57.0,58.0,58.0,59.0,53.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
24,65.0,65.0,70.0,70.0,70.0,64.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
25,62.0,62.0,71.0,71.0,75.0,62.0,66.0,65.0,65.0,65.0,65.0,65.0,65.0
26,62.0,62.0,66.0,66.0,70.0,57.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0
27,64.0,64.0,69.0,69.0,69.0,63.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
28,61.0,61.0,70.0,70.0,74.0,61.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0
29,61.0,61.0,65.0,65.0,69.0,58.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0
30,56.0,56.0,64.0,64.0,63.0,55.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0
31,59.0,59.0,71.0,71.0,70.0,58.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0
32,59.0,59.0,66.0,66.0,65.0,58.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
33,52.0,52.0,52.0,55.0,55.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0
34,52.0,52.0,53.0,53.0,54.0,51.0,53.0,51.0,51.0,51.0,53.0,51.0,53.0
35,51.0,51.0,49.0,50.0,51.0,47.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0
36,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
37,62.0,62.0,62.0,63.0,67.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0
