Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,50.0,51.0,51.0,52.0,51.0,52.0,50.0,51.0,50.0,46.0,45.0,49.0,49.0,45.0
1,51.0,52.0,51.0,52.0,51.0,52.0,51.0,52.0,51.0,47.0,46.0,50.0,50.0,46.0
2,56.0,57.0,56.0,57.0,56.0,57.0,56.0,57.0,56.0,52.0,51.0,55.0,55.0,51.0
3,51.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0
4,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0
5,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0
6,49.0,50.0,50.0,51.0,50.0,51.0,49.0,50.0,48.0,46.0,45.0,48.0,48.0,45.0
7,51.0,52.0,51.0,52.0,51.0,52.0,51.0,52.0,49.0,47.0,46.0,50.0,50.0,46.0
8,54.0,51.0,54.0,52.0,54.0,52.0,54.0,51.0,54.0,52.0,51.0,53.0,53.0,51.0
9,50.0,51.0,50.0,51.0,50.0,51.0,50.0,51.0,44.0,45.0,40.0,49.0,49.0,41.0
10,50.0,51.0,51.0,52.0,51.0,52.0,50.0,51.0,45.0,43.0,40.0,49.0,49.0,44.0
11,56.0,57.0,56.0,57.0,56.0,57.0,56.0,57.0,48.0,45.0,44.0,55.0,55.0,44.0
12,49.0,50.0,50.0,51.0,50.0,51.0,49.0,50.0,43.0,44.0,39.0,48.0,48.0,40.0
13,50.0,51.0,51.0,52.0,51.0,52.0,50.0,51.0,44.0,42.0,39.0,49.0,49.0,43.0
14,55.0,56.0,56.0,57.0,56.0,57.0,55.0,56.0,47.0,44.0,43.0,54.0,54.0,43.0
15,49.0,50.0,49.0,50.0,49.0,50.0,49.0,50.0,43.0,45.0,39.0,48.0,48.0,40.0
16,51.0,52.0,51.0,52.0,51.0,52.0,51.0,52.0,45.0,41.0,40.0,50.0,50.0,44.0
