Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,43.0,46.0,43.0,46.0,45.0,43.0,43.0,46.0,44.0,43.0
75,38.0,44.0,38.0,40.0,40.0,39.0,39.0,40.0,42.0,39.0
76,43.0,45.0,43.0,43.0,41.0,43.0,43.0,43.0,39.0,43.0
77,44.0,46.0,44.0,46.0,45.0,43.0,43.0,46.0,44.0,43.0
78,40.0,42.0,39.0,43.0,40.0,41.0,41.0,43.0,40.0,41.0
79,44.0,47.0,44.0,45.0,41.0,46.0,46.0,45.0,41.0,44.0
80,45.0,45.0,44.0,44.0,45.0,44.0,44.0,44.0,45.0,46.0
81,41.0,41.0,41.0,42.0,40.0,42.0,42.0,42.0,41.0,42.0
82,44.0,45.0,42.0,44.0,42.0,42.0,42.0,44.0,40.0,45.0
83,45.0,47.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0
84,40.0,41.0,40.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0
85,44.0,45.0,42.0,43.0,42.0,42.0,42.0,43.0,40.0,44.0
86,44.0,47.0,44.0,47.0,46.0,44.0,44.0,47.0,45.0,44.0
87,39.0,41.0,39.0,41.0,41.0,40.0,40.0,41.0,39.0,40.0
88,43.0,46.0,43.0,44.0,42.0,43.0,43.0,44.0,40.0,43.0
89,44.0,47.0,44.0,47.0,46.0,43.0,44.0,47.0,45.0,44.0
90,41.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
91,44.0,44.0,44.0,43.0,41.0,44.0,44.0,43.0,40.0,44.0
92,43.0,45.0,42.0,44.0,45.0,42.0,42.0,44.0,45.0,42.0
93,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
94,44.0,44.0,46.0,43.0,42.0,45.0,45.0,43.0,40.0,43.0
95,44.0,45.0,44.0,47.0,46.0,44.0,44.0,47.0,45.0,44.0
96,41.0,40.0,41.0,42.0,40.0,41.0,41.0,42.0,41.0,41.0
97,45.0,44.0,47.0,44.0,42.0,46.0,46.0,44.0,41.0,44.0
98,44.0,45.0,44.0,48.0,46.0,43.0,43.0,48.0,45.0,43.0
99,41.0,39.0,41.0,41.0,40.0,41.0,41.0,41.0,40.0,41.0
100,43.0,43.0,45.0,42.0,42.0,44.0,44.0,42.0,39.0,42.0
101,47.0,44.0,47.0,47.0,46.0,47.0,47.0,47.0,44.0,47.0
102,42.0,40.0,42.0,42.0,40.0,42.0,42.0,42.0,40.0,42.0
