Scenario,Roll 0,Roll 1
0,44.0,45.0
1,42.0,43.0
2,44.0,44.0
3,45.0,45.0
4,45.0,46.0
5,47.0,46.0
6,45.0,45.0
7,46.0,46.0
8,47.0,46.0
9,45.0,45.0
10,45.0,45.0
11,46.0,45.0
12,45.0,45.0
13,45.0,45.0
14,46.0,45.0
15,44.0,44.0
16,45.0,45.0
17,43.0,43.0
18,44.0,44.0
19,48.0,48.0
20,48.0,48.0
21,45.0,44.0
22,48.0,48.0
23,48.0,48.0
24,45.0,45.0
25,47.0,47.0
26,47.0,47.0
27,45.0,45.0
28,47.0,47.0
29,47.0,47.0
30,43.0,43.0
31,45.0,44.0
32,45.0,45.0
33,45.0,44.0
34,45.0,44.0
35,47.0,46.0
36,44.0,43.0
37,47.0,47.0
38,47.0,47.0
39,44.0,43.0
40,47.0,47.0
41,47.0,47.0
42,44.0,43.0
43,45.0,44.0
44,45.0,45.0
45,43.0,43.0
46,44.0,44.0
47,45.0,44.0
48,43.0,43.0
49,44.0,44.0
50,45.0,44.0
51,43.0,43.0
52,44.0,44.0
53,45.0,45.0
54,42.0,43.0
55,43.0,44.0
56,44.0,44.0
57,43.0,43.0
58,44.0,44.0
59,45.0,45.0
60,43.0,43.0
61,42.0,42.0
62,44.0,44.0
63,44.0,43.0
64,47.0,47.0
65,48.0,48.0
66,44.0,43.0
67,47.0,47.0
68,48.0,48.0
69,45.0,45.0
70,46.0,46.0
71,48.0,48.0
72,45.0,45.0
73,46.0,46.0
74,48.0,48.0
75,43.0,42.0
76,44.0,43.0
77,47.0,47.0
78,44.0,43.0
79,44.0,44.0
80,46.0,46.0
81,43.0,43.0
82,46.0,46.0
83,48.0,48.0
84,43.0,43.0
85,46.0,46.0
86,48.0,48.0
87,43.0,42.0
88,44.0,43.0
89,47.0,47.0
90,46.0,46.0
91,43.0,43.0
92,46.0,46.0
93,46.0,46.0
94,43.0,43.0
95,46.0,46.0
96,44.0,44.0
97,43.0,43.0
98,46.0,46.0
99,45.0,45.0
100,43.0,43.0
101,45.0,45.0
102,44.0,44.0
103,43.0,43.0
104,46.0,46.0
105,42.0,42.0
106,41.0,41.0
107,43.0,43.0
108,42.0,40.0
109,42.0,41.0
110,44.0,42.0
111,43.0,42.0
112,43.0,43.0
113,45.0,45.0
114,43.0,42.0
115,43.0,43.0
116,45.0,45.0
117,40.0,40.0
118,42.0,40.0
119,43.0,43.0
120,44.0,44.0
121,44.0,44.0
122,46.0,46.0
123,44.0,44.0
124,44.0,44.0
125,46.0,46.0
126,43.0,42.0
127,43.0,43.0
128,46.0,46.0
129,43.0,43.0
130,43.0,43.0
131,45.0,45.0
132,43.0,42.0
133,43.0,43.0
134,46.0,46.0
135,39.0,39.0
136,41.0,40.0
137,43.0,41.0
138,45.0,45.0
139,46.0,46.0
140,43.0,42.0
141,45.0,45.0
142,46.0,46.0
143,43.0,42.0
144,45.0,45.0
145,46.0,46.0
146,43.0,43.0
147,45.0,45.0
148,46.0,46.0
149,43.0,42.0
150,45.0,45.0
151,46.0,46.0
152,43.0,43.0
153,42.0,41.0
154,43.0,42.0
155,44.0,44.0
156,44.0,44.0
157,45.0,45.0
158,42.0,42.0
159,44.0,44.0
160,45.0,45.0
161,42.0,42.0
162,42.0,41.0
163,43.0,42.0
164,43.0,43.0
165,40.0,39.0
166,41.0,39.0
167,42.0,41.0
