Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,36.0,34.0,34.0,35.0,37.0,32.0,34.0,35.0,32.0,32.0
1,38.0,36.0,36.0,37.0,36.0,34.0,36.0,37.0,34.0,34.0
2,39.0,34.0,37.0,38.0,35.0,31.0,37.0,37.0,35.0,35.0
3,38.0,37.0,35.0,38.0,36.0,35.0,36.0,37.0,35.0,35.0
4,42.0,40.0,40.0,41.0,41.0,38.0,40.0,41.0,38.0,38.0
5,39.0,37.0,41.0,42.0,38.0,35.0,42.0,41.0,35.0,35.0
6,38.0,36.0,35.0,37.0,37.0,35.0,35.0,36.0,35.0,35.0
7,43.0,41.0,41.0,42.0,42.0,39.0,41.0,42.0,39.0,39.0
8,38.0,38.0,37.0,39.0,39.0,35.0,37.0,38.0,35.0,35.0
9,36.0,36.0,36.0,37.0,37.0,36.0,37.0,36.0,36.0,36.0
10,38.0,36.0,36.0,37.0,37.0,35.0,36.0,37.0,35.0,35.0
11,39.0,38.0,37.0,39.0,35.0,32.0,38.0,39.0,35.0,35.0
12,36.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
13,38.0,35.0,35.0,36.0,36.0,36.0,36.0,37.0,36.0,36.0
14,38.0,37.0,36.0,38.0,37.0,34.0,38.0,38.0,34.0,34.0
15,36.0,34.0,34.0,35.0,37.0,33.0,34.0,35.0,33.0,33.0
16,38.0,36.0,36.0,37.0,37.0,35.0,36.0,38.0,35.0,35.0
17,38.0,38.0,36.0,38.0,38.0,34.0,38.0,38.0,34.0,34.0
18,37.0,36.0,35.0,37.0,36.0,34.0,35.0,36.0,34.0,34.0
19,41.0,39.0,39.0,40.0,40.0,37.0,39.0,40.0,37.0,37.0
20,39.0,37.0,41.0,42.0,37.0,35.0,41.0,41.0,35.0,35.0
21,38.0,37.0,35.0,38.0,37.0,35.0,36.0,37.0,35.0,35.0
22,42.0,40.0,40.0,41.0,41.0,38.0,40.0,41.0,38.0,38.0
23,39.0,37.0,37.0,42.0,38.0,35.0,37.0,41.0,35.0,35.0
24,38.0,39.0,39.0,39.0,37.0,40.0,39.0,39.0,40.0,40.0
25,39.0,37.0,37.0,38.0,38.0,36.0,37.0,41.0,36.0,36.0
26,39.0,43.0,41.0,44.0,38.0,36.0,42.0,43.0,36.0,36.0
27,37.0,38.0,38.0,38.0,36.0,40.0,38.0,38.0,40.0,40.0
28,39.0,36.0,36.0,37.0,37.0,36.0,37.0,40.0,36.0,36.0
29,42.0,42.0,40.0,43.0,41.0,38.0,41.0,42.0,38.0,38.0
30,37.0,37.0,35.0,37.0,37.0,35.0,35.0,37.0,35.0,35.0
31,39.0,37.0,36.0,38.0,38.0,36.0,37.0,38.0,36.0,36.0
32,42.0,43.0,40.0,43.0,41.0,38.0,40.0,42.0,38.0,38.0
33,38.0,36.0,35.0,37.0,37.0,35.0,35.0,36.0,35.0,35.0
34,39.0,36.0,37.0,37.0,39.0,34.0,37.0,37.0,35.0,35.0
35,38.0,38.0,37.0,39.0,39.0,34.0,37.0,38.0,34.0,34.0
36,39.0,40.0,40.0,40.0,37.0,41.0,40.0,40.0,41.0,41.0
37,40.0,38.0,37.0,39.0,39.0,36.0,38.0,39.0,36.0,36.0
38,40.0,38.0,37.0,39.0,39.0,37.0,38.0,38.0,37.0,37.0
39,38.0,39.0,39.0,39.0,37.0,41.0,39.0,39.0,41.0,41.0
40,39.0,37.0,36.0,38.0,38.0,37.0,37.0,38.0,37.0,37.0
41,43.0,41.0,41.0,42.0,42.0,39.0,41.0,42.0,39.0,39.0
42,38.0,36.0,35.0,37.0,37.0,36.0,36.0,37.0,36.0,36.0
43,39.0,38.0,37.0,38.0,39.0,37.0,37.0,38.0,37.0,37.0
44,43.0,41.0,41.0,42.0,42.0,39.0,41.0,42.0,39.0,39.0
