Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,47.0,49.0,44.0,49.0,46.0,46.0,48.0,48.0,49.0,49.0,46.0
69,45.0,46.0,46.0,46.0,45.0,45.0,46.0,46.0,45.0,45.0,46.0
70,44.0,48.0,48.0,48.0,44.0,44.0,47.0,47.0,45.0,45.0,47.0
71,46.0,48.0,48.0,48.0,40.0,40.0,47.0,47.0,45.0,45.0,47.0
72,44.0,47.0,46.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
73,44.0,48.0,48.0,48.0,47.0,47.0,48.0,48.0,46.0,46.0,47.0
74,45.0,50.0,48.0,50.0,47.0,47.0,48.0,48.0,48.0,48.0,47.0
75,45.0,48.0,43.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
76,45.0,49.0,49.0,49.0,48.0,48.0,49.0,49.0,47.0,47.0,48.0
77,45.0,51.0,49.0,51.0,48.0,48.0,49.0,49.0,49.0,49.0,48.0
78,46.0,45.0,44.0,45.0,47.0,47.0,47.0,47.0,46.0,46.0,47.0
79,46.0,46.0,44.0,46.0,48.0,48.0,48.0,48.0,45.0,45.0,47.0
80,48.0,46.0,45.0,46.0,44.0,44.0,48.0,48.0,47.0,47.0,46.0
81,46.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
82,45.0,46.0,45.0,46.0,45.0,45.0,48.0,48.0,46.0,46.0,48.0
83,47.0,49.0,49.0,49.0,41.0,41.0,48.0,48.0,46.0,46.0,48.0
84,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
85,45.0,46.0,45.0,46.0,48.0,48.0,48.0,48.0,47.0,47.0,48.0
86,46.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0,49.0,48.0
87,46.0,45.0,44.0,45.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
88,46.0,47.0,46.0,47.0,49.0,49.0,49.0,49.0,48.0,48.0,49.0
89,46.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0,50.0,49.0
90,44.0,43.0,43.0,43.0,43.0,42.0,46.0,46.0,44.0,44.0,46.0
91,45.0,42.0,42.0,42.0,44.0,44.0,43.0,43.0,44.0,44.0,43.0
92,44.0,45.0,45.0,45.0,40.0,40.0,43.0,43.0,45.0,45.0,44.0
93,43.0,48.0,48.0,48.0,47.0,47.0,46.0,46.0,45.0,45.0,46.0
94,44.0,48.0,48.0,48.0,49.0,49.0,47.0,47.0,47.0,47.0,48.0
95,44.0,48.0,48.0,48.0,45.0,45.0,48.0,48.0,46.0,46.0,48.0
96,44.0,49.0,49.0,49.0,48.0,48.0,47.0,47.0,46.0,46.0,47.0
97,44.0,49.0,49.0,49.0,50.0,50.0,48.0,48.0,48.0,48.0,49.0
98,45.0,49.0,49.0,49.0,46.0,46.0,49.0,49.0,47.0,47.0,49.0
99,42.0,48.0,48.0,48.0,46.0,46.0,45.0,45.0,44.0,44.0,46.0
100,43.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,48.0
101,43.0,48.0,48.0,48.0,46.0,44.0,47.0,47.0,45.0,45.0,48.0
102,43.0,49.0,49.0,49.0,47.0,47.0,46.0,46.0,45.0,45.0,47.0
103,43.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,47.0,47.0,49.0
104,44.0,49.0,49.0,49.0,47.0,45.0,48.0,48.0,46.0,46.0,49.0
105,44.0,44.0,44.0,44.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
106,44.0,45.0,43.0,45.0,50.0,50.0,48.0,48.0,47.0,47.0,44.0
107,44.0,47.0,47.0,47.0,48.0,46.0,49.0,49.0,46.0,46.0,46.0
108,46.0,45.0,39.0,45.0,47.0,47.0,46.0,46.0,46.0,46.0,46.0
109,46.0,40.0,40.0,40.0,49.0,49.0,42.0,42.0,43.0,43.0,46.0
110,48.0,40.0,45.0,40.0,44.0,44.0,42.0,42.0,43.0,43.0,46.0
111,47.0,45.0,44.0,45.0,44.0,43.0,47.0,47.0,43.0,43.0,47.0
112,46.0,40.0,40.0,40.0,45.0,45.0,42.0,42.0,41.0,41.0,43.0
113,48.0,43.0,45.0,44.0,40.0,40.0,42.0,42.0,43.0,43.0,45.0
114,46.0,45.0,44.0,45.0,46.0,46.0,46.0,46.0,45.0,45.0,47.0
115,46.0,46.0,42.0,46.0,48.0,48.0,48.0,48.0,45.0,45.0,43.0
116,47.0,46.0,44.0,46.0,46.0,46.0,48.0,48.0,47.0,47.0,45.0
117,47.0,46.0,39.0,46.0,47.0,47.0,47.0,47.0,46.0,46.0,45.0
118,47.0,47.0,40.0,47.0,49.0,49.0,49.0,49.0,46.0,46.0,44.0
