Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
57,52.0,52.0,51.0,51.0,51.0,54.0,54.0,54.0,57.0,57.0,56.0,51.0,55.0
58,51.0,49.0,50.0,50.0,49.0,55.0,50.0,50.0,51.0,51.0,52.0,49.0,50.0
59,47.0,45.0,46.0,46.0,44.0,50.0,51.0,51.0,54.0,52.0,51.0,44.0,52.0
60,53.0,53.0,52.0,52.0,52.0,51.0,51.0,51.0,56.0,56.0,56.0,52.0,55.0
61,52.0,50.0,51.0,51.0,50.0,52.0,49.0,50.0,50.0,50.0,50.0,50.0,49.0
62,48.0,46.0,47.0,47.0,45.0,46.0,44.0,45.0,53.0,51.0,51.0,45.0,52.0
63,55.0,53.0,54.0,54.0,53.0,55.0,54.0,54.0,56.0,56.0,55.0,55.0,55.0
64,57.0,55.0,56.0,56.0,55.0,57.0,57.0,57.0,55.0,56.0,55.0,57.0,54.0
65,54.0,52.0,54.0,54.0,53.0,53.0,54.0,54.0,55.0,56.0,55.0,55.0,54.0
66,54.0,54.0,53.0,55.0,54.0,54.0,55.0,55.0,57.0,57.0,56.0,56.0,56.0
67,56.0,56.0,55.0,57.0,56.0,58.0,58.0,58.0,56.0,57.0,56.0,58.0,55.0
68,53.0,53.0,53.0,55.0,54.0,53.0,55.0,55.0,56.0,57.0,56.0,56.0,55.0
69,54.0,53.0,54.0,55.0,54.0,55.0,53.0,53.0,57.0,55.0,55.0,56.0,56.0
70,53.0,54.0,53.0,53.0,52.0,54.0,56.0,56.0,54.0,54.0,56.0,54.0,53.0
71,51.0,50.0,50.0,49.0,50.0,54.0,54.0,54.0,54.0,54.0,56.0,50.0,53.0
72,54.0,53.0,53.0,54.0,53.0,54.0,54.0,54.0,57.0,56.0,55.0,55.0,56.0
73,58.0,57.0,57.0,56.0,57.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0
74,54.0,53.0,53.0,52.0,53.0,53.0,53.0,53.0,58.0,58.0,57.0,53.0,57.0
75,55.0,54.0,54.0,55.0,54.0,55.0,55.0,55.0,58.0,56.0,56.0,56.0,57.0
76,59.0,58.0,58.0,57.0,58.0,59.0,59.0,59.0,57.0,57.0,57.0,58.0,57.0
77,55.0,54.0,54.0,53.0,54.0,53.0,53.0,53.0,57.0,57.0,57.0,54.0,57.0
78,54.0,54.0,51.0,54.0,53.0,52.0,52.0,52.0,56.0,57.0,56.0,55.0,57.0
79,50.0,51.0,50.0,56.0,49.0,57.0,59.0,59.0,55.0,52.0,52.0,57.0,56.0
80,52.0,52.0,49.0,54.0,51.0,52.0,54.0,54.0,55.0,54.0,55.0,55.0,56.0
81,52.0,52.0,51.0,55.0,53.0,54.0,53.0,53.0,56.0,55.0,55.0,55.0,57.0
82,54.0,55.0,54.0,54.0,53.0,53.0,55.0,55.0,53.0,54.0,56.0,55.0,54.0
83,50.0,51.0,50.0,50.0,51.0,53.0,55.0,55.0,53.0,54.0,56.0,51.0,54.0
84,51.0,53.0,50.0,54.0,52.0,53.0,52.0,52.0,56.0,56.0,55.0,54.0,57.0
85,57.0,58.0,56.0,56.0,58.0,57.0,59.0,59.0,57.0,58.0,57.0,56.0,58.0
86,53.0,53.0,52.0,52.0,54.0,52.0,54.0,54.0,57.0,58.0,57.0,52.0,58.0
87,52.0,52.0,51.0,55.0,53.0,53.0,51.0,52.0,57.0,56.0,56.0,55.0,58.0
88,58.0,59.0,57.0,57.0,59.0,58.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0
89,54.0,54.0,53.0,53.0,55.0,52.0,54.0,54.0,57.0,57.0,57.0,53.0,57.0
90,55.0,54.0,55.0,55.0,55.0,53.0,53.0,53.0,52.0,52.0,54.0,55.0,52.0
91,53.0,54.0,53.0,52.0,53.0,47.0,50.0,50.0,48.0,47.0,49.0,54.0,49.0
92,53.0,50.0,53.0,53.0,51.0,51.0,50.0,50.0,50.0,50.0,52.0,51.0,47.0
93,56.0,55.0,56.0,56.0,56.0,55.0,55.0,55.0,56.0,56.0,55.0,56.0,56.0
94,54.0,55.0,54.0,53.0,54.0,51.0,51.0,51.0,52.0,52.0,51.0,55.0,52.0
95,54.0,51.0,54.0,54.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,52.0,53.0
96,54.0,53.0,53.0,53.0,53.0,56.0,56.0,56.0,56.0,56.0,56.0,53.0,56.0
97,52.0,52.0,51.0,50.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0
98,52.0,48.0,51.0,51.0,49.0,54.0,53.0,53.0,53.0,54.0,54.0,49.0,53.0
99,55.0,54.0,55.0,55.0,55.0,54.0,54.0,54.0,55.0,55.0,54.0,55.0,55.0
100,53.0,54.0,53.0,52.0,53.0,53.0,50.0,50.0,51.0,51.0,51.0,54.0,51.0
101,53.0,50.0,53.0,53.0,51.0,52.0,51.0,51.0,52.0,53.0,52.0,51.0,52.0
102,53.0,53.0,52.0,52.0,52.0,55.0,55.0,55.0,56.0,56.0,55.0,52.0,56.0
103,51.0,51.0,50.0,49.0,50.0,54.0,51.0,51.0,52.0,52.0,52.0,51.0,52.0
104,51.0,51.0,50.0,50.0,48.0,53.0,52.0,52.0,53.0,54.0,53.0,48.0,53.0
105,54.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,56.0,56.0,56.0,53.0,56.0
106,52.0,52.0,51.0,50.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0
107,52.0,48.0,51.0,51.0,49.0,50.0,47.0,48.0,53.0,54.0,54.0,49.0,53.0
108,49.0,49.0,45.0,51.0,50.0,48.0,49.0,49.0,54.0,52.0,51.0,52.0,52.0
109,45.0,48.0,43.0,48.0,46.0,51.0,56.0,56.0,50.0,47.0,47.0,52.0,51.0
110,47.0,47.0,43.0,49.0,48.0,46.0,51.0,51.0,52.0,49.0,50.0,50.0,51.0
111,46.0,47.0,46.0,51.0,50.0,50.0,50.0,50.0,53.0,50.0,50.0,52.0,52.0
112,46.0,48.0,46.0,51.0,49.0,52.0,52.0,52.0,52.0,49.0,51.0,56.0,49.0
113,45.0,47.0,44.0,49.0,48.0,47.0,52.0,52.0,52.0,49.0,51.0,51.0,49.0
114,45.0,48.0,45.0,52.0,49.0,49.0,49.0,49.0,54.0,51.0,51.0,51.0,52.0
115,51.0,53.0,50.0,56.0,55.0,51.0,56.0,56.0,55.0,53.0,52.0,57.0,53.0
116,47.0,48.0,46.0,52.0,51.0,50.0,51.0,51.0,55.0,53.0,52.0,53.0,53.0
117,46.0,47.0,46.0,53.0,50.0,49.0,48.0,49.0,55.0,52.0,52.0,52.0,53.0
118,52.0,54.0,51.0,57.0,56.0,52.0,57.0,57.0,55.0,52.0,52.0,58.0,52.0
119,48.0,49.0,47.0,53.0,52.0,51.0,51.0,51.0,55.0,52.0,52.0,54.0,52.0
120,48.0,49.0,48.0,56.0,52.0,49.0,50.0,50.0,53.0,49.0,49.0,56.0,49.0
121,54.0,55.0,54.0,53.0,52.0,48.0,50.0,50.0,49.0,47.0,49.0,55.0,50.0
122,51.0,51.0,51.0,54.0,52.0,50.0,50.0,50.0,51.0,48.0,49.0,52.0,48.0
123,49.0,50.0,49.0,57.0,53.0,52.0,52.0,52.0,56.0,53.0,52.0,57.0,51.0
124,55.0,56.0,55.0,54.0,53.0,52.0,49.0,49.0,52.0,52.0,51.0,56.0,53.0
125,52.0,52.0,52.0,55.0,53.0,51.0,49.0,49.0,54.0,52.0,51.0,53.0,50.0
126,47.0,48.0,46.0,54.0,50.0,53.0,53.0,53.0,56.0,53.0,53.0,54.0,51.0
127,53.0,53.0,52.0,51.0,50.0,53.0,50.0,50.0,51.0,51.0,51.0,53.0,53.0
128,50.0,49.0,49.0,52.0,50.0,52.0,50.0,50.0,54.0,52.0,52.0,50.0,50.0
129,48.0,49.0,48.0,56.0,52.0,51.0,51.0,51.0,55.0,52.0,51.0,56.0,50.0
130,54.0,55.0,54.0,53.0,52.0,54.0,48.0,48.0,51.0,51.0,51.0,55.0,52.0
131,51.0,51.0,51.0,54.0,52.0,50.0,48.0,48.0,53.0,51.0,50.0,52.0,49.0
132,46.0,48.0,45.0,53.0,49.0,52.0,52.0,52.0,56.0,53.0,52.0,53.0,51.0
133,52.0,52.0,51.0,50.0,49.0,55.0,49.0,49.0,52.0,52.0,52.0,52.0,53.0
134,52.0,52.0,48.0,51.0,49.0,51.0,49.0,49.0,54.0,52.0,51.0,49.0,50.0
135,47.0,48.0,46.0,54.0,50.0,49.0,49.0,49.0,56.0,53.0,53.0,54.0,51.0
136,53.0,53.0,52.0,51.0,50.0,53.0,50.0,50.0,51.0,51.0,51.0,53.0,53.0
137,50.0,49.0,49.0,52.0,50.0,48.0,48.0,49.0,54.0,52.0,52.0,50.0,50.0
138,48.0,48.0,48.0,47.0,45.0,46.0,43.0,43.0,46.0,45.0,47.0,48.0,45.0
139,45.0,46.0,45.0,44.0,45.0,41.0,45.0,45.0,41.0,39.0,41.0,46.0,42.0
140,46.0,42.0,46.0,45.0,43.0,45.0,45.0,45.0,43.0,42.0,42.0,43.0,39.0
141,49.0,49.0,49.0,48.0,46.0,49.0,45.0,45.0,50.0,50.0,50.0,49.0,48.0
142,46.0,47.0,46.0,45.0,46.0,45.0,44.0,44.0,46.0,46.0,46.0,47.0,44.0
143,47.0,43.0,47.0,46.0,44.0,50.0,44.0,44.0,48.0,48.0,48.0,44.0,47.0
144,48.0,48.0,48.0,47.0,45.0,50.0,46.0,46.0,50.0,50.0,50.0,48.0,48.0
145,45.0,46.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0,46.0,46.0,46.0,44.0
146,46.0,42.0,46.0,45.0,43.0,49.0,45.0,45.0,49.0,49.0,49.0,43.0,48.0
147,48.0,48.0,48.0,47.0,45.0,50.0,46.0,46.0,49.0,49.0,49.0,48.0,47.0
148,45.0,46.0,45.0,44.0,46.0,48.0,43.0,43.0,47.0,47.0,47.0,46.0,46.0
149,46.0,44.0,46.0,45.0,43.0,49.0,43.0,43.0,48.0,48.0,48.0,43.0,47.0
150,49.0,49.0,49.0,48.0,46.0,49.0,45.0,45.0,50.0,50.0,50.0,49.0,48.0
151,46.0,47.0,46.0,46.0,46.0,48.0,44.0,44.0,48.0,48.0,48.0,47.0,47.0
152,47.0,45.0,47.0,46.0,44.0,48.0,44.0,44.0,49.0,49.0,49.0,44.0,48.0
153,46.0,46.0,46.0,45.0,43.0,48.0,45.0,45.0,50.0,50.0,50.0,46.0,48.0
154,43.0,44.0,43.0,43.0,44.0,45.0,45.0,45.0,49.0,49.0,49.0,44.0,48.0
155,44.0,42.0,44.0,43.0,41.0,46.0,42.0,42.0,49.0,49.0,49.0,41.0,48.0
156,47.0,47.0,47.0,46.0,44.0,49.0,45.0,45.0,48.0,48.0,49.0,47.0,46.0
157,44.0,46.0,44.0,43.0,45.0,47.0,42.0,42.0,46.0,46.0,46.0,45.0,45.0
158,45.0,43.0,45.0,44.0,42.0,48.0,42.0,42.0,47.0,47.0,47.0,42.0,46.0
159,48.0,48.0,48.0,47.0,45.0,48.0,44.0,44.0,49.0,49.0,50.0,48.0,47.0
160,45.0,47.0,45.0,45.0,46.0,48.0,43.0,43.0,47.0,47.0,47.0,46.0,46.0
161,46.0,44.0,46.0,45.0,43.0,47.0,43.0,43.0,48.0,48.0,48.0,43.0,47.0
162,45.0,45.0,45.0,44.0,42.0,48.0,45.0,45.0,50.0,50.0,51.0,45.0,48.0
163,43.0,44.0,42.0,42.0,43.0,48.0,44.0,44.0,48.0,48.0,48.0,43.0,47.0
164,45.0,43.0,43.0,42.0,40.0,46.0,42.0,42.0,48.0,48.0,48.0,40.0,47.0
165,46.0,46.0,46.0,45.0,43.0,44.0,42.0,42.0,50.0,49.0,49.0,46.0,48.0
166,43.0,45.0,43.0,43.0,43.0,44.0,42.0,44.0,46.0,46.0,46.0,44.0,45.0
167,44.0,41.0,44.0,43.0,41.0,42.0,38.0,41.0,47.0,46.0,46.0,41.0,45.0
