Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,44.0,44.0,44.0,44.0,44.0,45.0,45.0
106,42.0,45.0,45.0,45.0,45.0,45.0,45.0
107,45.0,46.0,45.0,45.0,46.0,46.0,47.0
108,40.0,43.0,45.0,45.0,43.0,43.0,45.0
109,41.0,44.0,46.0,46.0,44.0,45.0,46.0
110,44.0,44.0,46.0,46.0,44.0,46.0,51.0
111,45.0,43.0,44.0,44.0,43.0,44.0,46.0
112,46.0,44.0,46.0,46.0,44.0,46.0,50.0
113,49.0,49.0,46.0,46.0,49.0,48.0,51.0
114,44.0,42.0,44.0,44.0,42.0,43.0,45.0
115,45.0,44.0,46.0,46.0,44.0,45.0,49.0
116,48.0,48.0,46.0,46.0,48.0,48.0,50.0
117,41.0,42.0,44.0,44.0,42.0,43.0,46.0
118,41.0,44.0,46.0,46.0,44.0,45.0,46.0
119,45.0,45.0,46.0,46.0,45.0,49.0,51.0
120,47.0,43.0,43.0,43.0,43.0,47.0,45.0
121,46.0,48.0,45.0,45.0,48.0,48.0,50.0
122,50.0,48.0,45.0,48.0,46.0,49.0,48.0
123,47.0,43.0,43.0,43.0,43.0,46.0,46.0
124,46.0,47.0,45.0,45.0,47.0,48.0,49.0
125,50.0,47.0,48.0,48.0,48.0,48.0,47.0
126,46.0,43.0,43.0,43.0,43.0,44.0,46.0
127,46.0,44.0,45.0,45.0,44.0,49.0,50.0
128,50.0,47.0,49.0,49.0,49.0,48.0,48.0
129,46.0,42.0,42.0,42.0,42.0,45.0,45.0
130,45.0,46.0,44.0,44.0,46.0,47.0,48.0
131,49.0,46.0,47.0,47.0,47.0,47.0,46.0
132,45.0,42.0,43.0,43.0,42.0,44.0,45.0
133,45.0,43.0,45.0,45.0,43.0,48.0,49.0
134,49.0,46.0,48.0,48.0,48.0,48.0,47.0
135,40.0,42.0,43.0,43.0,42.0,43.0,46.0
136,41.0,43.0,45.0,45.0,43.0,45.0,46.0
137,45.0,44.0,45.0,45.0,44.0,45.0,47.0
138,46.0,46.0,47.0,43.0,44.0,47.0,46.0
139,45.0,49.0,47.0,44.0,46.0,49.0,48.0
140,51.0,48.0,48.0,44.0,46.0,44.0,48.0
141,47.0,49.0,47.0,43.0,49.0,48.0,46.0
142,45.0,48.0,47.0,43.0,46.0,48.0,47.0
143,51.0,47.0,49.0,48.0,48.0,48.0,47.0
144,48.0,50.0,43.0,43.0,50.0,47.0,46.0
145,46.0,47.0,44.0,44.0,47.0,49.0,48.0
146,48.0,48.0,49.0,49.0,49.0,49.0,44.0
147,47.0,48.0,46.0,42.0,48.0,47.0,46.0
148,45.0,47.0,46.0,42.0,45.0,47.0,46.0
149,50.0,46.0,48.0,48.0,48.0,47.0,46.0
150,48.0,49.0,43.0,43.0,49.0,46.0,46.0
151,46.0,46.0,43.0,43.0,46.0,48.0,47.0
152,48.0,47.0,49.0,49.0,49.0,48.0,45.0
153,46.0,43.0,44.0,44.0,43.0,43.0,46.0
154,44.0,44.0,44.0,44.0,44.0,49.0,45.0
155,45.0,48.0,49.0,49.0,49.0,48.0,44.0
156,46.0,47.0,45.0,41.0,47.0,46.0,45.0
157,44.0,46.0,45.0,41.0,44.0,46.0,45.0
158,49.0,45.0,47.0,47.0,47.0,46.0,45.0
159,47.0,48.0,42.0,42.0,48.0,45.0,46.0
160,45.0,45.0,42.0,42.0,45.0,47.0,46.0
161,47.0,46.0,48.0,48.0,48.0,47.0,44.0
162,45.0,42.0,43.0,43.0,42.0,43.0,45.0
163,43.0,43.0,43.0,43.0,43.0,48.0,45.0
164,44.0,47.0,48.0,48.0,48.0,47.0,45.0
165,41.0,41.0,43.0,43.0,41.0,42.0,44.0
166,39.0,42.0,42.0,42.0,42.0,45.0,44.0
167,41.0,44.0,44.0,44.0,44.0,44.0,44.0
