Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,47.0,43.0,44.0,44.0,43.0,43.0,44.0,44.0,43.0,42.0,43.0
69,44.0,45.0,45.0,45.0,44.0,45.0,45.0,45.0,45.0,43.0,43.0
70,47.0,41.0,44.0,44.0,45.0,47.0,47.0,47.0,47.0,42.0,44.0
71,48.0,44.0,44.0,44.0,43.0,46.0,46.0,46.0,46.0,42.0,45.0
72,46.0,45.0,44.0,44.0,45.0,44.0,44.0,44.0,44.0,42.0,46.0
73,46.0,43.0,43.0,43.0,44.0,46.0,46.0,46.0,46.0,42.0,46.0
74,47.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,45.0,41.0,46.0
75,47.0,45.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,41.0,45.0
76,46.0,44.0,44.0,44.0,45.0,43.0,43.0,43.0,43.0,40.0,47.0
77,47.0,44.0,45.0,45.0,46.0,44.0,44.0,44.0,44.0,41.0,46.0
78,42.0,43.0,45.0,45.0,43.0,38.0,39.0,39.0,38.0,38.0,45.0
79,43.0,41.0,42.0,42.0,42.0,40.0,40.0,40.0,40.0,40.0,42.0
80,44.0,41.0,44.0,44.0,42.0,39.0,40.0,40.0,39.0,41.0,43.0
81,44.0,44.0,45.0,45.0,44.0,45.0,45.0,45.0,45.0,43.0,43.0
82,45.0,42.0,44.0,44.0,43.0,45.0,45.0,45.0,45.0,42.0,44.0
83,46.0,42.0,45.0,45.0,42.0,45.0,45.0,45.0,45.0,43.0,44.0
84,46.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,45.0
85,46.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0,44.0,43.0,46.0
86,46.0,45.0,46.0,46.0,45.0,44.0,44.0,44.0,44.0,42.0,46.0
87,47.0,43.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,41.0,46.0
88,43.0,44.0,45.0,45.0,44.0,40.0,40.0,40.0,40.0,40.0,47.0
89,46.0,44.0,45.0,45.0,44.0,42.0,43.0,43.0,42.0,42.0,47.0
90,45.0,44.0,44.0,44.0,43.0,46.0,46.0,46.0,46.0,44.0,43.0
91,46.0,44.0,43.0,43.0,45.0,47.0,47.0,47.0,47.0,43.0,44.0
92,48.0,44.0,44.0,44.0,44.0,46.0,46.0,46.0,46.0,43.0,44.0
93,47.0,44.0,44.0,44.0,45.0,46.0,46.0,46.0,46.0,43.0,46.0
94,47.0,44.0,44.0,44.0,45.0,47.0,47.0,47.0,47.0,43.0,46.0
95,49.0,46.0,45.0,45.0,47.0,47.0,47.0,47.0,47.0,44.0,46.0
96,48.0,44.0,44.0,44.0,44.0,47.0,47.0,47.0,47.0,43.0,44.0
97,46.0,45.0,45.0,45.0,46.0,47.0,47.0,47.0,47.0,44.0,45.0
98,47.0,44.0,45.0,45.0,44.0,47.0,47.0,47.0,47.0,45.0,47.0
99,47.0,44.0,43.0,43.0,45.0,45.0,45.0,45.0,45.0,42.0,46.0
100,48.0,44.0,43.0,43.0,45.0,46.0,46.0,46.0,46.0,44.0,47.0
101,48.0,46.0,45.0,45.0,47.0,46.0,46.0,46.0,46.0,44.0,47.0
102,48.0,44.0,44.0,44.0,45.0,46.0,46.0,46.0,46.0,43.0,45.0
103,48.0,44.0,44.0,44.0,45.0,46.0,46.0,46.0,46.0,45.0,48.0
104,49.0,44.0,44.0,44.0,45.0,46.0,46.0,46.0,46.0,45.0,48.0
105,47.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,41.0,44.0
106,47.0,43.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0
107,48.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,46.0,44.0
108,38.0,41.0,44.0,44.0,39.0,33.0,33.0,33.0,33.0,36.0,36.0
109,39.0,41.0,42.0,42.0,38.0,36.0,36.0,36.0,36.0,40.0,36.0
110,40.0,38.0,42.0,42.0,38.0,36.0,36.0,36.0,36.0,41.0,41.0
111,41.0,41.0,45.0,45.0,39.0,42.0,42.0,42.0,42.0,42.0,37.0
112,41.0,42.0,43.0,43.0,39.0,41.0,41.0,41.0,41.0,42.0,42.0
113,42.0,41.0,43.0,43.0,42.0,41.0,41.0,41.0,41.0,41.0,42.0
114,43.0,43.0,44.0,44.0,43.0,41.0,41.0,41.0,41.0,43.0,41.0
115,42.0,43.0,43.0,43.0,41.0,40.0,40.0,40.0,40.0,43.0,41.0
116,43.0,44.0,44.0,44.0,41.0,40.0,40.0,40.0,40.0,41.0,41.0
117,41.0,41.0,44.0,44.0,44.0,39.0,39.0,39.0,39.0,41.0,42.0
118,39.0,43.0,44.0,44.0,41.0,36.0,36.0,36.0,36.0,40.0,38.0
119,41.0,43.0,44.0,44.0,41.0,37.0,37.0,37.0,37.0,42.0,42.0
120,42.0,41.0,45.0,45.0,40.0,42.0,42.0,42.0,42.0,42.0,39.0
121,43.0,44.0,44.0,44.0,41.0,43.0,43.0,43.0,43.0,43.0,43.0
122,44.0,42.0,45.0,45.0,42.0,44.0,44.0,44.0,44.0,44.0,40.0
123,44.0,44.0,45.0,45.0,44.0,45.0,45.0,45.0,45.0,44.0,42.0
124,43.0,44.0,44.0,44.0,42.0,44.0,44.0,44.0,44.0,43.0,42.0
125,45.0,46.0,46.0,46.0,43.0,44.0,44.0,44.0,44.0,45.0,40.0
126,41.0,42.0,45.0,45.0,43.0,46.0,46.0,46.0,46.0,44.0,41.0
