Turn 6,Turn 7,Score,Connecting Exits,Longest Railway,Longest Highway,Centre Points,Errors,Bonus Point
0,0,51,32,6,14,6,-7,0
0,1,50,28,7,14,8,-7,0
0,2,48,28,6,14,7,-7,0
