Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,39.0,39.0,39.0,39.0,40.0,40.0,39.0
106,43.0,43.0,43.0,43.0,42.0,42.0,40.0
107,44.0,44.0,44.0,44.0,45.0,45.0,40.0
108,40.0,39.0,39.0,39.0,37.0,37.0,39.0
109,41.0,40.0,40.0,40.0,38.0,38.0,40.0
110,41.0,41.0,41.0,40.0,39.0,39.0,42.0
111,40.0,39.0,39.0,39.0,37.0,37.0,41.0
112,41.0,41.0,41.0,40.0,39.0,39.0,41.0
113,41.0,40.0,40.0,40.0,39.0,39.0,44.0
114,40.0,39.0,39.0,39.0,36.0,36.0,40.0
115,41.0,40.0,40.0,40.0,38.0,38.0,40.0
116,42.0,42.0,42.0,42.0,42.0,42.0,44.0
117,40.0,39.0,39.0,39.0,37.0,37.0,39.0
118,41.0,40.0,40.0,40.0,38.0,38.0,40.0
119,43.0,43.0,43.0,43.0,42.0,42.0,43.0
120,43.0,43.0,43.0,42.0,37.0,37.0,43.0
121,44.0,44.0,44.0,43.0,38.0,39.0,44.0
122,42.0,42.0,42.0,41.0,41.0,41.0,45.0
123,43.0,43.0,43.0,42.0,37.0,37.0,43.0
124,44.0,44.0,44.0,43.0,40.0,40.0,44.0
125,44.0,44.0,44.0,43.0,42.0,42.0,45.0
126,43.0,43.0,43.0,43.0,37.0,37.0,41.0
127,44.0,44.0,44.0,44.0,41.0,41.0,43.0
128,44.0,44.0,44.0,43.0,42.0,42.0,44.0
129,42.0,42.0,42.0,41.0,37.0,37.0,42.0
130,43.0,43.0,43.0,42.0,39.0,39.0,43.0
131,43.0,43.0,43.0,43.0,41.0,41.0,44.0
132,42.0,42.0,42.0,42.0,37.0,37.0,40.0
133,43.0,43.0,43.0,43.0,40.0,40.0,42.0
134,44.0,44.0,44.0,44.0,42.0,42.0,43.0
135,39.0,39.0,39.0,39.0,37.0,37.0,38.0
136,41.0,40.0,40.0,40.0,38.0,38.0,40.0
137,44.0,44.0,44.0,44.0,42.0,42.0,41.0
138,42.0,42.0,42.0,42.0,37.0,37.0,43.0
139,43.0,43.0,43.0,43.0,41.0,41.0,45.0
140,40.0,40.0,41.0,41.0,41.0,41.0,41.0
141,43.0,43.0,42.0,42.0,40.0,40.0,45.0
142,44.0,44.0,44.0,44.0,41.0,41.0,45.0
143,44.0,44.0,44.0,44.0,42.0,42.0,45.0
144,43.0,43.0,42.0,42.0,40.0,40.0,45.0
145,44.0,44.0,44.0,44.0,41.0,41.0,44.0
146,44.0,44.0,44.0,44.0,41.0,41.0,45.0
147,43.0,43.0,44.0,44.0,40.0,40.0,44.0
148,44.0,44.0,44.0,44.0,40.0,40.0,44.0
149,44.0,44.0,44.0,44.0,41.0,41.0,45.0
150,43.0,43.0,44.0,44.0,40.0,40.0,44.0
151,44.0,44.0,44.0,44.0,40.0,40.0,44.0
152,44.0,44.0,44.0,44.0,42.0,42.0,45.0
153,43.0,43.0,43.0,43.0,39.0,39.0,41.0
154,44.0,44.0,44.0,44.0,41.0,41.0,43.0
155,44.0,44.0,44.0,44.0,42.0,42.0,44.0
156,42.0,42.0,43.0,43.0,39.0,39.0,43.0
157,43.0,43.0,43.0,43.0,39.0,39.0,43.0
158,44.0,44.0,44.0,44.0,40.0,40.0,44.0
159,42.0,42.0,43.0,43.0,39.0,39.0,43.0
160,43.0,43.0,43.0,43.0,39.0,39.0,43.0
161,44.0,44.0,44.0,44.0,41.0,41.0,44.0
162,42.0,42.0,42.0,42.0,38.0,38.0,40.0
163,43.0,43.0,43.0,43.0,40.0,40.0,42.0
164,44.0,44.0,44.0,44.0,42.0,42.0,43.0
165,39.0,39.0,39.0,39.0,37.0,37.0,38.0
166,40.0,40.0,40.0,40.0,38.0,38.0,39.0
167,44.0,44.0,44.0,44.0,42.0,42.0,40.0
