Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,63.0,63.0,62.0,63.0,63.0,62.0,60.0,62.0,60.0,60.0,56.0,60.0,56.0,59.0,58.0
51,62.0,68.0,66.0,67.0,64.0,63.0,67.0,66.0,67.0,66.0,67.0,63.0,66.0,66.0,66.0
52,60.0,63.0,60.0,61.0,61.0,60.0,64.0,63.0,64.0,64.0,58.0,60.0,57.0,63.0,57.0
53,64.0,64.0,63.0,64.0,64.0,63.0,61.0,63.0,61.0,61.0,57.0,61.0,57.0,60.0,59.0
54,66.0,68.0,65.0,65.0,68.0,62.0,65.0,66.0,65.0,66.0,67.0,65.0,66.0,64.0,66.0
55,64.0,63.0,61.0,61.0,64.0,58.0,65.0,63.0,65.0,65.0,56.0,60.0,55.0,64.0,55.0
56,66.0,65.0,64.0,65.0,65.0,61.0,63.0,63.0,63.0,63.0,55.0,60.0,55.0,62.0,58.0
57,66.0,69.0,65.0,66.0,68.0,62.0,66.0,67.0,66.0,67.0,68.0,62.0,67.0,65.0,67.0
58,63.0,64.0,62.0,62.0,65.0,59.0,66.0,64.0,66.0,66.0,57.0,59.0,56.0,65.0,56.0
59,66.0,66.0,65.0,66.0,66.0,62.0,64.0,64.0,64.0,64.0,56.0,61.0,56.0,63.0,59.0
60,63.0,67.0,66.0,66.0,65.0,63.0,65.0,67.0,66.0,67.0,61.0,63.0,60.0,64.0,63.0
61,61.0,65.0,63.0,63.0,63.0,57.0,67.0,65.0,67.0,65.0,58.0,57.0,57.0,66.0,57.0
62,65.0,65.0,66.0,67.0,67.0,63.0,65.0,63.0,65.0,63.0,57.0,62.0,57.0,64.0,59.0
63,62.0,61.0,58.0,61.0,62.0,61.0,60.0,62.0,60.0,62.0,59.0,59.0,60.0,57.0,61.0
64,60.0,59.0,55.0,57.0,60.0,60.0,63.0,63.0,63.0,63.0,60.0,57.0,59.0,59.0,59.0
65,61.0,61.0,60.0,61.0,61.0,62.0,58.0,60.0,58.0,60.0,56.0,61.0,60.0,57.0,61.0
66,62.0,62.0,59.0,62.0,62.0,62.0,61.0,63.0,61.0,63.0,60.0,60.0,61.0,57.0,62.0
67,61.0,60.0,56.0,58.0,60.0,61.0,64.0,64.0,64.0,64.0,61.0,58.0,60.0,59.0,60.0
68,62.0,62.0,60.0,62.0,62.0,63.0,59.0,61.0,59.0,61.0,57.0,62.0,61.0,58.0,62.0
69,62.0,67.0,65.0,67.0,62.0,65.0,65.0,65.0,63.0,63.0,64.0,63.0,63.0,64.0,63.0
70,61.0,62.0,58.0,61.0,61.0,62.0,62.0,62.0,61.0,61.0,61.0,62.0,60.0,61.0,61.0
71,64.0,64.0,61.0,64.0,64.0,64.0,59.0,59.0,58.0,59.0,58.0,62.0,61.0,58.0,62.0
72,65.0,66.0,64.0,66.0,65.0,64.0,64.0,64.0,62.0,62.0,63.0,62.0,62.0,63.0,63.0
73,64.0,64.0,60.0,61.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,61.0,63.0,63.0,64.0
74,66.0,66.0,64.0,66.0,66.0,66.0,62.0,63.0,62.0,63.0,62.0,64.0,63.0,61.0,65.0
75,65.0,65.0,64.0,65.0,65.0,64.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,64.0
76,65.0,65.0,61.0,62.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,62.0,64.0,64.0,65.0
77,67.0,67.0,65.0,67.0,67.0,67.0,62.0,62.0,62.0,62.0,63.0,65.0,64.0,62.0,66.0
78,61.0,63.0,60.0,63.0,62.0,62.0,61.0,62.0,61.0,62.0,60.0,60.0,60.0,57.0,62.0
79,61.0,60.0,57.0,59.0,60.0,60.0,64.0,61.0,64.0,60.0,60.0,58.0,60.0,59.0,60.0
80,62.0,62.0,60.0,62.0,62.0,62.0,59.0,60.0,59.0,60.0,58.0,62.0,60.0,58.0,62.0
81,63.0,68.0,65.0,68.0,63.0,66.0,66.0,66.0,64.0,64.0,65.0,64.0,64.0,65.0,64.0
82,62.0,63.0,59.0,62.0,61.0,63.0,63.0,63.0,61.0,61.0,62.0,62.0,61.0,62.0,61.0
83,65.0,65.0,62.0,65.0,65.0,65.0,60.0,60.0,59.0,60.0,59.0,63.0,62.0,59.0,63.0
84,67.0,67.0,64.0,67.0,67.0,65.0,65.0,65.0,63.0,63.0,64.0,63.0,63.0,64.0,64.0
85,65.0,65.0,61.0,62.0,64.0,65.0,65.0,65.0,64.0,64.0,64.0,62.0,64.0,64.0,64.0
86,67.0,67.0,64.0,67.0,67.0,67.0,63.0,64.0,63.0,64.0,63.0,64.0,64.0,61.0,66.0
87,66.0,66.0,65.0,66.0,66.0,65.0,64.0,64.0,64.0,63.0,64.0,63.0,63.0,63.0,65.0
88,66.0,66.0,62.0,63.0,65.0,66.0,66.0,66.0,65.0,65.0,65.0,63.0,65.0,65.0,65.0
89,68.0,68.0,65.0,68.0,68.0,68.0,63.0,63.0,63.0,63.0,64.0,65.0,65.0,62.0,67.0
90,64.0,69.0,69.0,69.0,64.0,69.0,67.0,69.0,67.0,69.0,70.0,69.0,69.0,68.0,69.0
91,60.0,68.0,65.0,68.0,60.0,65.0,66.0,68.0,66.0,66.0,62.0,68.0,61.0,65.0,61.0
92,64.0,66.0,66.0,66.0,64.0,66.0,64.0,66.0,64.0,66.0,64.0,66.0,63.0,65.0,63.0
93,69.0,70.0,70.0,70.0,69.0,68.0,68.0,68.0,68.0,68.0,69.0,68.0,68.0,69.0,68.0
94,64.0,67.0,65.0,67.0,64.0,65.0,67.0,67.0,65.0,65.0,66.0,67.0,65.0,66.0,65.0
