Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,62.0,63.0,64.0,63.0,63.0,62.0,65.0,63.0,56.0,60.0,58.0
69,66.0,60.0,60.0,60.0,60.0,67.0,65.0,63.0,65.0,63.0,58.0
70,62.0,59.0,59.0,59.0,59.0,61.0,61.0,56.0,61.0,60.0,58.0
71,62.0,64.0,64.0,64.0,64.0,64.0,66.0,60.0,61.0,61.0,59.0
72,65.0,66.0,66.0,66.0,66.0,66.0,72.0,71.0,64.0,62.0,64.0
73,62.0,58.0,62.0,58.0,62.0,61.0,64.0,63.0,61.0,59.0,58.0
74,62.0,63.0,63.0,63.0,63.0,63.0,69.0,68.0,62.0,60.0,58.0
75,61.0,66.0,66.0,66.0,66.0,62.0,72.0,72.0,61.0,58.0,60.0
76,62.0,58.0,58.0,58.0,58.0,57.0,64.0,64.0,62.0,59.0,59.0
77,62.0,63.0,63.0,63.0,63.0,59.0,69.0,69.0,62.0,60.0,57.0
78,61.0,58.0,58.0,58.0,58.0,62.0,65.0,64.0,60.0,58.0,53.0
79,62.0,59.0,59.0,59.0,59.0,63.0,63.0,56.0,57.0,59.0,59.0
80,63.0,64.0,64.0,64.0,64.0,63.0,64.0,57.0,57.0,60.0,58.0
81,67.0,61.0,61.0,61.0,61.0,68.0,60.0,58.0,66.0,64.0,59.0
82,63.0,60.0,60.0,60.0,60.0,62.0,60.0,57.0,62.0,60.0,59.0
83,63.0,65.0,65.0,65.0,65.0,65.0,65.0,55.0,62.0,62.0,60.0
84,66.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0,65.0,63.0,65.0
85,63.0,59.0,63.0,59.0,63.0,62.0,60.0,64.0,62.0,60.0,59.0
86,63.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0,63.0,61.0,59.0
87,62.0,67.0,67.0,67.0,67.0,63.0,67.0,67.0,62.0,59.0,61.0
88,63.0,59.0,59.0,59.0,59.0,58.0,60.0,60.0,63.0,60.0,60.0
89,63.0,64.0,64.0,64.0,64.0,60.0,64.0,64.0,63.0,61.0,58.0
90,63.0,60.0,60.0,60.0,60.0,62.0,60.0,57.0,62.0,63.0,60.0
91,55.0,52.0,52.0,52.0,52.0,59.0,58.0,55.0,53.0,60.0,56.0
92,60.0,57.0,57.0,57.0,57.0,60.0,62.0,56.0,59.0,62.0,60.0
93,68.0,62.0,62.0,62.0,62.0,63.0,64.0,63.0,67.0,65.0,60.0
94,60.0,55.0,55.0,55.0,55.0,59.0,64.0,63.0,58.0,65.0,55.0
95,65.0,60.0,60.0,60.0,60.0,60.0,65.0,64.0,64.0,67.0,60.0
96,68.0,62.0,62.0,62.0,62.0,62.0,64.0,64.0,68.0,65.0,60.0
