Seed,greedy-three-selected,linear-next-multi
Seed-1,0.6111111111111116,0.5324074074074078
Seed-10,0.4552469135802471,0.8101851851851867
Seed-100,0.9228395061728415,0.9876543209876566
Seed-11,0.4737654320987653,0.7083333333333343
Seed-12,0.441358024691358,0.6959876543209886
Seed-13,0.3148148148148147,0.777777777777779
Seed-14,0.4737654320987654,0.7021604938271617
Seed-15,0.5246913580246912,0.6373456790123464
Seed-16,1.0000000000000022,1.0000000000000022
Seed-17,0.8086419753086433,0.9722222222222244
Seed-18,0.5154320987654321,0.6743827160493838
Seed-19,0.35648148148148145,0.7114197530864207
Seed-2,0.3873456790123459,0.6589506172839513
Seed-20,0.40277777777777773,0.7237654320987665
Seed-21,1.0000000000000022,1.0000000000000022
Seed-22,0.8179012345679026,0.3209876543209876
Seed-23,0.2438271604938271,0.8827160493827177
Seed-24,1.0000000000000022,1.0000000000000022
Seed-25,0.05864197530864197,1.0000000000000022
Seed-26,1.0000000000000022,1.0000000000000022
Seed-27,1.0000000000000022,1.0000000000000022
Seed-28,0.4953703703703704,0.6712962962962972
Seed-29,1.0000000000000022,1.0000000000000022
Seed-3,0.6805555555555562,0.4660493827160497
Seed-30,0.621913580246914,0.5864197530864204
Seed-31,0.5324074074074077,0.8256172839506187
Seed-32,0.6203703703703709,0.63425925925926
Seed-33,0.35030864197530853,0.754629629629631
Seed-34,1.0000000000000022,1.0000000000000022
Seed-35,0.6728395061728403,0.4151234567901238
Seed-36,0.37500000000000006,0.7206790123456799
Seed-37,0.44135802469135815,0.6543209876543217
Seed-38,0.5879629629629634,0.5864197530864204
Seed-39,0.4197530864197533,0.8287037037037053
Seed-4,0.6250000000000003,0.8811728395061745
Seed-40,0.3703703703703705,0.7762345679012358
Seed-41,0.39197530864197533,0.7361111111111122
Seed-42,1.0000000000000022,1.0000000000000022
Seed-43,0.7669753086419766,0.8672839506172857
Seed-44,0.6296296296296302,0.5601851851851857
Seed-45,0.46450617283950607,0.7083333333333344
Seed-46,MISSING,1.0000000000000022
Seed-47,0.4845679012345679,0.5524691358024697
Seed-48,0.3688271604938271,0.8040123456790137
Seed-49,0.5509259259259263,0.7299382716049394
Seed-5,1.0000000000000022,1.0000000000000022
Seed-50,0.6774691358024699,0.3981481481481481
Seed-51,0.4290123456790125,0.6527777777777788
Seed-52,0.47839506172839513,0.6851851851851861
Seed-53,0.7638888888888902,0.5586419753086425
Seed-54,0.49382716049382713,0.6172839506172848
Seed-55,0.6388888888888896,0.5586419753086426
Seed-56,0.6975308641975316,0.5339506172839509
Seed-57,0.4351851851851851,0.7978395061728408
Seed-58,0.8333333333333349,0.3287037037037037
Seed-59,0.32561728395061723,0.7947530864197545
Seed-6,0.5833333333333338,0.6342592592592599
Seed-60,0.39814814814814814,0.7160493827160507
Seed-61,0.6929012345679022,0.6250000000000008
Seed-62,0.7669753086419765,0.4135802469135805
Seed-63,0.5802469135802472,0.6172839506172847
Seed-64,0.5740740740740745,0.6790123456790133
Seed-65,0.862654320987656,0.9861111111111134
Seed-66,0.4459876543209878,0.8117283950617299
Seed-67,1.0000000000000022,1.0000000000000022
Seed-68,0.5262345679012349,0.6929012345679021
Seed-69,0.5879629629629635,0.549382716049383
Seed-7,0.265432098765432,0.7901234567901247
Seed-70,1.0000000000000022,1.0000000000000022
Seed-71,0.8503086419753102,0.5432098765432103
Seed-72,0.7716049382716063,0.5077160493827161
Seed-73,0.7175925925925937,0.45833333333333365
Seed-74,0.7731481481481495,0.367283950617284
Seed-75,0.6574074074074082,0.5416666666666672
Seed-76,1.0000000000000022,0.990740740740743
Seed-77,0.8641975308641991,0.34722222222222227
Seed-78,1.0000000000000022,1.0000000000000022
Seed-79,0.5925925925925931,0.6635802469135812
Seed-8,0.8564814814814831,0.9814814814814837
Seed-80,1.0000000000000022,1.0000000000000022
Seed-81,0.41512345679012336,0.7283950617283964
Seed-82,0.8811728395061745,0.27469135802469136
Seed-83,1.0000000000000022,1.0000000000000022
Seed-84,0.4583333333333334,0.6820987654320997
Seed-85,0.9382716049382737,0.9429012345679033
Seed-86,0.6250000000000008,0.5694444444444448
Seed-87,1.0000000000000022,MISSING
Seed-88,0.6141975308641979,0.669753086419754
Seed-89,1.0000000000000022,MISSING
Seed-9,0.9722222222222244,0.6126543209876552
Seed-90,0.7685185185185198,0.3827160493827162
Seed-91,0.7129629629629641,0.4953703703703706
Seed-92,0.643518518518519,0.5077160493827164
Seed-93,0.8719135802469152,0.24691358024691348
Seed-94,1.0000000000000022,MISSING
Seed-95,0.5586419753086422,0.663580246913581
Seed-96,0.5108024691358024,0.6851851851851863
Seed-97,0.6095679012345683,0.41512345679012375
Seed-98,1.0000000000000022,1.0000000000000022
Seed-99,0.3333333333333332,0.7206790123456803
info.csv,1.0000000000000022,1.0000000000000022
