Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,55.0,55.0,58.0,58.0,58.0,58.0,56.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,57.0
51,51.0,51.0,51.0,53.0,53.0,52.0,57.0,55.0,50.0,50.0,52.0,50.0,52.0,52.0,53.0
52,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,56.0,55.0,56.0,56.0,55.0
53,53.0,53.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,56.0,55.0,56.0,56.0,55.0
54,55.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
55,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,55.0,56.0,55.0,55.0,56.0
56,55.0,55.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,55.0,56.0,55.0,55.0,56.0
57,53.0,53.0,53.0,53.0,53.0,53.0,57.0,55.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0
58,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
59,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
60,50.0,51.0,50.0,50.0,49.0,51.0,55.0,48.0,49.0,50.0,50.0,49.0,50.0,50.0,50.0
61,50.0,51.0,50.0,50.0,50.0,50.0,54.0,49.0,49.0,50.0,50.0,49.0,50.0,50.0,50.0
62,51.0,51.0,51.0,51.0,50.0,51.0,54.0,50.0,50.0,50.0,51.0,50.0,51.0,51.0,50.0
63,50.0,50.0,50.0,49.0,49.0,49.0,54.0,47.0,49.0,49.0,54.0,49.0,54.0,54.0,48.0
64,42.0,42.0,42.0,45.0,45.0,42.0,48.0,48.0,41.0,41.0,42.0,41.0,42.0,42.0,44.0
65,44.0,44.0,44.0,48.0,49.0,44.0,51.0,51.0,43.0,43.0,47.0,43.0,47.0,47.0,47.0
66,51.0,51.0,51.0,50.0,49.0,50.0,55.0,48.0,50.0,50.0,55.0,50.0,55.0,55.0,49.0
67,43.0,43.0,43.0,46.0,46.0,42.0,49.0,49.0,42.0,42.0,43.0,42.0,43.0,43.0,45.0
68,45.0,45.0,45.0,49.0,49.0,45.0,50.0,50.0,44.0,44.0,48.0,44.0,48.0,48.0,48.0
69,50.0,50.0,50.0,54.0,54.0,50.0,55.0,55.0,49.0,49.0,52.0,49.0,52.0,52.0,54.0
70,49.0,49.0,49.0,53.0,53.0,49.0,56.0,56.0,48.0,48.0,44.0,48.0,43.0,43.0,53.0
71,52.0,52.0,52.0,56.0,56.0,52.0,56.0,56.0,51.0,51.0,45.0,51.0,45.0,45.0,56.0
72,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,53.0,53.0,54.0,53.0,54.0,54.0,53.0
73,53.0,53.0,53.0,53.0,53.0,53.0,56.0,56.0,52.0,52.0,51.0,52.0,51.0,51.0,52.0
74,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,54.0,55.0,54.0,54.0,55.0
75,50.0,50.0,50.0,49.0,49.0,50.0,55.0,48.0,49.0,50.0,52.0,49.0,52.0,52.0,49.0
76,51.0,51.0,51.0,51.0,51.0,51.0,54.0,49.0,50.0,50.0,51.0,50.0,51.0,51.0,50.0
77,54.0,54.0,54.0,54.0,54.0,54.0,54.0,50.0,53.0,53.0,54.0,53.0,54.0,54.0,53.0
78,51.0,51.0,51.0,51.0,50.0,50.0,55.0,48.0,50.0,50.0,53.0,50.0,53.0,53.0,50.0
79,44.0,44.0,44.0,47.0,47.0,43.0,49.0,49.0,43.0,43.0,41.0,43.0,41.0,41.0,46.0
80,45.0,45.0,45.0,50.0,50.0,45.0,50.0,50.0,44.0,44.0,46.0,44.0,46.0,46.0,49.0
81,51.0,51.0,51.0,55.0,55.0,51.0,56.0,56.0,50.0,50.0,53.0,50.0,52.0,52.0,55.0
82,50.0,50.0,50.0,54.0,54.0,50.0,57.0,57.0,49.0,49.0,44.0,49.0,44.0,44.0,54.0
83,53.0,53.0,53.0,57.0,57.0,53.0,57.0,57.0,52.0,52.0,46.0,52.0,45.0,45.0,57.0
84,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
85,54.0,54.0,54.0,54.0,54.0,54.0,57.0,57.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0
86,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,55.0,56.0,55.0,55.0,56.0
87,51.0,51.0,51.0,50.0,50.0,51.0,56.0,49.0,50.0,51.0,51.0,50.0,50.0,50.0,50.0
88,52.0,52.0,52.0,52.0,52.0,52.0,55.0,50.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0
89,55.0,55.0,55.0,55.0,55.0,55.0,55.0,51.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
90,51.0,51.0,51.0,55.0,55.0,52.0,56.0,55.0,50.0,50.0,53.0,50.0,53.0,53.0,55.0
91,53.0,53.0,53.0,57.0,57.0,53.0,57.0,57.0,52.0,52.0,45.0,52.0,45.0,45.0,57.0
92,50.0,50.0,53.0,57.0,57.0,53.0,57.0,57.0,52.0,52.0,46.0,52.0,46.0,46.0,57.0
93,55.0,55.0,55.0,55.0,55.0,55.0,56.0,55.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
94,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,55.0,56.0,55.0,55.0,56.0
95,54.0,54.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,55.0,56.0,55.0,55.0,56.0
96,51.0,51.0,51.0,52.0,52.0,52.0,56.0,55.0,50.0,50.0,52.0,50.0,51.0,51.0,52.0
97,55.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
98,52.0,52.0,55.0,55.0,55.0,55.0,57.0,57.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
99,54.0,54.0,54.0,54.0,54.0,54.0,56.0,55.0,53.0,53.0,54.0,53.0,54.0,54.0,53.0
100,56.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,55.0,55.0,54.0,55.0,54.0,54.0,55.0
101,54.0,54.0,56.0,56.0,56.0,56.0,57.0,57.0,55.0,55.0,54.0,55.0,54.0,54.0,55.0
102,52.0,52.0,52.0,52.0,52.0,52.0,56.0,55.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0
103,54.0,54.0,54.0,54.0,54.0,54.0,57.0,57.0,53.0,53.0,54.0,53.0,54.0,54.0,53.0
104,54.0,54.0,54.0,54.0,54.0,54.0,57.0,57.0,53.0,53.0,54.0,53.0,54.0,54.0,53.0
105,50.0,50.0,50.0,49.0,48.0,50.0,54.0,48.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0
106,50.0,50.0,50.0,49.0,49.0,50.0,55.0,50.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0
107,52.0,52.0,52.0,52.0,52.0,52.0,55.0,50.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0
108,50.0,50.0,50.0,49.0,49.0,50.0,50.0,43.0,49.0,49.0,51.0,49.0,50.0,50.0,49.0
109,42.0,42.0,42.0,43.0,43.0,42.0,44.0,44.0,41.0,41.0,39.0,41.0,38.0,38.0,42.0
110,43.0,43.0,43.0,45.0,45.0,43.0,45.0,45.0,42.0,42.0,44.0,42.0,43.0,43.0,44.0
111,51.0,51.0,51.0,51.0,51.0,51.0,55.0,51.0,50.0,50.0,53.0,50.0,52.0,52.0,51.0
112,47.0,47.0,47.0,51.0,51.0,47.0,52.0,52.0,46.0,46.0,41.0,46.0,40.0,40.0,51.0
113,48.0,48.0,48.0,52.0,52.0,48.0,52.0,52.0,47.0,47.0,46.0,47.0,45.0,45.0,52.0
114,51.0,51.0,51.0,51.0,51.0,51.0,55.0,51.0,50.0,50.0,52.0,50.0,51.0,51.0,50.0
115,51.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,50.0,50.0,50.0,50.0,49.0,49.0,50.0
116,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,50.0,51.0,50.0,50.0,51.0
117,51.0,51.0,51.0,49.0,50.0,51.0,51.0,44.0,50.0,51.0,51.0,50.0,49.0,49.0,50.0
118,50.0,50.0,50.0,49.0,49.0,50.0,50.0,45.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0
119,50.0,50.0,50.0,50.0,50.0,51.0,50.0,46.0,49.0,49.0,50.0,49.0,50.0,50.0,49.0
120,51.0,51.0,51.0,51.0,51.0,52.0,56.0,51.0,50.0,50.0,52.0,50.0,52.0,52.0,51.0
121,48.0,48.0,48.0,52.0,52.0,48.0,52.0,52.0,47.0,47.0,42.0,47.0,41.0,41.0,52.0
122,48.0,48.0,48.0,52.0,53.0,49.0,52.0,53.0,47.0,47.0,45.0,47.0,45.0,45.0,52.0
123,51.0,51.0,51.0,52.0,52.0,51.0,56.0,55.0,50.0,50.0,51.0,50.0,51.0,51.0,52.0
