Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
46,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0
47,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,51.0,50.0,50.0
48,47.0,46.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,47.0,48.0,47.0,45.0,48.0,45.0,47.0
49,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,51.0,53.0,51.0,51.0
50,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,51.0,50.0,50.0
51,47.0,47.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0,47.0,46.0,48.0,46.0,48.0
52,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0
53,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,51.0,50.0,50.0
54,46.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,46.0,44.0,47.0,44.0,46.0
55,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,51.0,53.0,52.0,51.0,53.0,51.0,51.0
56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,50.0,49.0,49.0
57,47.0,46.0,47.0,48.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,45.0,47.0,45.0,47.0
58,53.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,51.0,52.0,51.0,51.0
59,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,50.0,49.0,49.0
60,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,46.0,47.0,46.0,46.0
61,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0,48.0,48.0
62,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0,48.0,48.0
63,47.0,46.0,47.0,47.0,47.0,49.0,51.0,50.0,49.0,47.0,49.0,46.0,46.0,47.0,48.0,46.0
64,49.0,48.0,48.0,48.0,48.0,49.0,51.0,49.0,49.0,49.0,49.0,47.0,48.0,48.0,50.0,48.0
65,52.0,51.0,51.0,51.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,50.0,51.0,51.0,50.0,51.0
66,47.0,46.0,48.0,48.0,48.0,50.0,51.0,50.0,50.0,48.0,50.0,47.0,46.0,48.0,48.0,47.0
67,50.0,49.0,49.0,49.0,49.0,50.0,52.0,49.0,50.0,50.0,50.0,48.0,49.0,49.0,51.0,49.0
68,53.0,52.0,52.0,52.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,51.0,52.0,52.0,51.0,52.0
69,47.0,45.0,48.0,47.0,48.0,49.0,49.0,48.0,49.0,48.0,49.0,46.0,46.0,47.0,48.0,47.0
70,52.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0
71,52.0,51.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,51.0,52.0,52.0,51.0,52.0
