Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
34,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0,48.0,48.0,49.0,48.0,49.0
35,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,52.0,47.0,53.0,52.0,52.0
36,49.0,49.0,49.0,48.0,49.0,49.0,49.0,48.0,48.0,49.0,47.0,47.0,45.0,47.0,48.0,47.0
37,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,52.0,47.0,53.0,52.0,52.0
38,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,47.0,52.0,52.0,52.0
39,48.0,48.0,48.0,47.0,48.0,48.0,48.0,47.0,47.0,48.0,47.0,46.0,45.0,47.0,47.0,46.0
40,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,46.0,52.0,51.0,53.0
41,53.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0
42,49.0,48.0,48.0,48.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0,47.0,46.0,48.0,47.0,47.0
43,50.0,49.0,49.0,49.0,50.0,49.0,50.0,49.0,49.0,49.0,49.0,48.0,47.0,49.0,48.0,49.0
44,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0
45,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,48.0,46.0,46.0,48.0,48.0,47.0
46,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,46.0,52.0,52.0,52.0
47,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,50.0,52.0,51.0,50.0,50.0
48,48.0,48.0,48.0,47.0,48.0,48.0,48.0,47.0,47.0,48.0,47.0,45.0,45.0,47.0,47.0,46.0
49,53.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,51.0,51.0,52.0,51.0,53.0
50,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,50.0,51.0,51.0,50.0,50.0
51,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,47.0,46.0,44.0,47.0,48.0,47.0
52,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0
53,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,50.0,49.0,51.0,50.0,50.0
54,47.0,47.0,47.0,46.0,47.0,47.0,47.0,46.0,46.0,47.0,46.0,44.0,44.0,46.0,46.0,45.0
