Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,53.0,49.0,55.0,50.0,53.0,50.0,50.0,50.0,55.0,49.0,50.0,50.0
63,46.0,42.0,49.0,46.0,48.0,46.0,46.0,46.0,49.0,42.0,46.0,46.0
64,50.0,47.0,51.0,47.0,53.0,47.0,47.0,48.0,51.0,47.0,48.0,47.0
65,52.0,47.0,53.0,47.0,52.0,47.0,47.0,49.0,53.0,47.0,50.0,47.0
66,47.0,43.0,50.0,47.0,49.0,47.0,47.0,47.0,50.0,43.0,46.0,47.0
67,51.0,48.0,52.0,48.0,54.0,48.0,48.0,49.0,52.0,48.0,49.0,48.0
68,53.0,47.0,54.0,48.0,53.0,48.0,48.0,48.0,54.0,47.0,50.0,48.0
69,51.0,52.0,55.0,55.0,53.0,55.0,55.0,55.0,55.0,52.0,56.0,55.0
70,55.0,57.0,56.0,56.0,58.0,56.0,56.0,56.0,56.0,57.0,59.0,56.0
71,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,60.0,56.0
72,51.0,51.0,54.0,54.0,53.0,54.0,54.0,54.0,54.0,51.0,55.0,54.0
73,55.0,56.0,55.0,55.0,58.0,55.0,55.0,55.0,55.0,56.0,58.0,55.0
74,56.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0,55.0,55.0,59.0,55.0
75,47.0,44.0,49.0,47.0,48.0,47.0,47.0,47.0,49.0,44.0,48.0,47.0
76,50.0,49.0,51.0,48.0,53.0,48.0,48.0,48.0,51.0,49.0,51.0,48.0
77,52.0,48.0,53.0,48.0,52.0,48.0,48.0,49.0,53.0,48.0,52.0,48.0
78,47.0,43.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,44.0,46.0,47.0
79,51.0,47.0,53.0,49.0,53.0,49.0,49.0,49.0,53.0,47.0,48.0,49.0
80,53.0,47.0,53.0,49.0,53.0,49.0,49.0,49.0,53.0,47.0,48.0,49.0
81,51.0,53.0,56.0,56.0,54.0,56.0,56.0,56.0,56.0,53.0,56.0,56.0
82,56.0,58.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,58.0,57.0,57.0
83,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0
84,51.0,52.0,55.0,55.0,54.0,55.0,55.0,55.0,55.0,52.0,55.0,55.0
85,56.0,57.0,56.0,56.0,59.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0
86,57.0,55.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,56.0,56.0
87,48.0,45.0,49.0,48.0,49.0,48.0,48.0,48.0,49.0,45.0,48.0,48.0
88,51.0,50.0,52.0,49.0,54.0,49.0,49.0,49.0,52.0,50.0,49.0,49.0
89,53.0,48.0,54.0,49.0,53.0,49.0,49.0,50.0,54.0,48.0,50.0,49.0
90,50.0,55.0,57.0,56.0,53.0,56.0,56.0,56.0,57.0,54.0,56.0,56.0
91,56.0,58.0,58.0,57.0,56.0,57.0,57.0,57.0,58.0,58.0,58.0,57.0
92,56.0,56.0,58.0,57.0,56.0,57.0,57.0,57.0,58.0,56.0,60.0,57.0
93,51.0,55.0,56.0,55.0,53.0,55.0,55.0,55.0,56.0,54.0,56.0,55.0
94,56.0,58.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,58.0,57.0
95,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,60.0,57.0
96,51.0,52.0,56.0,55.0,53.0,55.0,56.0,55.0,56.0,52.0,56.0,55.0
97,57.0,58.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
98,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,60.0,57.0
99,51.0,54.0,55.0,54.0,53.0,54.0,54.0,54.0,55.0,53.0,55.0,54.0
100,56.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0
101,57.0,55.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,59.0,56.0
102,51.0,52.0,55.0,54.0,53.0,55.0,55.0,55.0,55.0,51.0,55.0,55.0
103,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0
104,57.0,55.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,59.0,56.0
105,48.0,45.0,49.0,47.0,48.0,48.0,48.0,48.0,49.0,44.0,48.0,48.0
106,53.0,50.0,51.0,49.0,53.0,49.0,49.0,49.0,51.0,50.0,49.0,49.0
107,52.0,48.0,54.0,49.0,52.0,49.0,49.0,49.0,54.0,48.0,52.0,49.0
108,45.0,42.0,47.0,42.0,45.0,42.0,42.0,42.0,47.0,43.0,42.0,42.0
109,50.0,44.0,49.0,44.0,51.0,44.0,44.0,44.0,49.0,44.0,44.0,44.0
110,51.0,44.0,48.0,44.0,51.0,44.0,44.0,44.0,48.0,44.0,44.0,44.0
111,51.0,53.0,50.0,50.0,51.0,50.0,50.0,50.0,50.0,53.0,52.0,50.0
112,57.0,54.0,52.0,52.0,56.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0
113,57.0,54.0,52.0,52.0,57.0,52.0,52.0,52.0,52.0,54.0,53.0,52.0
114,51.0,52.0,49.0,49.0,51.0,49.0,49.0,49.0,49.0,52.0,51.0,49.0
115,57.0,53.0,51.0,51.0,56.0,51.0,51.0,51.0,51.0,53.0,52.0,51.0
116,57.0,53.0,51.0,51.0,57.0,51.0,51.0,51.0,51.0,53.0,52.0,51.0
117,47.0,45.0,48.0,42.0,46.0,42.0,42.0,42.0,48.0,45.0,44.0,42.0
118,52.0,46.0,50.0,44.0,53.0,44.0,44.0,44.0,50.0,46.0,45.0,44.0
119,52.0,47.0,49.0,44.0,52.0,44.0,44.0,44.0,49.0,47.0,45.0,44.0
120,51.0,55.0,57.0,55.0,52.0,55.0,55.0,55.0,57.0,55.0,55.0,55.0
121,57.0,57.0,58.0,56.0,57.0,56.0,56.0,56.0,58.0,57.0,56.0,56.0
122,57.0,56.0,58.0,56.0,57.0,56.0,56.0,56.0,58.0,56.0,56.0,56.0
123,52.0,55.0,56.0,55.0,52.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0
124,57.0,57.0,57.0,56.0,57.0,56.0,56.0,56.0,57.0,57.0,56.0,56.0
125,58.0,56.0,57.0,56.0,58.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0
126,52.0,52.0,49.0,49.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,49.0
127,58.0,54.0,51.0,51.0,57.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0
128,58.0,57.0,53.0,51.0,58.0,51.0,51.0,53.0,51.0,57.0,55.0,51.0
129,52.0,54.0,55.0,54.0,52.0,54.0,54.0,54.0,55.0,54.0,54.0,54.0
130,57.0,56.0,56.0,55.0,57.0,55.0,55.0,55.0,56.0,56.0,55.0,55.0
131,58.0,55.0,56.0,55.0,58.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0
132,52.0,53.0,48.0,48.0,52.0,48.0,48.0,48.0,48.0,52.0,51.0,48.0
133,58.0,54.0,50.0,50.0,57.0,50.0,50.0,50.0,50.0,53.0,52.0,50.0
134,58.0,56.0,52.0,50.0,58.0,50.0,50.0,52.0,51.0,56.0,54.0,50.0
135,49.0,46.0,49.0,41.0,48.0,41.0,42.0,41.0,49.0,45.0,44.0,41.0
136,54.0,47.0,50.0,43.0,53.0,43.0,43.0,43.0,50.0,46.0,45.0,43.0
137,53.0,49.0,52.0,45.0,53.0,44.0,45.0,45.0,52.0,49.0,47.0,44.0
138,51.0,55.0,57.0,55.0,51.0,55.0,55.0,55.0,57.0,55.0,57.0,55.0
139,53.0,57.0,58.0,56.0,52.0,56.0,56.0,56.0,58.0,57.0,56.0,56.0
140,53.0,57.0,58.0,56.0,54.0,56.0,56.0,56.0,58.0,57.0,59.0,56.0
141,51.0,55.0,56.0,55.0,52.0,55.0,55.0,55.0,56.0,56.0,57.0,55.0
142,55.0,57.0,58.0,56.0,55.0,56.0,56.0,56.0,58.0,57.0,56.0,56.0
143,55.0,58.0,58.0,56.0,55.0,56.0,56.0,56.0,58.0,58.0,59.0,56.0
144,52.0,56.0,57.0,55.0,53.0,55.0,55.0,55.0,57.0,55.0,55.0,55.0
145,56.0,57.0,58.0,56.0,56.0,56.0,56.0,56.0,58.0,57.0,56.0,56.0
146,56.0,59.0,58.0,56.0,56.0,56.0,56.0,56.0,58.0,59.0,59.0,56.0
147,51.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,55.0,56.0,56.0,54.0
148,56.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0
149,56.0,58.0,57.0,56.0,56.0,56.0,56.0,56.0,57.0,59.0,58.0,56.0
150,52.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0
151,56.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,56.0,56.0
152,56.0,59.0,57.0,56.0,56.0,56.0,56.0,56.0,57.0,59.0,59.0,56.0
153,51.0,53.0,50.0,49.0,56.0,49.0,49.0,49.0,50.0,53.0,51.0,49.0
154,57.0,54.0,52.0,50.0,56.0,50.0,50.0,50.0,52.0,53.0,53.0,50.0
155,56.0,59.0,51.0,50.0,56.0,50.0,51.0,50.0,51.0,58.0,53.0,50.0
156,50.0,54.0,54.0,53.0,54.0,53.0,53.0,53.0,54.0,55.0,55.0,53.0
157,56.0,56.0,56.0,55.0,56.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0
158,56.0,57.0,56.0,55.0,56.0,55.0,55.0,55.0,56.0,58.0,57.0,55.0
159,51.0,55.0,55.0,54.0,55.0,54.0,54.0,54.0,55.0,54.0,54.0,54.0
160,56.0,56.0,56.0,55.0,56.0,55.0,55.0,55.0,56.0,56.0,55.0,55.0
161,56.0,58.0,56.0,55.0,56.0,55.0,55.0,55.0,56.0,58.0,58.0,55.0
162,51.0,52.0,49.0,48.0,56.0,48.0,48.0,48.0,49.0,52.0,51.0,48.0
163,57.0,54.0,51.0,49.0,56.0,49.0,49.0,49.0,51.0,53.0,52.0,49.0
164,56.0,58.0,50.0,49.0,56.0,50.0,50.0,50.0,50.0,58.0,53.0,50.0
165,48.0,45.0,49.0,41.0,50.0,41.0,42.0,41.0,49.0,45.0,44.0,41.0
166,53.0,47.0,50.0,42.0,52.0,42.0,43.0,42.0,50.0,46.0,45.0,42.0
167,52.0,51.0,50.0,42.0,53.0,43.0,43.0,43.0,50.0,51.0,46.0,43.0
