Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
57,47.0,51.0,51.0,51.0,50.0,50.0,43.0,50.0,50.0,50.0,49.0,50.0,51.0
58,46.0,47.0,49.0,48.0,47.0,47.0,43.0,46.0,46.0,46.0,50.0,44.0,49.0
59,46.0,47.0,47.0,50.0,48.0,46.0,44.0,46.0,46.0,46.0,50.0,45.0,50.0
60,39.0,44.0,44.0,45.0,51.0,44.0,39.0,48.0,48.0,40.0,44.0,48.0,48.0
61,38.0,41.0,41.0,44.0,43.0,41.0,39.0,43.0,43.0,42.0,43.0,42.0,42.0
62,38.0,46.0,46.0,51.0,49.0,44.0,39.0,45.0,45.0,45.0,43.0,46.0,46.0
63,47.0,47.0,47.0,42.0,47.0,48.0,47.0,49.0,49.0,46.0,50.0,46.0,46.0
64,51.0,50.0,50.0,42.0,48.0,46.0,50.0,49.0,49.0,46.0,48.0,47.0,47.0
65,49.0,49.0,49.0,47.0,50.0,46.0,50.0,49.0,49.0,46.0,51.0,49.0,49.0
66,48.0,46.0,46.0,42.0,48.0,49.0,47.0,50.0,50.0,45.0,50.0,47.0,47.0
67,51.0,49.0,49.0,43.0,48.0,47.0,51.0,50.0,50.0,47.0,48.0,47.0,47.0
68,50.0,50.0,50.0,48.0,51.0,45.0,51.0,50.0,50.0,45.0,48.0,50.0,50.0
69,52.0,51.0,50.0,48.0,50.0,51.0,53.0,50.0,50.0,51.0,51.0,49.0,49.0
70,51.0,51.0,51.0,47.0,51.0,49.0,51.0,51.0,51.0,49.0,50.0,50.0,50.0
71,51.0,51.0,51.0,48.0,50.0,49.0,51.0,48.0,48.0,49.0,50.0,50.0,50.0
72,51.0,50.0,49.0,50.0,49.0,50.0,52.0,51.0,51.0,50.0,50.0,48.0,48.0
73,52.0,52.0,50.0,48.0,50.0,48.0,52.0,50.0,50.0,48.0,50.0,49.0,49.0
74,51.0,51.0,50.0,49.0,49.0,48.0,52.0,49.0,49.0,48.0,49.0,49.0,49.0
75,45.0,45.0,45.0,51.0,49.0,49.0,45.0,50.0,50.0,45.0,50.0,47.0,47.0
76,50.0,50.0,50.0,43.0,48.0,44.0,44.0,49.0,50.0,40.0,50.0,47.0,47.0
77,47.0,47.0,47.0,48.0,49.0,45.0,48.0,50.0,50.0,40.0,50.0,48.0,48.0
78,47.0,47.0,47.0,42.0,43.0,44.0,46.0,49.0,49.0,40.0,48.0,42.0,42.0
79,50.0,47.0,47.0,43.0,47.0,42.0,48.0,50.0,50.0,42.0,45.0,46.0,46.0
80,50.0,50.0,50.0,45.0,46.0,45.0,52.0,49.0,49.0,46.0,47.0,45.0,45.0
81,52.0,46.0,46.0,49.0,50.0,50.0,52.0,51.0,51.0,50.0,50.0,44.0,45.0
82,52.0,50.0,50.0,48.0,47.0,50.0,52.0,50.0,50.0,50.0,47.0,47.0,47.0
83,52.0,52.0,52.0,47.0,49.0,45.0,52.0,49.0,49.0,46.0,49.0,49.0,49.0
84,51.0,47.0,46.0,51.0,49.0,49.0,52.0,50.0,50.0,49.0,49.0,46.0,46.0
85,53.0,50.0,49.0,49.0,46.0,49.0,53.0,49.0,50.0,49.0,50.0,46.0,46.0
86,52.0,52.0,51.0,48.0,48.0,44.0,53.0,49.0,49.0,45.0,50.0,48.0,48.0
87,46.0,46.0,46.0,52.0,50.0,44.0,46.0,51.0,51.0,46.0,49.0,47.0,47.0
88,51.0,46.0,46.0,44.0,47.0,45.0,45.0,50.0,51.0,41.0,51.0,45.0,45.0
89,48.0,48.0,48.0,44.0,45.0,45.0,49.0,50.0,50.0,41.0,51.0,44.0,46.0
90,50.0,50.0,46.0,47.0,51.0,46.0,47.0,47.0,47.0,45.0,45.0,50.0,50.0
91,45.0,48.0,48.0,45.0,50.0,45.0,48.0,48.0,48.0,44.0,48.0,48.0,48.0
92,46.0,47.0,47.0,46.0,50.0,46.0,47.0,46.0,46.0,44.0,44.0,46.0,48.0
93,49.0,51.0,47.0,49.0,52.0,51.0,49.0,50.0,50.0,51.0,51.0,50.0,51.0
94,50.0,50.0,49.0,50.0,49.0,50.0,49.0,48.0,48.0,45.0,50.0,47.0,50.0
95,49.0,51.0,47.0,51.0,51.0,51.0,48.0,47.0,47.0,49.0,51.0,45.0,51.0
96,46.0,50.0,46.0,49.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0
97,45.0,48.0,48.0,47.0,47.0,48.0,48.0,48.0,48.0,46.0,48.0,48.0,49.0
98,46.0,47.0,47.0,50.0,47.0,50.0,47.0,46.0,46.0,50.0,46.0,45.0,50.0
99,48.0,50.0,50.0,50.0,51.0,50.0,50.0,51.0,51.0,50.0,50.0,49.0,52.0
100,49.0,49.0,48.0,49.0,48.0,49.0,48.0,47.0,47.0,44.0,49.0,46.0,49.0
101,48.0,50.0,46.0,50.0,50.0,50.0,47.0,47.0,47.0,48.0,50.0,44.0,50.0
