Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,52.0,52.0,53.0,60.0,57.0,54.0,53.0,53.0,50.0,51.0,56.0
1,58.0,58.0,58.0,62.0,58.0,55.0,58.0,58.0,50.0,48.0,53.0
2,56.0,53.0,55.0,60.0,58.0,57.0,55.0,55.0,51.0,50.0,54.0
3,53.0,53.0,55.0,60.0,59.0,59.0,55.0,55.0,56.0,56.0,58.0
4,57.0,57.0,57.0,61.0,60.0,60.0,57.0,57.0,53.0,53.0,55.0
5,58.0,58.0,60.0,61.0,60.0,60.0,60.0,60.0,56.0,57.0,57.0
6,54.0,54.0,56.0,56.0,56.0,56.0,56.0,56.0,51.0,52.0,53.0
7,58.0,58.0,58.0,62.0,57.0,57.0,58.0,58.0,52.0,53.0,54.0
8,59.0,59.0,61.0,62.0,61.0,61.0,61.0,61.0,57.0,58.0,58.0
9,56.0,56.0,57.0,54.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0
10,58.0,58.0,60.0,58.0,60.0,60.0,60.0,60.0,52.0,52.0,52.0
11,57.0,57.0,57.0,59.0,56.0,57.0,57.0,57.0,55.0,56.0,55.0
12,57.0,57.0,57.0,54.0,56.0,56.0,57.0,57.0,56.0,56.0,56.0
13,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,53.0,53.0,53.0
14,58.0,58.0,58.0,60.0,56.0,56.0,58.0,58.0,56.0,57.0,56.0
15,55.0,55.0,54.0,55.0,53.0,52.0,54.0,54.0,54.0,54.0,53.0
16,57.0,57.0,57.0,61.0,55.0,55.0,57.0,57.0,51.0,51.0,50.0
17,57.0,57.0,57.0,61.0,57.0,56.0,57.0,57.0,54.0,55.0,53.0
18,52.0,52.0,54.0,59.0,58.0,58.0,54.0,54.0,57.0,57.0,57.0
19,56.0,56.0,56.0,60.0,60.0,59.0,56.0,56.0,57.0,57.0,57.0
20,57.0,57.0,59.0,61.0,59.0,59.0,59.0,59.0,62.0,62.0,62.0
21,53.0,53.0,55.0,59.0,58.0,58.0,55.0,55.0,57.0,57.0,58.0
22,57.0,57.0,57.0,61.0,61.0,59.0,57.0,57.0,58.0,58.0,58.0
23,58.0,58.0,60.0,62.0,60.0,60.0,60.0,60.0,63.0,63.0,63.0
24,57.0,57.0,57.0,59.0,56.0,56.0,57.0,57.0,59.0,59.0,59.0
25,57.0,57.0,59.0,60.0,59.0,59.0,59.0,59.0,56.0,56.0,56.0
26,62.0,62.0,62.0,60.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0
27,57.0,57.0,57.0,58.0,57.0,56.0,56.0,56.0,60.0,60.0,60.0
28,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,57.0,57.0,57.0
29,63.0,63.0,63.0,59.0,58.0,58.0,58.0,58.0,62.0,62.0,62.0
30,55.0,55.0,54.0,58.0,55.0,55.0,53.0,53.0,58.0,58.0,57.0
31,56.0,56.0,56.0,60.0,59.0,57.0,56.0,56.0,55.0,55.0,54.0
32,61.0,61.0,60.0,60.0,59.0,59.0,58.0,58.0,60.0,60.0,59.0
33,54.0,54.0,54.0,60.0,55.0,54.0,54.0,54.0,52.0,52.0,53.0
34,56.0,54.0,56.0,60.0,62.0,60.0,56.0,56.0,53.0,53.0,53.0
35,59.0,59.0,59.0,62.0,57.0,55.0,59.0,59.0,58.0,58.0,58.0
36,58.0,58.0,58.0,56.0,57.0,57.0,58.0,58.0,56.0,56.0,56.0
37,58.0,58.0,58.0,58.0,56.0,57.0,58.0,58.0,57.0,57.0,57.0
38,63.0,63.0,63.0,61.0,59.0,59.0,59.0,59.0,62.0,62.0,62.0
39,58.0,58.0,58.0,55.0,58.0,56.0,57.0,57.0,57.0,57.0,57.0
40,59.0,59.0,59.0,57.0,60.0,57.0,59.0,59.0,58.0,58.0,58.0
41,64.0,64.0,64.0,60.0,59.0,59.0,59.0,59.0,63.0,63.0,63.0
42,56.0,56.0,55.0,55.0,54.0,52.0,54.0,54.0,55.0,55.0,54.0
43,57.0,57.0,56.0,57.0,60.0,57.0,56.0,56.0,56.0,56.0,55.0
44,62.0,62.0,61.0,61.0,56.0,56.0,59.0,59.0,61.0,61.0,60.0
45,60.0,60.0,60.0,53.0,54.0,55.0,60.0,60.0,55.0,55.0,55.0
46,61.0,61.0,61.0,60.0,55.0,54.0,61.0,61.0,49.0,49.0,49.0
47,56.0,56.0,56.0,59.0,55.0,56.0,56.0,56.0,51.0,51.0,51.0
48,61.0,61.0,61.0,56.0,56.0,56.0,61.0,61.0,56.0,56.0,56.0
49,62.0,62.0,62.0,60.0,58.0,58.0,62.0,62.0,50.0,51.0,50.0
50,57.0,57.0,58.0,59.0,58.0,58.0,58.0,58.0,52.0,52.0,52.0
51,59.0,59.0,58.0,57.0,56.0,56.0,58.0,58.0,55.0,55.0,55.0
52,60.0,60.0,59.0,59.0,58.0,58.0,59.0,59.0,51.0,52.0,51.0
53,57.0,57.0,59.0,60.0,59.0,59.0,59.0,59.0,52.0,52.0,52.0
54,60.0,60.0,60.0,55.0,57.0,55.0,60.0,60.0,55.0,55.0,55.0
55,61.0,61.0,61.0,59.0,59.0,57.0,61.0,61.0,51.0,52.0,51.0
56,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,52.0,52.0,52.0
57,58.0,58.0,57.0,56.0,57.0,55.0,57.0,57.0,56.0,56.0,56.0
58,59.0,59.0,58.0,58.0,59.0,57.0,58.0,58.0,52.0,53.0,52.0
59,57.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0,53.0,53.0,53.0
60,54.0,54.0,53.0,54.0,53.0,52.0,53.0,53.0,54.0,54.0,53.0
61,55.0,55.0,54.0,56.0,59.0,56.0,54.0,54.0,50.0,51.0,49.0
62,56.0,56.0,56.0,60.0,55.0,54.0,56.0,56.0,51.0,51.0,50.0
63,51.0,51.0,53.0,58.0,57.0,57.0,53.0,53.0,56.0,56.0,56.0
64,55.0,55.0,55.0,59.0,62.0,62.0,55.0,55.0,60.0,60.0,60.0
65,56.0,56.0,58.0,60.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0
66,52.0,52.0,54.0,59.0,57.0,57.0,54.0,54.0,56.0,56.0,57.0
67,56.0,56.0,56.0,60.0,63.0,63.0,56.0,56.0,61.0,61.0,61.0
68,57.0,57.0,59.0,61.0,59.0,59.0,59.0,59.0,62.0,62.0,62.0
69,56.0,56.0,56.0,58.0,55.0,55.0,56.0,56.0,58.0,58.0,58.0
70,56.0,56.0,58.0,59.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0
71,61.0,61.0,61.0,59.0,57.0,57.0,57.0,57.0,60.0,60.0,60.0
72,56.0,56.0,56.0,57.0,59.0,59.0,55.0,55.0,59.0,59.0,59.0
73,57.0,57.0,58.0,58.0,61.0,61.0,58.0,58.0,60.0,60.0,60.0
74,62.0,62.0,62.0,58.0,57.0,57.0,57.0,57.0,61.0,61.0,61.0
75,54.0,54.0,53.0,57.0,55.0,55.0,52.0,52.0,57.0,57.0,56.0
76,55.0,55.0,55.0,59.0,61.0,61.0,55.0,55.0,58.0,58.0,57.0
77,60.0,60.0,59.0,59.0,58.0,58.0,57.0,57.0,59.0,59.0,58.0
78,53.0,53.0,53.0,59.0,57.0,57.0,53.0,53.0,51.0,51.0,52.0
79,55.0,53.0,55.0,59.0,64.0,64.0,55.0,55.0,56.0,56.0,56.0
80,58.0,58.0,58.0,62.0,59.0,59.0,58.0,58.0,57.0,57.0,57.0
81,57.0,57.0,57.0,59.0,56.0,56.0,57.0,57.0,55.0,55.0,55.0
82,57.0,57.0,57.0,60.0,58.0,58.0,57.0,57.0,60.0,60.0,60.0
83,62.0,62.0,62.0,60.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0
84,57.0,57.0,57.0,58.0,60.0,60.0,56.0,56.0,56.0,56.0,56.0
85,58.0,58.0,58.0,59.0,62.0,62.0,58.0,58.0,61.0,61.0,61.0
86,63.0,63.0,63.0,59.0,58.0,58.0,58.0,58.0,62.0,62.0,62.0
87,55.0,55.0,54.0,55.0,56.0,56.0,53.0,53.0,54.0,54.0,53.0
88,56.0,56.0,55.0,59.0,62.0,62.0,55.0,55.0,59.0,59.0,58.0
89,61.0,61.0,60.0,60.0,58.0,58.0,58.0,58.0,60.0,60.0,59.0
90,59.0,59.0,59.0,57.0,55.0,55.0,59.0,59.0,54.0,54.0,54.0
91,60.0,60.0,60.0,59.0,57.0,57.0,60.0,60.0,52.0,52.0,52.0
92,55.0,55.0,55.0,58.0,57.0,57.0,55.0,55.0,53.0,53.0,53.0
93,60.0,60.0,60.0,57.0,55.0,55.0,60.0,60.0,55.0,55.0,55.0
94,61.0,61.0,61.0,59.0,57.0,57.0,61.0,61.0,56.0,56.0,56.0
95,56.0,56.0,57.0,58.0,57.0,57.0,57.0,57.0,54.0,54.0,54.0
96,58.0,58.0,57.0,57.0,55.0,55.0,57.0,57.0,54.0,54.0,54.0
97,59.0,59.0,58.0,59.0,57.0,57.0,58.0,58.0,57.0,57.0,57.0
98,56.0,56.0,58.0,59.0,58.0,58.0,58.0,58.0,53.0,53.0,53.0
99,59.0,59.0,59.0,56.0,59.0,59.0,59.0,59.0,54.0,54.0,54.0
100,60.0,60.0,60.0,58.0,61.0,61.0,60.0,60.0,57.0,57.0,57.0
101,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,53.0,53.0,53.0
102,57.0,57.0,56.0,56.0,59.0,59.0,56.0,56.0,55.0,55.0,55.0
103,58.0,58.0,57.0,58.0,61.0,61.0,57.0,57.0,58.0,58.0,58.0
104,56.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,54.0,54.0,54.0
105,53.0,53.0,52.0,54.0,55.0,55.0,52.0,52.0,53.0,53.0,52.0
106,54.0,54.0,53.0,56.0,61.0,61.0,53.0,53.0,56.0,56.0,55.0
107,55.0,55.0,55.0,59.0,57.0,57.0,55.0,55.0,52.0,52.0,52.0
108,52.0,52.0,54.0,55.0,52.0,52.0,54.0,54.0,44.0,44.0,45.0
109,54.0,54.0,54.0,57.0,59.0,59.0,54.0,54.0,50.0,50.0,50.0
