Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,57.0,57.0,58.0,58.0,58.0,51.0,50.0,49.0,51.0,58.0,58.0,50.0,51.0,51.0
54,54.0,54.0,56.0,55.0,54.0,54.0,53.0,53.0,54.0,54.0,54.0,55.0,52.0,52.0
55,56.0,56.0,56.0,56.0,54.0,52.0,55.0,52.0,54.0,54.0,54.0,55.0,54.0,54.0
56,55.0,55.0,58.0,56.0,56.0,53.0,55.0,52.0,55.0,56.0,56.0,56.0,53.0,53.0
57,54.0,54.0,56.0,56.0,55.0,55.0,54.0,53.0,54.0,55.0,55.0,55.0,53.0,53.0
58,55.0,55.0,55.0,55.0,54.0,52.0,50.0,52.0,54.0,54.0,54.0,50.0,53.0,53.0
59,56.0,56.0,57.0,57.0,57.0,51.0,54.0,53.0,51.0,57.0,57.0,53.0,54.0,54.0
60,47.0,49.0,49.0,48.0,48.0,48.0,49.0,47.0,49.0,48.0,48.0,48.0,51.0,51.0
61,49.0,49.0,48.0,48.0,48.0,47.0,45.0,46.0,49.0,48.0,48.0,45.0,50.0,50.0
62,51.0,52.0,53.0,49.0,52.0,47.0,50.0,47.0,51.0,52.0,52.0,48.0,52.0,52.0
63,55.0,49.0,49.0,49.0,48.0,55.0,39.0,55.0,55.0,43.0,44.0,47.0,53.0,53.0
64,51.0,49.0,44.0,48.0,45.0,52.0,44.0,51.0,51.0,44.0,45.0,55.0,53.0,53.0
65,54.0,51.0,51.0,50.0,47.0,53.0,44.0,54.0,54.0,46.0,46.0,53.0,54.0,54.0
66,55.0,49.0,49.0,48.0,49.0,55.0,40.0,55.0,55.0,44.0,45.0,47.0,53.0,53.0
67,51.0,49.0,45.0,47.0,46.0,52.0,45.0,48.0,51.0,45.0,46.0,52.0,53.0,53.0
68,54.0,51.0,51.0,49.0,48.0,53.0,45.0,49.0,54.0,47.0,47.0,53.0,54.0,54.0
69,57.0,57.0,55.0,55.0,55.0,57.0,47.0,55.0,52.0,52.0,52.0,56.0,53.0,53.0
70,57.0,56.0,54.0,54.0,54.0,57.0,49.0,52.0,53.0,53.0,53.0,52.0,54.0,54.0
71,57.0,56.0,55.0,55.0,53.0,59.0,50.0,55.0,52.0,51.0,51.0,51.0,54.0,54.0
72,56.0,56.0,54.0,54.0,54.0,56.0,52.0,57.0,54.0,51.0,51.0,55.0,53.0,53.0
73,56.0,55.0,53.0,53.0,53.0,56.0,56.0,56.0,55.0,52.0,52.0,52.0,53.0,53.0
74,56.0,55.0,54.0,54.0,53.0,58.0,57.0,59.0,55.0,52.0,52.0,54.0,54.0,54.0
75,54.0,49.0,49.0,47.0,49.0,55.0,51.0,55.0,52.0,45.0,45.0,50.0,53.0,53.0
76,55.0,49.0,48.0,47.0,46.0,50.0,55.0,50.0,55.0,45.0,47.0,52.0,53.0,53.0
77,56.0,54.0,52.0,48.0,52.0,52.0,56.0,53.0,56.0,51.0,51.0,55.0,55.0,55.0
78,55.0,49.0,48.0,48.0,47.0,49.0,40.0,49.0,55.0,44.0,46.0,46.0,53.0,53.0
79,50.0,49.0,45.0,43.0,45.0,48.0,45.0,45.0,50.0,45.0,47.0,47.0,53.0,53.0
80,54.0,50.0,48.0,46.0,48.0,50.0,45.0,47.0,54.0,47.0,47.0,50.0,53.0,53.0
81,57.0,57.0,55.0,55.0,55.0,57.0,46.0,51.0,52.0,52.0,52.0,56.0,52.0,52.0
82,57.0,56.0,54.0,50.0,55.0,55.0,50.0,52.0,53.0,54.0,54.0,50.0,53.0,53.0
83,57.0,56.0,55.0,55.0,54.0,59.0,51.0,54.0,52.0,52.0,51.0,50.0,53.0,53.0
84,56.0,56.0,54.0,54.0,54.0,56.0,53.0,55.0,53.0,51.0,51.0,55.0,53.0,53.0
85,56.0,55.0,53.0,49.0,54.0,54.0,55.0,56.0,55.0,53.0,53.0,53.0,52.0,52.0
86,56.0,55.0,54.0,54.0,53.0,58.0,56.0,58.0,54.0,52.0,52.0,52.0,53.0,53.0
87,54.0,49.0,49.0,47.0,47.0,49.0,52.0,49.0,52.0,46.0,46.0,49.0,53.0,53.0
88,53.0,49.0,48.0,46.0,47.0,49.0,53.0,50.0,53.0,46.0,48.0,49.0,53.0,53.0
89,54.0,54.0,52.0,47.0,53.0,53.0,54.0,52.0,54.0,52.0,52.0,53.0,54.0,54.0
90,54.0,54.0,51.0,51.0,54.0,55.0,45.0,49.0,49.0,52.0,52.0,54.0,54.0,54.0
91,56.0,54.0,54.0,54.0,55.0,58.0,46.0,53.0,51.0,54.0,54.0,51.0,56.0,56.0
92,55.0,54.0,53.0,52.0,54.0,53.0,50.0,52.0,51.0,52.0,52.0,55.0,55.0,55.0
93,55.0,55.0,56.0,55.0,55.0,58.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0
94,56.0,56.0,56.0,56.0,55.0,57.0,52.0,57.0,53.0,54.0,54.0,55.0,56.0,56.0
95,57.0,56.0,58.0,56.0,57.0,53.0,57.0,56.0,55.0,56.0,56.0,59.0,55.0,55.0
96,55.0,55.0,56.0,56.0,56.0,55.0,51.0,49.0,51.0,55.0,55.0,54.0,52.0,52.0
97,56.0,56.0,55.0,55.0,55.0,53.0,51.0,51.0,51.0,54.0,54.0,52.0,53.0,53.0
98,57.0,57.0,57.0,57.0,58.0,53.0,56.0,52.0,56.0,57.0,57.0,53.0,53.0,53.0
99,54.0,54.0,55.0,54.0,54.0,57.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,53.0
100,55.0,55.0,55.0,55.0,54.0,56.0,54.0,56.0,53.0,53.0,53.0,54.0,55.0,55.0
101,56.0,55.0,57.0,55.0,56.0,53.0,56.0,55.0,54.0,55.0,55.0,58.0,54.0,54.0
102,55.0,55.0,55.0,55.0,55.0,56.0,53.0,53.0,53.0,54.0,54.0,55.0,53.0,53.0
103,55.0,55.0,54.0,54.0,54.0,54.0,52.0,52.0,53.0,53.0,53.0,51.0,53.0,53.0
104,56.0,56.0,56.0,56.0,57.0,54.0,57.0,56.0,55.0,56.0,56.0,52.0,53.0,53.0
105,52.0,49.0,48.0,47.0,48.0,49.0,50.0,47.0,50.0,47.0,47.0,48.0,51.0,51.0
106,53.0,49.0,47.0,47.0,48.0,47.0,51.0,46.0,51.0,47.0,47.0,47.0,52.0,52.0
107,56.0,52.0,52.0,48.0,52.0,50.0,56.0,50.0,56.0,51.0,51.0,52.0,54.0,54.0
108,48.0,48.0,44.0,41.0,41.0,49.0,40.0,49.0,45.0,44.0,47.0,42.0,47.0,47.0
109,43.0,48.0,41.0,39.0,40.0,46.0,41.0,43.0,43.0,41.0,44.0,44.0,49.0,49.0
110,45.0,49.0,43.0,40.0,40.0,47.0,43.0,43.0,45.0,43.0,46.0,45.0,46.0,47.0
111,56.0,56.0,49.0,49.0,47.0,54.0,47.0,49.0,44.0,45.0,52.0,50.0,48.0,48.0
112,51.0,54.0,47.0,45.0,48.0,55.0,48.0,50.0,45.0,47.0,54.0,48.0,49.0,49.0
113,55.0,55.0,48.0,48.0,49.0,56.0,49.0,51.0,49.0,46.0,51.0,48.0,48.0,48.0
114,55.0,55.0,48.0,48.0,47.0,53.0,53.0,53.0,49.0,44.0,51.0,49.0,53.0,53.0
115,50.0,53.0,46.0,44.0,47.0,54.0,53.0,54.0,47.0,46.0,53.0,47.0,48.0,48.0
116,54.0,54.0,47.0,47.0,50.0,55.0,54.0,55.0,49.0,45.0,52.0,51.0,52.0,52.0
117,48.0,48.0,45.0,41.0,43.0,49.0,48.0,49.0,45.0,44.0,47.0,43.0,50.0,50.0
118,46.0,48.0,44.0,43.0,44.0,47.0,48.0,48.0,46.0,45.0,46.0,44.0,49.0,49.0
119,47.0,52.0,47.0,41.0,46.0,47.0,49.0,49.0,47.0,45.0,52.0,49.0,53.0,53.0
120,53.0,53.0,47.0,46.0,47.0,53.0,46.0,48.0,43.0,45.0,52.0,51.0,51.0,51.0
121,54.0,54.0,47.0,47.0,49.0,53.0,47.0,48.0,48.0,47.0,54.0,52.0,53.0,53.0
122,53.0,53.0,50.0,46.0,50.0,54.0,51.0,53.0,48.0,47.0,52.0,55.0,53.0,53.0
123,54.0,54.0,52.0,48.0,51.0,55.0,53.0,52.0,46.0,50.0,54.0,54.0,52.0,52.0
124,56.0,56.0,50.0,49.0,52.0,53.0,52.0,52.0,49.0,50.0,54.0,55.0,53.0,53.0
125,56.0,55.0,55.0,49.0,55.0,54.0,56.0,57.0,48.0,52.0,56.0,59.0,53.0,53.0
126,53.0,53.0,49.0,49.0,49.0,53.0,48.0,48.0,44.0,48.0,55.0,49.0,49.0,49.0
127,54.0,54.0,48.0,48.0,49.0,53.0,47.0,48.0,44.0,47.0,54.0,49.0,52.0,52.0
128,55.0,55.0,50.0,50.0,55.0,54.0,51.0,53.0,49.0,50.0,57.0,53.0,53.0,53.0
129,53.0,53.0,51.0,47.0,50.0,54.0,53.0,52.0,47.0,49.0,53.0,54.0,52.0,52.0
130,55.0,55.0,49.0,48.0,51.0,53.0,55.0,51.0,53.0,49.0,53.0,54.0,52.0,52.0
131,55.0,54.0,54.0,48.0,54.0,54.0,56.0,56.0,52.0,51.0,55.0,58.0,52.0,52.0
132,54.0,54.0,48.0,48.0,48.0,53.0,53.0,52.0,47.0,47.0,54.0,49.0,53.0,53.0
133,53.0,53.0,47.0,47.0,48.0,54.0,52.0,52.0,48.0,46.0,53.0,48.0,52.0,52.0
134,54.0,54.0,49.0,49.0,54.0,55.0,56.0,57.0,49.0,49.0,56.0,53.0,53.0,53.0
135,48.0,48.0,44.0,41.0,43.0,48.0,48.0,47.0,43.0,42.0,47.0,44.0,50.0,50.0
136,47.0,48.0,44.0,43.0,45.0,47.0,47.0,46.0,44.0,45.0,47.0,45.0,49.0,49.0
137,49.0,50.0,48.0,41.0,48.0,48.0,51.0,51.0,49.0,44.0,51.0,49.0,54.0,54.0
138,50.0,50.0,45.0,44.0,51.0,53.0,44.0,49.0,41.0,46.0,51.0,49.0,50.0,50.0
139,52.0,52.0,49.0,48.0,50.0,48.0,39.0,47.0,46.0,45.0,52.0,54.0,52.0,52.0
140,51.0,52.0,48.0,48.0,53.0,51.0,43.0,47.0,45.0,47.0,52.0,49.0,51.0,51.0
141,54.0,54.0,50.0,48.0,56.0,55.0,51.0,53.0,46.0,51.0,54.0,54.0,54.0,54.0
142,54.0,56.0,54.0,49.0,55.0,52.0,46.0,51.0,47.0,50.0,56.0,58.0,53.0,53.0
143,55.0,55.0,51.0,49.0,58.0,53.0,50.0,51.0,48.0,52.0,56.0,53.0,54.0,54.0
144,51.0,51.0,47.0,47.0,48.0,53.0,46.0,48.0,41.0,48.0,55.0,51.0,54.0,54.0
145,52.0,52.0,47.0,47.0,49.0,51.0,43.0,47.0,46.0,47.0,54.0,52.0,53.0,53.0
146,53.0,53.0,48.0,48.0,52.0,53.0,45.0,48.0,45.0,48.0,55.0,49.0,55.0,55.0
147,54.0,55.0,50.0,48.0,55.0,56.0,54.0,52.0,46.0,50.0,54.0,58.0,54.0,54.0
148,54.0,56.0,54.0,49.0,55.0,52.0,51.0,51.0,51.0,49.0,56.0,57.0,53.0,53.0
149,55.0,57.0,51.0,49.0,57.0,55.0,55.0,52.0,50.0,51.0,56.0,53.0,54.0,54.0
150,54.0,54.0,50.0,48.0,52.0,55.0,53.0,52.0,45.0,51.0,54.0,52.0,54.0,54.0
151,54.0,56.0,51.0,47.0,52.0,52.0,48.0,51.0,47.0,50.0,56.0,53.0,53.0,53.0
152,55.0,55.0,51.0,49.0,55.0,53.0,50.0,52.0,50.0,52.0,56.0,53.0,55.0,55.0
153,51.0,51.0,47.0,47.0,48.0,52.0,48.0,47.0,40.0,48.0,55.0,47.0,49.0,49.0
154,52.0,52.0,48.0,48.0,49.0,47.0,43.0,46.0,44.0,47.0,54.0,47.0,53.0,53.0
155,53.0,53.0,48.0,48.0,52.0,49.0,45.0,46.0,45.0,48.0,55.0,47.0,50.0,50.0
156,53.0,54.0,50.0,47.0,54.0,55.0,53.0,51.0,46.0,49.0,53.0,57.0,53.0,53.0
157,54.0,55.0,53.0,48.0,54.0,51.0,50.0,50.0,50.0,48.0,55.0,56.0,52.0,52.0
158,54.0,56.0,51.0,48.0,56.0,54.0,54.0,51.0,49.0,51.0,55.0,53.0,53.0,53.0
159,53.0,53.0,51.0,47.0,51.0,54.0,53.0,51.0,46.0,50.0,53.0,53.0,53.0,53.0
160,55.0,55.0,50.0,48.0,52.0,51.0,51.0,50.0,51.0,49.0,55.0,54.0,53.0,53.0
161,54.0,54.0,52.0,48.0,54.0,52.0,55.0,51.0,50.0,52.0,55.0,54.0,54.0,54.0
162,52.0,52.0,48.0,48.0,48.0,52.0,53.0,51.0,44.0,47.0,54.0,48.0,53.0,53.0
163,53.0,53.0,47.0,47.0,48.0,47.0,47.0,50.0,46.0,47.0,53.0,48.0,52.0,52.0
164,54.0,54.0,49.0,49.0,53.0,49.0,50.0,50.0,50.0,49.0,56.0,50.0,54.0,54.0
165,46.0,46.0,45.0,41.0,45.0,45.0,48.0,45.0,39.0,44.0,47.0,42.0,49.0,48.0
166,47.0,47.0,44.0,41.0,45.0,44.0,41.0,44.0,43.0,45.0,47.0,42.0,49.0,49.0
167,48.0,49.0,46.0,42.0,49.0,44.0,45.0,46.0,45.0,46.0,50.0,45.0,50.0,50.0
