Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,37.0,38.0,39.0,40.0
1,36.0,44.0,41.0,39.0
2,37.0,43.0,40.0,39.0
3,37.0,38.0,38.0,39.0
4,38.0,44.0,42.0,39.0
5,37.0,43.0,40.0,39.0
6,34.0,38.0,39.0,40.0
7,38.0,43.0,43.0,40.0
8,38.0,44.0,41.0,40.0
9,39.0,41.0,42.0,40.0
10,44.0,43.0,44.0,40.0
11,43.0,43.0,42.0,40.0
12,38.0,42.0,41.0,39.0
13,43.0,44.0,43.0,39.0
14,42.0,44.0,41.0,40.0
15,34.0,41.0,39.0,40.0
16,38.0,43.0,44.0,40.0
17,37.0,44.0,41.0,40.0
18,36.0,37.0,37.0,38.0
19,37.0,43.0,41.0,38.0
20,37.0,42.0,41.0,38.0
21,33.0,37.0,38.0,39.0
22,38.0,43.0,42.0,39.0
23,38.0,43.0,41.0,39.0
24,38.0,41.0,41.0,39.0
25,44.0,44.0,43.0,42.0
26,43.0,43.0,42.0,42.0
27,37.0,42.0,40.0,38.0
28,43.0,44.0,42.0,41.0
29,42.0,44.0,42.0,41.0
30,33.0,40.0,38.0,39.0
31,38.0,44.0,43.0,39.0
32,37.0,43.0,43.0,39.0
33,33.0,37.0,37.0,34.0
34,38.0,43.0,43.0,39.0
35,36.0,39.0,39.0,39.0
36,39.0,42.0,42.0,38.0
37,43.0,45.0,44.0,43.0
38,44.0,44.0,43.0,43.0
39,38.0,43.0,41.0,39.0
40,42.0,45.0,43.0,42.0
41,43.0,45.0,42.0,42.0
42,34.0,41.0,39.0,37.0
43,39.0,45.0,44.0,40.0
44,38.0,43.0,43.0,40.0
45,41.0,42.0,43.0,37.0
46,43.0,46.0,44.0,39.0
47,43.0,44.0,42.0,40.0
48,40.0,42.0,43.0,39.0
49,42.0,47.0,44.0,43.0
50,43.0,44.0,44.0,43.0
51,39.0,41.0,44.0,38.0
52,43.0,45.0,45.0,44.0
53,44.0,45.0,45.0,44.0
54,39.0,42.0,42.0,38.0
