Scenario,Roll 0,Roll 1,Roll 2
0,40.0,39.0,42.0
1,40.0,41.0,43.0
2,39.0,41.0,39.0
3,41.0,38.0,41.0
4,41.0,40.0,42.0
5,41.0,41.0,41.0
6,40.0,39.0,37.0
7,41.0,41.0,43.0
8,41.0,41.0,42.0
9,39.0,39.0,40.0
10,40.0,41.0,42.0
11,41.0,41.0,39.0
12,39.0,38.0,40.0
13,40.0,40.0,42.0
14,41.0,40.0,42.0
15,40.0,39.0,37.0
16,41.0,41.0,42.0
17,39.0,41.0,43.0
18,40.0,39.0,41.0
19,42.0,41.0,42.0
20,43.0,43.0,40.0
21,41.0,38.0,42.0
22,42.0,40.0,43.0
23,43.0,43.0,41.0
24,43.0,39.0,39.0
25,41.0,43.0,42.0
26,41.0,43.0,41.0
27,42.0,38.0,40.0
28,41.0,42.0,42.0
29,41.0,42.0,42.0
30,41.0,39.0,36.0
31,41.0,40.0,43.0
32,41.0,40.0,42.0
33,40.0,37.0,43.0
34,41.0,39.0,44.0
35,41.0,40.0,39.0
36,40.0,38.0,40.0
37,41.0,39.0,43.0
38,41.0,41.0,42.0
39,40.0,37.0,41.0
40,41.0,38.0,43.0
41,41.0,40.0,43.0
42,40.0,38.0,37.0
43,41.0,39.0,44.0
44,41.0,40.0,42.0
45,45.0,39.0,41.0
46,46.0,40.0,43.0
47,41.0,41.0,41.0
48,45.0,40.0,43.0
49,46.0,40.0,45.0
50,41.0,45.0,43.0
51,40.0,40.0,42.0
52,41.0,40.0,44.0
53,41.0,45.0,44.0
54,44.0,39.0,42.0
55,45.0,39.0,44.0
56,41.0,44.0,42.0
57,40.0,39.0,41.0
58,41.0,39.0,43.0
59,41.0,44.0,43.0
60,40.0,39.0,38.0
61,40.0,38.0,42.0
62,38.0,41.0,43.0
63,39.0,38.0,40.0
64,41.0,40.0,41.0
65,42.0,43.0,39.0
66,40.0,39.0,41.0
67,42.0,41.0,42.0
68,43.0,43.0,40.0
69,43.0,39.0,38.0
70,44.0,42.0,41.0
71,45.0,43.0,40.0
72,43.0,38.0,39.0
73,44.0,41.0,41.0
74,45.0,43.0,41.0
75,40.0,39.0,35.0
76,42.0,41.0,42.0
77,43.0,43.0,41.0
78,41.0,38.0,42.0
79,42.0,40.0,43.0
80,43.0,43.0,39.0
81,43.0,38.0,39.0
82,44.0,43.0,42.0
83,45.0,43.0,41.0
84,43.0,37.0,40.0
85,44.0,42.0,42.0
86,45.0,43.0,42.0
87,41.0,38.0,36.0
88,42.0,40.0,43.0
89,43.0,43.0,41.0
90,44.0,38.0,40.0
91,45.0,43.0,42.0
92,46.0,43.0,40.0
93,44.0,39.0,42.0
94,45.0,43.0,44.0
95,46.0,44.0,42.0
96,43.0,39.0,41.0
97,41.0,43.0,43.0
98,41.0,44.0,43.0
99,43.0,38.0,41.0
100,44.0,43.0,43.0
101,45.0,43.0,42.0
102,43.0,38.0,41.0
103,40.0,43.0,42.0
104,41.0,43.0,43.0
105,40.0,38.0,38.0
106,40.0,40.0,41.0
107,40.0,41.0,44.0
108,38.0,35.0,36.0
109,40.0,35.0,39.0
110,39.0,40.0,39.0
111,39.0,36.0,38.0
112,40.0,39.0,42.0
113,41.0,40.0,39.0
114,39.0,35.0,37.0
115,40.0,38.0,43.0
116,41.0,39.0,39.0
117,40.0,34.0,37.0
118,40.0,35.0,38.0
119,41.0,39.0,39.0
120,44.0,36.0,39.0
121,44.0,39.0,42.0
122,46.0,40.0,41.0
123,44.0,38.0,40.0
124,44.0,39.0,41.0
125,46.0,43.0,42.0
126,40.0,38.0,41.0
127,40.0,39.0,42.0
128,41.0,43.0,43.0
129,43.0,37.0,41.0
130,44.0,39.0,42.0
131,45.0,42.0,43.0
132,39.0,37.0,42.0
133,40.0,39.0,43.0
134,41.0,42.0,44.0
135,40.0,35.0,39.0
136,40.0,35.0,39.0
137,40.0,40.0,45.0
138,43.0,36.0,40.0
139,44.0,39.0,41.0
140,40.0,39.0,41.0
141,44.0,38.0,42.0
142,45.0,39.0,42.0
143,41.0,43.0,44.0
144,43.0,38.0,42.0
145,44.0,39.0,42.0
146,40.0,43.0,45.0
147,44.0,38.0,42.0
148,45.0,39.0,44.0
149,41.0,43.0,44.0
150,43.0,38.0,43.0
151,44.0,39.0,45.0
152,40.0,43.0,45.0
153,39.0,38.0,42.0
154,40.0,39.0,46.0
155,38.0,43.0,44.0
156,43.0,38.0,41.0
157,44.0,39.0,43.0
158,40.0,43.0,43.0
159,43.0,38.0,42.0
160,44.0,39.0,44.0
161,40.0,43.0,44.0
162,39.0,38.0,42.0
163,40.0,39.0,45.0
164,38.0,43.0,44.0
165,39.0,35.0,37.0
166,38.0,35.0,39.0
167,35.0,40.0,43.0
