Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,48.0,46.0,45.0,46.0,45.0,46.0,45.0,46.0,50.0,45.0,51.0,50.0
63,50.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,44.0,48.0,45.0,44.0
64,46.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,44.0,49.0,44.0,44.0
65,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44.0,50.0,45.0,44.0
66,51.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,44.0,49.0,45.0,44.0
67,46.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,44.0,50.0,45.0,44.0
68,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,44.0,51.0,44.0,44.0
69,47.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0,49.0,48.0,47.0
70,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,50.0,44.0,45.0
71,46.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,50.0,45.0,45.0
72,51.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0
73,50.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0,49.0,48.0
74,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,50.0,50.0,49.0
75,52.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,49.0,46.0,49.0
76,51.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,49.0,50.0,50.0,49.0
77,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,50.0
78,51.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,44.0,49.0,45.0,44.0
79,46.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,43.0,50.0,44.0,43.0
80,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,40.0,51.0,41.0,40.0
