Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,46.0,46.0,46.0,46.0,46.0,46.0
122,47.0,46.0,47.0,46.0,46.0,47.0
123,45.0,44.0,45.0,44.0,44.0,45.0
124,46.0,46.0,46.0,46.0,46.0,46.0
125,47.0,45.0,47.0,45.0,45.0,47.0
126,45.0,45.0,45.0,45.0,45.0,45.0
127,46.0,47.0,46.0,46.0,46.0,46.0
128,47.0,46.0,47.0,46.0,46.0,47.0
129,44.0,43.0,44.0,43.0,43.0,44.0
130,46.0,45.0,46.0,45.0,45.0,46.0
131,46.0,44.0,46.0,44.0,44.0,46.0
132,45.0,44.0,45.0,44.0,44.0,45.0
133,46.0,46.0,46.0,46.0,46.0,46.0
134,47.0,45.0,47.0,45.0,45.0,47.0
135,45.0,44.0,45.0,44.0,44.0,45.0
136,46.0,46.0,46.0,46.0,46.0,46.0
137,47.0,46.0,47.0,46.0,46.0,47.0
138,45.0,44.0,45.0,44.0,44.0,45.0
139,46.0,46.0,46.0,46.0,46.0,46.0
140,50.0,50.0,50.0,50.0,50.0,50.0
141,44.0,43.0,44.0,43.0,43.0,44.0
142,46.0,45.0,45.0,45.0,45.0,45.0
143,49.0,49.0,49.0,49.0,49.0,49.0
144,45.0,44.0,45.0,44.0,44.0,45.0
145,47.0,46.0,43.0,43.0,43.0,43.0
146,47.0,45.0,47.0,45.0,45.0,47.0
147,45.0,43.0,45.0,43.0,43.0,45.0
148,47.0,45.0,45.0,45.0,45.0,45.0
149,49.0,49.0,49.0,49.0,49.0,49.0
150,46.0,44.0,46.0,44.0,44.0,46.0
151,48.0,46.0,46.0,46.0,46.0,46.0
152,50.0,50.0,50.0,50.0,50.0,50.0
153,46.0,45.0,46.0,45.0,45.0,46.0
154,47.0,47.0,47.0,47.0,47.0,47.0
155,51.0,51.0,51.0,51.0,51.0,51.0
156,44.0,42.0,44.0,42.0,42.0,44.0
157,46.0,44.0,44.0,44.0,44.0,44.0
158,48.0,48.0,48.0,48.0,48.0,48.0
159,45.0,43.0,45.0,43.0,43.0,45.0
160,47.0,45.0,45.0,45.0,45.0,45.0
161,49.0,49.0,49.0,49.0,49.0,49.0
162,45.0,44.0,45.0,44.0,44.0,45.0
163,46.0,46.0,46.0,46.0,46.0,46.0
164,50.0,50.0,50.0,50.0,50.0,50.0
165,44.0,44.0,44.0,44.0,44.0,44.0
166,42.0,42.0,42.0,42.0,42.0,42.0
167,46.0,46.0,46.0,46.0,46.0,46.0
