Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,39.0,37.0,37.0,38.0,38.0,38.0,33.0,36.0,34.0
83,37.0,36.0,37.0,37.0,39.0,36.0,35.0,36.0,37.0
84,37.0,37.0,36.0,37.0,36.0,36.0,35.0,38.0,34.0
85,38.0,38.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0
86,37.0,38.0,37.0,37.0,39.0,36.0,36.0,38.0,38.0
87,34.0,36.0,34.0,34.0,36.0,33.0,35.0,36.0,35.0
88,35.0,36.0,35.0,35.0,37.0,36.0,36.0,37.0,37.0
89,38.0,35.0,37.0,38.0,39.0,37.0,37.0,39.0,37.0
90,39.0,32.0,36.0,39.0,39.0,38.0,33.0,38.0,34.0
91,39.0,36.0,38.0,39.0,40.0,38.0,34.0,39.0,35.0
92,38.0,34.0,38.0,38.0,40.0,37.0,36.0,40.0,38.0
93,40.0,36.0,36.0,40.0,39.0,39.0,35.0,38.0,36.0
94,39.0,36.0,38.0,39.0,39.0,39.0,37.0,39.0,36.0
95,40.0,38.0,38.0,40.0,40.0,39.0,37.0,41.0,38.0
96,38.0,32.0,35.0,38.0,37.0,37.0,35.0,37.0,37.0
97,39.0,35.0,37.0,39.0,39.0,40.0,36.0,37.0,37.0
98,41.0,34.0,38.0,41.0,39.0,40.0,37.0,40.0,39.0
99,39.0,36.0,35.0,39.0,38.0,38.0,35.0,38.0,37.0
100,38.0,35.0,37.0,38.0,38.0,38.0,37.0,39.0,37.0
101,39.0,38.0,37.0,39.0,39.0,38.0,37.0,40.0,39.0
102,37.0,36.0,35.0,37.0,36.0,36.0,35.0,39.0,36.0
103,38.0,35.0,37.0,38.0,38.0,39.0,36.0,40.0,36.0
104,40.0,38.0,37.0,40.0,39.0,39.0,37.0,41.0,38.0
105,34.0,31.0,33.0,34.0,36.0,33.0,34.0,35.0,35.0
106,35.0,31.0,35.0,35.0,37.0,36.0,36.0,36.0,35.0
107,38.0,33.0,37.0,38.0,37.0,37.0,36.0,38.0,37.0
108,32.0,30.0,32.0,32.0,35.0,31.0,32.0,35.0,35.0
109,31.0,31.0,34.0,32.0,36.0,31.0,32.0,33.0,32.0
110,32.0,32.0,34.0,32.0,37.0,32.0,33.0,32.0,37.0
111,36.0,32.0,34.0,36.0,36.0,35.0,33.0,35.0,35.0
112,38.0,33.0,35.0,38.0,36.0,37.0,34.0,36.0,34.0
113,34.0,33.0,37.0,35.0,37.0,34.0,35.0,36.0,37.0
114,36.0,32.0,34.0,36.0,35.0,35.0,33.0,36.0,34.0
115,37.0,34.0,35.0,37.0,36.0,36.0,34.0,36.0,36.0
116,35.0,37.0,37.0,34.0,37.0,34.0,36.0,37.0,37.0
117,34.0,31.0,33.0,34.0,36.0,33.0,33.0,35.0,35.0
118,35.0,32.0,35.0,35.0,37.0,34.0,34.0,36.0,35.0
119,35.0,35.0,36.0,35.0,37.0,34.0,37.0,36.0,37.0
120,38.0,33.0,35.0,38.0,38.0,37.0,34.0,38.0,34.0
121,39.0,34.0,36.0,39.0,39.0,38.0,35.0,38.0,35.0
122,38.0,35.0,38.0,38.0,39.0,37.0,36.0,39.0,38.0
123,39.0,33.0,35.0,39.0,38.0,38.0,34.0,38.0,36.0
124,39.0,37.0,36.0,39.0,38.0,38.0,35.0,39.0,36.0
125,39.0,38.0,38.0,39.0,39.0,38.0,37.0,39.0,38.0
126,38.0,33.0,36.0,38.0,37.0,37.0,34.0,37.0,37.0
127,39.0,35.0,36.0,39.0,38.0,38.0,35.0,37.0,37.0
128,40.0,34.0,38.0,40.0,39.0,39.0,37.0,40.0,39.0
129,39.0,32.0,34.0,39.0,37.0,38.0,34.0,38.0,37.0
130,38.0,36.0,36.0,38.0,37.0,37.0,35.0,38.0,37.0
131,38.0,38.0,37.0,38.0,39.0,37.0,37.0,40.0,39.0
132,37.0,32.0,35.0,37.0,36.0,36.0,34.0,36.0,36.0
133,38.0,36.0,35.0,38.0,37.0,37.0,35.0,38.0,36.0
134,39.0,38.0,38.0,39.0,38.0,38.0,37.0,41.0,38.0
135,34.0,32.0,34.0,34.0,37.0,33.0,33.0,35.0,35.0
136,35.0,32.0,36.0,35.0,38.0,34.0,34.0,36.0,35.0
137,36.0,33.0,36.0,36.0,38.0,37.0,36.0,38.0,38.0
138,38.0,34.0,35.0,38.0,39.0,37.0,34.0,38.0,35.0
139,38.0,37.0,37.0,37.0,38.0,37.0,35.0,39.0,36.0
140,38.0,34.0,39.0,38.0,39.0,37.0,37.0,43.0,37.0
141,40.0,34.0,36.0,40.0,39.0,39.0,34.0,38.0,36.0
142,39.0,38.0,37.0,39.0,39.0,38.0,36.0,39.0,37.0
143,41.0,37.0,39.0,41.0,40.0,40.0,38.0,42.0,38.0
144,41.0,34.0,37.0,41.0,39.0,40.0,34.0,38.0,37.0
145,40.0,34.0,37.0,40.0,36.0,39.0,35.0,38.0,37.0
146,42.0,34.0,39.0,42.0,40.0,41.0,36.0,39.0,38.0
147,41.0,34.0,36.0,41.0,40.0,40.0,34.0,38.0,37.0
148,40.0,38.0,37.0,40.0,38.0,39.0,36.0,39.0,37.0
149,42.0,36.0,38.0,42.0,40.0,41.0,38.0,43.0,38.0
150,41.0,33.0,37.0,41.0,39.0,40.0,34.0,38.0,37.0
151,40.0,38.0,37.0,40.0,39.0,40.0,35.0,39.0,37.0
152,43.0,36.0,39.0,43.0,40.0,42.0,37.0,40.0,39.0
153,38.0,33.0,37.0,38.0,39.0,37.0,33.0,37.0,36.0
154,39.0,37.0,37.0,39.0,38.0,38.0,35.0,38.0,38.0
155,40.0,34.0,39.0,40.0,39.0,41.0,37.0,39.0,40.0
156,41.0,33.0,35.0,41.0,39.0,40.0,34.0,38.0,36.0
157,40.0,37.0,36.0,40.0,37.0,39.0,36.0,39.0,36.0
158,41.0,35.0,37.0,41.0,39.0,40.0,38.0,42.0,37.0
159,40.0,32.0,36.0,40.0,38.0,39.0,34.0,38.0,36.0
160,39.0,37.0,36.0,39.0,38.0,39.0,35.0,39.0,37.0
161,42.0,35.0,38.0,42.0,39.0,41.0,36.0,40.0,38.0
162,37.0,32.0,36.0,37.0,38.0,36.0,33.0,36.0,35.0
163,38.0,36.0,36.0,38.0,37.0,37.0,35.0,38.0,37.0
164,39.0,34.0,38.0,39.0,39.0,40.0,37.0,40.0,39.0
165,34.0,32.0,35.0,34.0,36.0,33.0,32.0,35.0,34.0
166,35.0,32.0,36.0,35.0,34.0,34.0,34.0,36.0,35.0
167,36.0,29.0,36.0,36.0,35.0,37.0,35.0,36.0,36.0
