Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,47.0,47.0,42.0,49.0,49.0,43.0,43.0
106,47.0,47.0,44.0,50.0,50.0,47.0,47.0
107,48.0,48.0,47.0,52.0,52.0,44.0,44.0
108,42.0,42.0,42.0,47.0,47.0,43.0,43.0
109,40.0,40.0,43.0,48.0,48.0,43.0,43.0
110,41.0,41.0,45.0,48.0,48.0,43.0,43.0
111,53.0,53.0,48.0,49.0,48.0,52.0,52.0
112,47.0,46.0,49.0,50.0,49.0,53.0,53.0
113,51.0,51.0,53.0,52.0,52.0,53.0,53.0
114,53.0,53.0,47.0,48.0,48.0,52.0,52.0
115,47.0,46.0,48.0,49.0,49.0,53.0,53.0
116,51.0,51.0,52.0,51.0,51.0,53.0,53.0
117,46.0,46.0,42.0,48.0,48.0,42.0,42.0
118,45.0,45.0,44.0,49.0,49.0,45.0,45.0
119,46.0,46.0,46.0,49.0,50.0,45.0,45.0
120,53.0,53.0,49.0,49.0,49.0,52.0,52.0
121,48.0,48.0,52.0,53.0,53.0,53.0,53.0
122,52.0,52.0,55.0,53.0,53.0,53.0,53.0
123,54.0,54.0,49.0,50.0,50.0,52.0,52.0
124,54.0,54.0,51.0,52.0,52.0,53.0,53.0
125,55.0,55.0,55.0,53.0,53.0,54.0,54.0
126,54.0,54.0,49.0,51.0,51.0,52.0,52.0
127,55.0,55.0,49.0,51.0,51.0,53.0,53.0
128,56.0,56.0,55.0,53.0,53.0,53.0,53.0
129,54.0,54.0,48.0,49.0,49.0,52.0,52.0
130,54.0,54.0,50.0,51.0,51.0,53.0,53.0
131,55.0,55.0,54.0,52.0,52.0,54.0,54.0
132,54.0,54.0,48.0,50.0,50.0,52.0,52.0
133,55.0,55.0,49.0,50.0,50.0,53.0,53.0
134,56.0,56.0,54.0,53.0,53.0,53.0,53.0
135,47.0,47.0,42.0,49.0,49.0,43.0,43.0
136,48.0,48.0,44.0,50.0,50.0,46.0,46.0
137,49.0,49.0,47.0,50.0,51.0,45.0,45.0
138,49.0,49.0,50.0,49.0,48.0,51.0,51.0
