Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,58.0,58.0,59.0,58.0,58.0
144,54.0,56.0,59.0,56.0,56.0
145,56.0,56.0,57.0,55.0,55.0
146,57.0,59.0,60.0,59.0,59.0
147,54.0,57.0,58.0,56.0,56.0
148,58.0,59.0,58.0,58.0,58.0
149,57.0,59.0,58.0,59.0,59.0
150,55.0,58.0,59.0,57.0,57.0
151,58.0,59.0,59.0,59.0,59.0
152,58.0,60.0,59.0,59.0,59.0
153,55.0,58.0,59.0,58.0,58.0
154,56.0,59.0,60.0,59.0,59.0
155,58.0,60.0,58.0,59.0,59.0
156,53.0,57.0,57.0,57.0,57.0
157,57.0,59.0,57.0,58.0,58.0
158,58.0,60.0,57.0,59.0,59.0
159,54.0,58.0,58.0,58.0,58.0
160,57.0,60.0,58.0,59.0,59.0
161,59.0,60.0,58.0,58.0,58.0
162,54.0,58.0,58.0,58.0,58.0
163,58.0,60.0,59.0,59.0,59.0
164,59.0,60.0,58.0,59.0,59.0
165,49.0,58.0,57.0,58.0,58.0
166,54.0,60.0,59.0,57.0,57.0
167,53.0,59.0,58.0,59.0,59.0
