Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,48.0,51.0,49.0,52.0,49.0,54.0
122,53.0,50.0,52.0,52.0,52.0,53.0
123,51.0,48.0,52.0,55.0,52.0,57.0
124,52.0,54.0,52.0,53.0,52.0,56.0
125,57.0,53.0,55.0,53.0,55.0,56.0
126,52.0,48.0,53.0,52.0,53.0,58.0
127,52.0,55.0,53.0,54.0,53.0,57.0
128,58.0,54.0,56.0,54.0,56.0,57.0
129,51.0,47.0,52.0,54.0,52.0,56.0
130,52.0,53.0,52.0,53.0,52.0,55.0
131,57.0,52.0,54.0,53.0,54.0,55.0
132,52.0,48.0,52.0,52.0,52.0,57.0
133,52.0,54.0,52.0,54.0,52.0,56.0
134,58.0,53.0,55.0,54.0,55.0,56.0
135,51.0,48.0,53.0,51.0,53.0,54.0
136,51.0,50.0,53.0,53.0,53.0,53.0
137,57.0,50.0,54.0,53.0,54.0,54.0
138,48.0,41.0,49.0,50.0,49.0,51.0
139,45.0,43.0,45.0,48.0,47.0,53.0
140,45.0,43.0,46.0,48.0,47.0,53.0
141,50.0,41.0,52.0,53.0,52.0,53.0
142,49.0,47.0,48.0,51.0,48.0,55.0
143,48.0,46.0,48.0,51.0,49.0,55.0
144,51.0,41.0,53.0,54.0,53.0,54.0
145,49.0,48.0,49.0,52.0,49.0,56.0
146,49.0,47.0,49.0,52.0,50.0,56.0
147,50.0,40.0,51.0,54.0,51.0,54.0
148,49.0,47.0,48.0,52.0,48.0,56.0
149,48.0,46.0,48.0,52.0,48.0,54.0
150,51.0,41.0,52.0,55.0,52.0,55.0
151,49.0,47.0,48.0,53.0,48.0,57.0
152,48.0,47.0,48.0,53.0,49.0,55.0
153,51.0,41.0,51.0,52.0,51.0,54.0
154,49.0,47.0,49.0,50.0,49.0,56.0
155,49.0,47.0,49.0,50.0,49.0,54.0
156,50.0,40.0,50.0,53.0,50.0,53.0
157,49.0,46.0,47.0,51.0,47.0,55.0
158,47.0,46.0,50.0,51.0,50.0,53.0
159,50.0,41.0,51.0,54.0,51.0,54.0
160,49.0,46.0,48.0,52.0,48.0,56.0
161,48.0,47.0,51.0,52.0,51.0,54.0
162,51.0,41.0,50.0,52.0,50.0,53.0
163,49.0,47.0,48.0,50.0,48.0,55.0
164,48.0,46.0,51.0,51.0,51.0,54.0
165,50.0,41.0,51.0,51.0,51.0,51.0
166,48.0,42.0,48.0,49.0,49.0,53.0
167,49.0,43.0,49.0,49.0,49.0,55.0
