Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
46,60.0,60.0,55.0,60.0,57.0,59.0,57.0,58.0,60.0,59.0,56.0,58.0,59.0,55.0,60.0,58.0
47,60.0,60.0,53.0,58.0,55.0,57.0,55.0,56.0,58.0,59.0,56.0,56.0,57.0,55.0,60.0,56.0
48,60.0,60.0,57.0,59.0,59.0,57.0,59.0,59.0,58.0,60.0,59.0,59.0,59.0,60.0,60.0,59.0
49,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,61.0,54.0,61.0,61.0
50,61.0,61.0,52.0,59.0,58.0,58.0,58.0,58.0,59.0,61.0,56.0,58.0,58.0,54.0,61.0,58.0
51,61.0,61.0,58.0,60.0,60.0,56.0,60.0,60.0,59.0,61.0,60.0,60.0,60.0,61.0,61.0,60.0
52,62.0,62.0,55.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,54.0,62.0,62.0,55.0,62.0,62.0
53,62.0,62.0,53.0,60.0,58.0,58.0,58.0,58.0,60.0,62.0,57.0,58.0,58.0,55.0,62.0,58.0
54,59.0,59.0,56.0,58.0,58.0,56.0,58.0,58.0,57.0,59.0,58.0,58.0,58.0,59.0,59.0,58.0
55,60.0,60.0,53.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,54.0,60.0,60.0,53.0,60.0,60.0
56,60.0,60.0,51.0,58.0,57.0,58.0,57.0,57.0,58.0,60.0,55.0,57.0,58.0,53.0,60.0,57.0
57,60.0,60.0,57.0,59.0,59.0,57.0,59.0,59.0,58.0,60.0,59.0,59.0,59.0,60.0,60.0,59.0
58,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,53.0,61.0,61.0,54.0,61.0,61.0
59,61.0,61.0,52.0,59.0,58.0,59.0,58.0,58.0,59.0,61.0,56.0,58.0,59.0,54.0,61.0,58.0
60,59.0,59.0,58.0,59.0,57.0,57.0,57.0,57.0,59.0,59.0,55.0,57.0,58.0,56.0,59.0,57.0
61,57.0,57.0,52.0,59.0,58.0,58.0,58.0,58.0,59.0,57.0,49.0,58.0,58.0,50.0,57.0,58.0
62,57.0,57.0,53.0,60.0,58.0,59.0,58.0,58.0,60.0,57.0,51.0,58.0,59.0,50.0,57.0,58.0
63,61.0,60.0,60.0,60.0,56.0,57.0,56.0,56.0,58.0,59.0,60.0,55.0,58.0,61.0,61.0,55.0
64,62.0,61.0,62.0,62.0,55.0,58.0,55.0,56.0,58.0,59.0,61.0,55.0,58.0,62.0,62.0,55.0
65,62.0,61.0,62.0,62.0,57.0,59.0,57.0,58.0,60.0,59.0,61.0,58.0,60.0,62.0,62.0,57.0
66,60.0,59.0,60.0,60.0,57.0,57.0,57.0,57.0,59.0,60.0,58.0,56.0,59.0,58.0,60.0,56.0
67,59.0,59.0,60.0,59.0,55.0,59.0,55.0,56.0,59.0,59.0,59.0,55.0,59.0,59.0,59.0,56.0
68,60.0,59.0,63.0,63.0,58.0,60.0,58.0,59.0,61.0,60.0,60.0,58.0,61.0,60.0,60.0,58.0
69,62.0,61.0,59.0,59.0,57.0,58.0,57.0,57.0,59.0,60.0,61.0,56.0,59.0,62.0,62.0,56.0
70,63.0,62.0,63.0,63.0,58.0,60.0,58.0,59.0,61.0,61.0,62.0,58.0,61.0,63.0,63.0,58.0
71,63.0,62.0,60.0,60.0,56.0,59.0,56.0,57.0,60.0,61.0,62.0,57.0,59.0,63.0,63.0,56.0
72,61.0,60.0,59.0,59.0,58.0,57.0,58.0,58.0,58.0,59.0,60.0,58.0,58.0,61.0,61.0,57.0
73,62.0,61.0,62.0,62.0,58.0,59.0,58.0,58.0,60.0,60.0,61.0,57.0,60.0,62.0,62.0,57.0
74,62.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,62.0,62.0,59.0
75,60.0,59.0,59.0,59.0,59.0,57.0,59.0,59.0,57.0,60.0,58.0,59.0,59.0,59.0,60.0,58.0
76,61.0,60.0,61.0,61.0,58.0,59.0,58.0,58.0,59.0,61.0,59.0,57.0,61.0,60.0,61.0,58.0
77,61.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,61.0,61.0,60.0,61.0,60.0
78,60.0,59.0,58.0,60.0,57.0,57.0,57.0,57.0,57.0,60.0,57.0,57.0,60.0,58.0,60.0,56.0
79,59.0,59.0,59.0,59.0,55.0,54.0,55.0,56.0,57.0,59.0,59.0,56.0,59.0,59.0,59.0,56.0
80,60.0,59.0,61.0,62.0,58.0,59.0,58.0,59.0,59.0,60.0,59.0,58.0,62.0,60.0,60.0,58.0
81,61.0,60.0,59.0,60.0,57.0,56.0,57.0,57.0,57.0,61.0,60.0,56.0,60.0,61.0,61.0,56.0
