Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,54.0,53.0,53.0,53.0,55.0,57.0,57.0,57.0,54.0,54.0,57.0,51.0,52.0,51.0
54,56.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0,55.0,55.0,56.0,54.0,54.0,54.0
55,54.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,56.0,58.0,55.0,55.0,55.0
56,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,57.0,56.0,56.0,56.0
57,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,56.0,51.0,52.0,51.0
58,54.0,52.0,52.0,52.0,54.0,55.0,54.0,54.0,53.0,54.0,58.0,51.0,51.0,51.0
59,58.0,57.0,57.0,57.0,58.0,57.0,57.0,57.0,53.0,54.0,57.0,56.0,56.0,56.0
60,53.0,49.0,49.0,50.0,53.0,48.0,47.0,47.0,53.0,53.0,53.0,48.0,49.0,48.0
61,54.0,48.0,48.0,48.0,54.0,51.0,50.0,50.0,54.0,54.0,54.0,47.0,47.0,47.0
62,54.0,53.0,53.0,53.0,55.0,53.0,53.0,53.0,54.0,54.0,57.0,52.0,52.0,52.0
63,51.0,53.0,53.0,53.0,51.0,48.0,48.0,48.0,52.0,52.0,53.0,52.0,52.0,52.0
64,46.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0,49.0,49.0,55.0,50.0,50.0,50.0
65,50.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,56.0,51.0,51.0,51.0
66,52.0,53.0,53.0,53.0,52.0,48.0,48.0,48.0,52.0,52.0,53.0,52.0,52.0,52.0
67,47.0,51.0,51.0,51.0,53.0,52.0,52.0,52.0,49.0,50.0,55.0,50.0,50.0,50.0
68,51.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,54.0,54.0,56.0,52.0,52.0,52.0
69,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,51.0,51.0,54.0,51.0,51.0,51.0
70,47.0,54.0,54.0,54.0,53.0,55.0,55.0,55.0,49.0,49.0,55.0,53.0,53.0,53.0
71,52.0,53.0,53.0,52.0,54.0,54.0,54.0,54.0,53.0,54.0,56.0,51.0,52.0,51.0
72,56.0,53.0,53.0,53.0,55.0,53.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,52.0
73,53.0,56.0,56.0,56.0,53.0,55.0,55.0,55.0,52.0,52.0,56.0,55.0,55.0,55.0
74,58.0,53.0,53.0,53.0,57.0,54.0,54.0,54.0,57.0,57.0,57.0,52.0,52.0,52.0
75,52.0,49.0,49.0,50.0,53.0,47.0,47.0,47.0,52.0,52.0,53.0,49.0,49.0,49.0
76,53.0,52.0,52.0,52.0,54.0,51.0,51.0,51.0,53.0,53.0,55.0,51.0,51.0,51.0
77,58.0,52.0,52.0,52.0,58.0,52.0,52.0,52.0,58.0,58.0,56.0,51.0,51.0,51.0
78,52.0,50.0,50.0,50.0,52.0,48.0,48.0,48.0,51.0,51.0,53.0,49.0,49.0,49.0
79,48.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,49.0,51.0,55.0,51.0,51.0,51.0
80,51.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,54.0,54.0,55.0,52.0,52.0,52.0
81,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,51.0,54.0,52.0,52.0,52.0
82,47.0,55.0,55.0,55.0,53.0,55.0,55.0,55.0,49.0,49.0,55.0,54.0,54.0,54.0
83,52.0,54.0,54.0,53.0,54.0,54.0,54.0,54.0,53.0,54.0,56.0,52.0,53.0,52.0
84,56.0,53.0,53.0,53.0,55.0,53.0,53.0,53.0,53.0,53.0,55.0,52.0,52.0,52.0
85,53.0,55.0,55.0,55.0,53.0,55.0,55.0,55.0,52.0,52.0,55.0,54.0,54.0,54.0
86,58.0,54.0,54.0,53.0,57.0,54.0,54.0,54.0,57.0,57.0,57.0,53.0,53.0,53.0
87,52.0,50.0,50.0,50.0,53.0,48.0,48.0,48.0,52.0,52.0,53.0,50.0,50.0,50.0
88,53.0,51.0,51.0,51.0,54.0,52.0,52.0,52.0,53.0,53.0,56.0,50.0,50.0,50.0
89,58.0,52.0,52.0,52.0,58.0,53.0,53.0,53.0,58.0,58.0,57.0,52.0,52.0,52.0
90,51.0,53.0,53.0,53.0,54.0,51.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0
