Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,51.0,51.0,54.0,51.0,51.0,54.0,54.0,54.0,53.0,53.0,49.0,49.0,49.0,49.0
54,51.0,51.0,52.0,51.0,51.0,52.0,52.0,52.0,51.0,51.0,46.0,46.0,46.0,46.0
55,53.0,53.0,54.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0
56,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,48.0,48.0,48.0,48.0
57,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,50.0,50.0,47.0,47.0,47.0,47.0
58,50.0,50.0,53.0,51.0,50.0,53.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0
59,51.0,51.0,55.0,52.0,51.0,55.0,54.0,54.0,53.0,53.0,49.0,49.0,49.0,49.0
60,46.0,46.0,46.0,46.0,46.0,46.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0
61,46.0,46.0,49.0,47.0,46.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0
62,46.0,46.0,51.0,48.0,46.0,51.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
63,40.0,40.0,40.0,40.0,40.0,40.0,47.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0
64,45.0,45.0,45.0,45.0,45.0,45.0,48.0,48.0,48.0,48.0,45.0,45.0,46.0,46.0
65,45.0,45.0,44.0,45.0,45.0,44.0,52.0,52.0,52.0,52.0,45.0,45.0,45.0,45.0
66,40.0,40.0,40.0,40.0,40.0,40.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
67,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,46.0,46.0,46.0,46.0
68,45.0,45.0,45.0,45.0,45.0,45.0,52.0,52.0,52.0,52.0,45.0,45.0,45.0,45.0
69,48.0,48.0,47.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
70,52.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,46.0,46.0,47.0,47.0
71,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,48.0,48.0,48.0,48.0
72,49.0,49.0,48.0,49.0,49.0,48.0,51.0,51.0,51.0,51.0,46.0,46.0,47.0,47.0
73,53.0,53.0,54.0,53.0,53.0,54.0,52.0,52.0,52.0,52.0,48.0,48.0,48.0,48.0
74,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0
75,45.0,45.0,44.0,45.0,45.0,44.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
76,49.0,49.0,50.0,49.0,49.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
77,50.0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
78,40.0,40.0,40.0,40.0,40.0,40.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
79,45.0,45.0,45.0,45.0,45.0,45.0,48.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0
80,43.0,43.0,45.0,43.0,43.0,45.0,52.0,52.0,52.0,52.0,45.0,45.0,45.0,45.0
81,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0
82,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,47.0,47.0,47.0,47.0
83,50.0,50.0,53.0,50.0,50.0,53.0,53.0,53.0,53.0,53.0,49.0,49.0,49.0,49.0
84,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,47.0,47.0,47.0,47.0
85,54.0,54.0,54.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,48.0,48.0,48.0,48.0
86,51.0,51.0,54.0,51.0,51.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0
87,45.0,45.0,45.0,45.0,45.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
88,50.0,50.0,50.0,50.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
89,47.0,47.0,50.0,47.0,47.0,50.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
90,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
91,49.0,49.0,52.0,50.0,49.0,52.0,54.0,54.0,54.0,54.0,50.0,50.0,50.0,50.0
92,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,47.0,47.0,47.0,47.0
93,50.0,50.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,52.0,47.0,47.0,47.0,47.0
94,52.0,52.0,53.0,52.0,52.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
95,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0
96,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
97,49.0,49.0,52.0,49.0,49.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
98,53.0,53.0,54.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0,49.0,49.0,49.0,49.0
99,50.0,50.0,52.0,50.0,50.0,52.0,51.0,51.0,51.0,51.0,46.0,46.0,46.0,46.0
100,52.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
101,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,48.0,48.0,48.0,48.0
102,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,47.0,47.0,47.0,47.0
103,49.0,49.0,52.0,50.0,49.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
104,54.0,54.0,55.0,54.0,54.0,55.0,53.0,53.0,53.0,53.0,49.0,49.0,49.0,49.0
105,45.0,45.0,45.0,45.0,45.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
106,45.0,45.0,48.0,46.0,45.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
107,50.0,50.0,51.0,50.0,50.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
108,40.0,40.0,40.0,40.0,40.0,40.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0
109,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.0,41.0,41.0,41.0
110,43.0,43.0,43.0,43.0,43.0,43.0,48.0,48.0,47.0,47.0,42.0,42.0,41.0,41.0
111,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,46.0,47.0,44.0,44.0,44.0,44.0
112,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,43.0,43.0,42.0,42.0
113,49.0,49.0,50.0,50.0,49.0,50.0,49.0,49.0,49.0,49.0,44.0,44.0,44.0,44.0
114,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,48.0,48.0,43.0,43.0,43.0,43.0
115,50.0,50.0,50.0,50.0,50.0,50.0,48.0,48.0,49.0,49.0,43.0,43.0,43.0,43.0
116,50.0,50.0,51.0,51.0,50.0,51.0,52.0,52.0,53.0,53.0,48.0,48.0,48.0,48.0
117,45.0,45.0,45.0,45.0,45.0,45.0,43.0,43.0,44.0,44.0,42.0,42.0,42.0,42.0
118,46.0,46.0,46.0,46.0,46.0,46.0,44.0,44.0,45.0,45.0,43.0,43.0,43.0,43.0
119,46.0,46.0,47.0,47.0,46.0,47.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0
120,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,47.0,47.0,44.0,44.0,44.0,44.0
121,49.0,49.0,49.0,50.0,49.0,49.0,50.0,50.0,50.0,50.0,45.0,45.0,45.0,45.0
122,50.0,50.0,53.0,50.0,50.0,53.0,49.0,49.0,48.0,49.0,43.0,43.0,43.0,43.0
123,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,48.0,44.0,44.0,44.0,44.0
124,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,49.0,49.0,49.0,49.0
125,53.0,53.0,54.0,53.0,53.0,54.0,53.0,53.0,54.0,54.0,50.0,50.0,50.0,50.0
126,48.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0,47.0,47.0,44.0,44.0,44.0,44.0
127,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
128,54.0,54.0,54.0,54.0,54.0,54.0,51.0,51.0,52.0,52.0,50.0,50.0,50.0,50.0
129,51.0,51.0,51.0,51.0,51.0,51.0,47.0,47.0,48.0,48.0,43.0,43.0,43.0,43.0
130,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,48.0,48.0,48.0,48.0
131,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,54.0,54.0,49.0,49.0,49.0,49.0
132,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,48.0,48.0,43.0,43.0,43.0,43.0
133,50.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0
134,55.0,55.0,55.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0
135,45.0,45.0,45.0,45.0,45.0,45.0,43.0,43.0,44.0,44.0,42.0,42.0,42.0,42.0
136,46.0,46.0,46.0,46.0,46.0,46.0,44.0,44.0,45.0,45.0,43.0,43.0,43.0,43.0
137,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,47.0,47.0,46.0,46.0,46.0,46.0
138,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,47.0,47.0,45.0,45.0,45.0,45.0
139,50.0,50.0,49.0,50.0,50.0,49.0,50.0,50.0,49.0,49.0,45.0,45.0,45.0,45.0
140,54.0,54.0,53.0,54.0,54.0,53.0,51.0,51.0,52.0,52.0,45.0,45.0,45.0,45.0
141,51.0,51.0,53.0,51.0,51.0,53.0,49.0,49.0,50.0,50.0,44.0,44.0,44.0,44.0
142,53.0,53.0,54.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,51.0,51.0,51.0,51.0
143,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,53.0,53.0,46.0,46.0,46.0,46.0
144,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,48.0,47.0,45.0,45.0,45.0,45.0
145,54.0,54.0,52.0,54.0,54.0,52.0,51.0,51.0,52.0,52.0,51.0,51.0,51.0,51.0
146,51.0,51.0,53.0,51.0,51.0,53.0,50.0,50.0,49.0,49.0,46.0,46.0,46.0,46.0
147,51.0,51.0,53.0,51.0,51.0,53.0,48.0,48.0,49.0,49.0,43.0,43.0,44.0,44.0
