Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,46.0,43.0,43.0,43.0
1,46.0,43.0,43.0,43.0
2,48.0,44.0,44.0,44.0
3,47.0,46.0,46.0,46.0
4,47.0,45.0,45.0,45.0
5,49.0,46.0,46.0,46.0
6,46.0,45.0,45.0,45.0
7,44.0,46.0,46.0,46.0
8,46.0,47.0,47.0,47.0
9,46.0,44.0,44.0,44.0
10,47.0,44.0,44.0,44.0
11,48.0,47.0,47.0,47.0
12,47.0,43.0,43.0,43.0
13,47.0,43.0,43.0,43.0
14,49.0,46.0,46.0,46.0
15,43.0,44.0,44.0,44.0
16,43.0,43.0,43.0,43.0
17,45.0,44.0,44.0,44.0
18,46.0,46.0,46.0,46.0
19,46.0,48.0,48.0,48.0
20,48.0,48.0,48.0,48.0
21,47.0,47.0,47.0,47.0
22,47.0,49.0,49.0,49.0
23,49.0,49.0,49.0,49.0
24,45.0,47.0,47.0,47.0
25,46.0,46.0,46.0,46.0
26,47.0,48.0,48.0,49.0
27,46.0,46.0,46.0,46.0
28,46.0,45.0,45.0,45.0
29,48.0,47.0,47.0,48.0
30,44.0,47.0,47.0,47.0
31,46.0,46.0,46.0,46.0
32,44.0,46.0,46.0,46.0
33,46.0,46.0,46.0,46.0
34,46.0,48.0,48.0,48.0
35,48.0,48.0,48.0,48.0
36,46.0,46.0,46.0,46.0
37,46.0,47.0,47.0,47.0
38,48.0,49.0,49.0,50.0
39,47.0,45.0,45.0,45.0
40,47.0,46.0,46.0,46.0
41,49.0,48.0,48.0,49.0
42,45.0,46.0,46.0,46.0
43,47.0,46.0,46.0,46.0
44,45.0,47.0,47.0,47.0
45,50.0,51.0,51.0,51.0
46,50.0,49.0,49.0,49.0
47,52.0,50.0,50.0,50.0
48,50.0,51.0,51.0,51.0
49,50.0,49.0,49.0,49.0
50,52.0,50.0,50.0,50.0
51,45.0,45.0,45.0,45.0
52,47.0,47.0,47.0,47.0
53,47.0,45.0,45.0,46.0
54,49.0,50.0,50.0,50.0
55,49.0,48.0,48.0,48.0
56,51.0,49.0,49.0,49.0
57,44.0,44.0,44.0,44.0
58,47.0,46.0,46.0,46.0
59,46.0,45.0,45.0,45.0
60,43.0,44.0,44.0,44.0
