Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,34.0,30.0,33.0,33.0,33.0,33.0
122,34.0,33.0,37.0,37.0,37.0,37.0
123,36.0,32.0,35.0,35.0,35.0,35.0
124,33.0,32.0,33.0,33.0,33.0,33.0
125,34.0,36.0,38.0,38.0,38.0,38.0
126,33.0,32.0,33.0,33.0,33.0,33.0
127,34.0,32.0,34.0,34.0,34.0,34.0
128,35.0,36.0,39.0,39.0,39.0,39.0
129,35.0,31.0,34.0,34.0,34.0,34.0
130,32.0,32.0,32.0,32.0,32.0,32.0
131,34.0,35.0,37.0,37.0,37.0,37.0
132,33.0,32.0,32.0,32.0,32.0,32.0
133,33.0,33.0,33.0,33.0,33.0,33.0
134,35.0,35.0,38.0,38.0,38.0,38.0
135,28.0,32.0,26.0,26.0,26.0,26.0
136,30.0,33.0,27.0,27.0,27.0,27.0
137,34.0,33.0,30.0,30.0,30.0,30.0
138,35.0,30.0,38.0,38.0,38.0,38.0
139,34.0,30.0,37.0,37.0,37.0,37.0
140,35.0,30.0,34.0,34.0,34.0,34.0
141,36.0,31.0,37.0,37.0,37.0,37.0
142,37.0,31.0,37.0,37.0,37.0,37.0
143,37.0,36.0,38.0,38.0,38.0,38.0
144,35.0,31.0,34.0,34.0,34.0,34.0
145,37.0,31.0,35.0,35.0,35.0,35.0
146,37.0,36.0,39.0,39.0,39.0,39.0
147,35.0,32.0,36.0,36.0,36.0,36.0
148,37.0,30.0,36.0,36.0,36.0,36.0
149,37.0,35.0,37.0,37.0,37.0,37.0
150,36.0,33.0,35.0,35.0,35.0,35.0
151,38.0,31.0,37.0,37.0,37.0,37.0
152,38.0,35.0,38.0,38.0,38.0,38.0
153,33.0,33.0,33.0,33.0,33.0,33.0
154,35.0,31.0,34.0,34.0,34.0,34.0
155,35.0,35.0,38.0,38.0,38.0,38.0
156,35.0,31.0,35.0,35.0,35.0,35.0
157,36.0,29.0,35.0,35.0,35.0,35.0
158,37.0,34.0,36.0,36.0,36.0,36.0
159,36.0,32.0,34.0,34.0,34.0,34.0
160,37.0,30.0,36.0,36.0,36.0,36.0
161,38.0,34.0,37.0,37.0,37.0,37.0
162,32.0,32.0,32.0,32.0,32.0,32.0
163,34.0,30.0,33.0,33.0,33.0,33.0
164,35.0,34.0,37.0,37.0,37.0,37.0
165,28.0,31.0,26.0,26.0,26.0,26.0
166,30.0,30.0,27.0,27.0,27.0,27.0
167,33.0,30.0,29.0,29.0,29.0,29.0
