Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,38.0,37.0,37.0,40.0,36.0,40.0
122,38.0,36.0,37.0,38.0,37.0,38.0
123,36.0,34.0,38.0,38.0,40.0,38.0
124,39.0,39.0,40.0,40.0,39.0,39.0
125,40.0,38.0,40.0,40.0,39.0,40.0
126,37.0,34.0,39.0,39.0,41.0,39.0
127,40.0,40.0,41.0,41.0,40.0,38.0
128,41.0,39.0,41.0,41.0,40.0,41.0
129,35.0,33.0,37.0,37.0,39.0,37.0
130,38.0,38.0,39.0,39.0,38.0,38.0
131,39.0,37.0,39.0,39.0,38.0,39.0
132,36.0,34.0,38.0,38.0,40.0,38.0
133,39.0,39.0,40.0,40.0,39.0,37.0
134,40.0,39.0,40.0,40.0,39.0,40.0
135,36.0,34.0,38.0,39.0,41.0,35.0
136,38.0,36.0,40.0,41.0,39.0,37.0
137,41.0,39.0,40.0,41.0,40.0,37.0
138,38.0,32.0,39.0,39.0,39.0,39.0
139,38.0,36.0,37.0,37.0,36.0,39.0
140,36.0,33.0,37.0,37.0,38.0,41.0
141,37.0,33.0,38.0,38.0,39.0,39.0
142,40.0,38.0,40.0,40.0,40.0,40.0
143,39.0,35.0,40.0,40.0,41.0,40.0
144,38.0,34.0,39.0,39.0,40.0,40.0
145,41.0,39.0,41.0,41.0,41.0,41.0
146,40.0,36.0,41.0,41.0,41.0,39.0
147,36.0,33.0,37.0,38.0,38.0,38.0
148,39.0,38.0,39.0,39.0,39.0,39.0
149,38.0,35.0,39.0,40.0,40.0,39.0
150,37.0,34.0,38.0,39.0,39.0,39.0
151,40.0,39.0,40.0,40.0,40.0,40.0
152,39.0,36.0,40.0,41.0,41.0,40.0
153,38.0,34.0,39.0,40.0,40.0,36.0
154,41.0,39.0,41.0,41.0,40.0,38.0
155,40.0,36.0,40.0,42.0,40.0,41.0
156,38.0,32.0,39.0,39.0,42.0,37.0
157,38.0,37.0,38.0,38.0,38.0,38.0
158,37.0,34.0,38.0,39.0,39.0,39.0
159,39.0,33.0,40.0,40.0,43.0,38.0
160,39.0,38.0,39.0,39.0,39.0,39.0
161,38.0,35.0,39.0,40.0,40.0,40.0
162,40.0,33.0,41.0,41.0,44.0,36.0
163,40.0,38.0,40.0,40.0,40.0,37.0
164,39.0,35.0,39.0,41.0,40.0,41.0
165,41.0,34.0,42.0,42.0,45.0,35.0
166,38.0,34.0,40.0,40.0,39.0,37.0
167,38.0,36.0,39.0,40.0,39.0,37.0
