Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
57,50.0,46.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,46.0
58,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,51.0,51.0,48.0,51.0,51.0
59,52.0,48.0,48.0,48.0,48.0,52.0,49.0,49.0,52.0,50.0,49.0,50.0,48.0
60,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,47.0,47.0,46.0
61,48.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,48.0,43.0,47.0,47.0
62,47.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,49.0,48.0,43.0,47.0,48.0
63,45.0,46.0,46.0,44.0,46.0,46.0,47.0,47.0,46.0,45.0,45.0,48.0,46.0
64,49.0,45.0,45.0,44.0,44.0,51.0,48.0,48.0,46.0,49.0,49.0,49.0,49.0
65,51.0,47.0,47.0,45.0,45.0,51.0,50.0,50.0,47.0,51.0,51.0,53.0,50.0
66,45.0,46.0,45.0,45.0,46.0,46.0,47.0,47.0,45.0,45.0,46.0,47.0,45.0
67,50.0,46.0,46.0,45.0,45.0,51.0,48.0,48.0,46.0,50.0,50.0,50.0,49.0
68,51.0,47.0,47.0,46.0,46.0,51.0,50.0,50.0,47.0,51.0,51.0,53.0,50.0
69,46.0,45.0,44.0,45.0,46.0,46.0,48.0,48.0,45.0,47.0,46.0,48.0,46.0
70,51.0,46.0,46.0,45.0,45.0,52.0,50.0,50.0,47.0,51.0,51.0,53.0,51.0
71,52.0,47.0,48.0,48.0,47.0,48.0,50.0,50.0,48.0,52.0,52.0,52.0,51.0
72,49.0,46.0,45.0,46.0,46.0,46.0,47.0,47.0,46.0,46.0,49.0,47.0,45.0
73,50.0,47.0,46.0,46.0,47.0,51.0,49.0,49.0,47.0,50.0,50.0,52.0,50.0
74,52.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,51.0,51.0,52.0,51.0,51.0
75,45.0,46.0,46.0,47.0,47.0,47.0,46.0,46.0,47.0,45.0,46.0,47.0,45.0
76,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,48.0,47.0,48.0,48.0,49.0
77,50.0,52.0,52.0,52.0,52.0,52.0,50.0,50.0,52.0,50.0,50.0,50.0,51.0
78,45.0,46.0,45.0,45.0,46.0,46.0,47.0,47.0,45.0,45.0,46.0,47.0,45.0
79,48.0,42.0,42.0,42.0,42.0,48.0,46.0,46.0,42.0,48.0,51.0,48.0,49.0
80,51.0,47.0,47.0,46.0,46.0,49.0,49.0,49.0,47.0,51.0,51.0,53.0,50.0
81,46.0,45.0,44.0,45.0,46.0,46.0,48.0,48.0,45.0,46.0,47.0,48.0,46.0
82,51.0,47.0,47.0,46.0,46.0,49.0,49.0,49.0,47.0,51.0,51.0,53.0,50.0
83,52.0,47.0,48.0,48.0,47.0,48.0,50.0,50.0,48.0,52.0,52.0,52.0,51.0
84,49.0,46.0,45.0,45.0,46.0,46.0,47.0,47.0,45.0,45.0,49.0,47.0,45.0
85,50.0,47.0,47.0,46.0,47.0,48.0,48.0,48.0,46.0,50.0,50.0,52.0,49.0
86,52.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,51.0,51.0,52.0,51.0,51.0
87,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,47.0,45.0
88,47.0,47.0,47.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,48.0,48.0,49.0
89,51.0,52.0,52.0,52.0,52.0,52.0,50.0,50.0,52.0,51.0,51.0,51.0,51.0
90,46.0,45.0,45.0,45.0,45.0,48.0,47.0,47.0,45.0,47.0,47.0,47.0,46.0
91,52.0,47.0,48.0,48.0,47.0,48.0,50.0,50.0,48.0,52.0,52.0,50.0,51.0
92,51.0,47.0,47.0,46.0,46.0,49.0,49.0,49.0,49.0,51.0,51.0,51.0,49.0
93,50.0,46.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,51.0,47.0,46.0
94,52.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,51.0,51.0,52.0,51.0,51.0
95,52.0,48.0,49.0,49.0,48.0,52.0,52.0,52.0,52.0,51.0,52.0,51.0,49.0
96,46.0,46.0,46.0,48.0,48.0,48.0,47.0,47.0,48.0,46.0,47.0,47.0,46.0
97,51.0,52.0,52.0,52.0,52.0,52.0,50.0,50.0,52.0,51.0,51.0,51.0,51.0
98,48.0,47.0,47.0,49.0,49.0,53.0,49.0,49.0,53.0,50.0,48.0,49.0,48.0
99,49.0,46.0,44.0,46.0,46.0,46.0,47.0,47.0,46.0,45.0,50.0,46.0,45.0
100,51.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,50.0,50.0,51.0,50.0,50.0
101,51.0,50.0,50.0,50.0,50.0,51.0,52.0,52.0,51.0,50.0,52.0,50.0,48.0
102,49.0,46.0,45.0,47.0,47.0,47.0,46.0,46.0,47.0,46.0,49.0,46.0,45.0
103,50.0,51.0,51.0,51.0,51.0,51.0,49.0,49.0,51.0,50.0,50.0,50.0,50.0
104,51.0,51.0,51.0,51.0,51.0,52.0,50.0,50.0,52.0,49.0,52.0,49.0,47.0
105,44.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,46.0,44.0,46.0,46.0,45.0
106,47.0,47.0,47.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,47.0,46.0,46.0
107,46.0,48.0,48.0,48.0,48.0,49.0,47.0,47.0,49.0,47.0,46.0,47.0,47.0
108,40.0,41.0,40.0,40.0,41.0,43.0,47.0,47.0,41.0,41.0,45.0,43.0,40.0
109,43.0,37.0,40.0,40.0,37.0,44.0,45.0,45.0,38.0,43.0,49.0,43.0,45.0
110,46.0,42.0,42.0,42.0,42.0,48.0,49.0,49.0,44.0,46.0,48.0,48.0,45.0
111,41.0,41.0,41.0,41.0,41.0,43.0,48.0,48.0,41.0,42.0,46.0,43.0,41.0
112,46.0,42.0,43.0,43.0,41.0,48.0,49.0,49.0,42.0,46.0,48.0,48.0,45.0
113,47.0,43.0,44.0,44.0,43.0,48.0,50.0,50.0,45.0,47.0,48.0,47.0,46.0
114,45.0,45.0,44.0,44.0,45.0,42.0,47.0,47.0,42.0,41.0,49.0,42.0,40.0
115,46.0,42.0,44.0,44.0,42.0,47.0,48.0,48.0,42.0,45.0,51.0,47.0,44.0
116,51.0,46.0,48.0,47.0,46.0,48.0,50.0,50.0,48.0,46.0,52.0,47.0,46.0
117,40.0,43.0,43.0,43.0,43.0,43.0,46.0,46.0,43.0,41.0,46.0,43.0,40.0
118,42.0,42.0,42.0,42.0,42.0,44.0,46.0,46.0,43.0,42.0,48.0,43.0,45.0
119,46.0,47.0,47.0,47.0,47.0,49.0,50.0,50.0,49.0,46.0,52.0,47.0,46.0
120,43.0,42.0,43.0,43.0,42.0,43.0,47.0,47.0,41.0,42.0,47.0,43.0,41.0
121,47.0,43.0,44.0,44.0,43.0,48.0,50.0,50.0,44.0,47.0,49.0,47.0,46.0
122,47.0,43.0,45.0,45.0,43.0,49.0,49.0,49.0,46.0,47.0,52.0,47.0,47.0
123,47.0,45.0,45.0,45.0,45.0,43.0,47.0,47.0,42.0,42.0,51.0,43.0,44.0
