Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0
75,33.0,37.0,38.0,38.0,38.0,38.0,39.0,37.0,37.0,38.0
76,39.0,39.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0
77,34.0,39.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0
78,34.0,38.0,36.0,36.0,36.0,36.0,37.0,36.0,36.0,38.0
79,40.0,39.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0
80,35.0,40.0,35.0,35.0,35.0,35.0,36.0,35.0,35.0,36.0
81,42.0,39.0,37.0,37.0,37.0,37.0,38.0,37.0,37.0,38.0
82,41.0,40.0,36.0,36.0,36.0,36.0,37.0,36.0,36.0,37.0
83,42.0,41.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
84,41.0,39.0,37.0,37.0,37.0,37.0,38.0,37.0,37.0,38.0
85,40.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
86,41.0,41.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,40.0
87,34.0,38.0,38.0,38.0,38.0,38.0,39.0,38.0,38.0,39.0
88,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
89,35.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
90,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
91,40.0,41.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
92,36.0,41.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
93,39.0,39.0,38.0,38.0,38.0,38.0,40.0,38.0,38.0,38.0
94,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
95,36.0,40.0,40.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0
96,38.0,38.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0
97,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
