Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,47.0,46.0,46.0,48.0,48.0
1,50.0,49.0,46.0,51.0,51.0
2,49.0,48.0,42.0,50.0,50.0
3,46.0,45.0,45.0,50.0,48.0
4,49.0,48.0,47.0,50.0,50.0
5,48.0,47.0,47.0,50.0,50.0
6,47.0,46.0,46.0,51.0,48.0
7,50.0,49.0,48.0,51.0,51.0
8,49.0,48.0,48.0,50.0,50.0
9,48.0,47.0,45.0,50.0,50.0
10,49.0,48.0,45.0,51.0,51.0
11,50.0,49.0,41.0,51.0,51.0
12,48.0,47.0,44.0,49.0,49.0
13,48.0,47.0,44.0,51.0,51.0
14,50.0,49.0,46.0,51.0,51.0
15,49.0,48.0,45.0,50.0,50.0
16,49.0,48.0,41.0,52.0,52.0
17,51.0,50.0,47.0,52.0,52.0
18,46.0,45.0,45.0,49.0,47.0
19,48.0,47.0,46.0,50.0,49.0
20,47.0,51.0,51.0,50.0,49.0
21,46.0,46.0,46.0,50.0,47.0
22,49.0,48.0,47.0,51.0,50.0
23,48.0,52.0,52.0,51.0,49.0
24,47.0,46.0,45.0,49.0,49.0
25,48.0,52.0,52.0,51.0,50.0
26,49.0,48.0,47.0,50.0,50.0
27,47.0,46.0,45.0,48.0,48.0
28,48.0,51.0,51.0,50.0,50.0
29,49.0,48.0,47.0,50.0,50.0
30,48.0,47.0,46.0,49.0,49.0
31,49.0,48.0,47.0,51.0,51.0
32,50.0,49.0,48.0,51.0,51.0
33,47.0,46.0,46.0,43.0,41.0
34,49.0,48.0,48.0,45.0,43.0
35,49.0,52.0,52.0,45.0,43.0
36,48.0,47.0,46.0,41.0,41.0
37,49.0,53.0,53.0,42.0,42.0
38,50.0,49.0,48.0,42.0,43.0
39,48.0,47.0,46.0,40.0,41.0
40,48.0,52.0,52.0,42.0,42.0
41,50.0,49.0,48.0,42.0,43.0
42,49.0,48.0,47.0,41.0,42.0
43,49.0,48.0,48.0,43.0,43.0
44,51.0,50.0,49.0,43.0,44.0
45,54.0,53.0,53.0,48.0,48.0
46,55.0,55.0,48.0,49.0,50.0
47,56.0,55.0,48.0,49.0,50.0
48,55.0,54.0,52.0,47.0,48.0
49,56.0,55.0,52.0,49.0,49.0
50,57.0,56.0,48.0,49.0,50.0
51,50.0,49.0,46.0,42.0,43.0
52,51.0,54.0,46.0,44.0,44.0
53,52.0,51.0,48.0,44.0,45.0
54,54.0,53.0,51.0,46.0,47.0
55,55.0,54.0,51.0,48.0,48.0
56,56.0,55.0,47.0,48.0,49.0
57,49.0,48.0,45.0,41.0,42.0
58,50.0,53.0,45.0,43.0,43.0
59,51.0,50.0,47.0,43.0,44.0
60,48.0,47.0,46.0,41.0,41.0
61,49.0,48.0,41.0,42.0,43.0
62,50.0,49.0,41.0,42.0,43.0
63,45.0,44.0,44.0,48.0,46.0
64,47.0,46.0,45.0,49.0,48.0
65,47.0,50.0,50.0,49.0,48.0
66,45.0,45.0,45.0,49.0,46.0
67,48.0,47.0,46.0,50.0,49.0
68,47.0,51.0,51.0,50.0,48.0
69,46.0,46.0,46.0,48.0,48.0
70,48.0,52.0,52.0,50.0,49.0
71,48.0,50.0,50.0,49.0,49.0
72,46.0,45.0,45.0,47.0,47.0
73,48.0,51.0,51.0,49.0,49.0
74,48.0,49.0,49.0,49.0,49.0
75,47.0,46.0,46.0,48.0,48.0
76,49.0,46.0,46.0,50.0,50.0
77,49.0,50.0,50.0,50.0,50.0
78,46.0,46.0,46.0,42.0,40.0
79,48.0,47.0,47.0,44.0,42.0
80,48.0,52.0,52.0,44.0,42.0
81,47.0,47.0,47.0,41.0,40.0
82,48.0,53.0,53.0,42.0,41.0
83,49.0,51.0,51.0,43.0,42.0
84,47.0,46.0,46.0,40.0,40.0
85,48.0,52.0,52.0,41.0,41.0
86,49.0,50.0,50.0,42.0,42.0
87,48.0,47.0,47.0,41.0,41.0
88,49.0,47.0,47.0,42.0,42.0
89,50.0,51.0,51.0,43.0,43.0
90,54.0,52.0,52.0,47.0,47.0
91,54.0,55.0,54.0,49.0,49.0
92,56.0,55.0,54.0,49.0,49.0
93,54.0,53.0,52.0,46.0,47.0
94,56.0,59.0,59.0,48.0,48.0
95,56.0,55.0,54.0,48.0,49.0
96,49.0,48.0,47.0,41.0,42.0
97,50.0,54.0,53.0,43.0,43.0
98,51.0,50.0,49.0,43.0,44.0
99,53.0,52.0,51.0,45.0,46.0
100,55.0,58.0,58.0,47.0,47.0
101,55.0,54.0,53.0,47.0,48.0
102,48.0,47.0,46.0,40.0,41.0
103,49.0,53.0,52.0,42.0,42.0
104,50.0,49.0,48.0,42.0,43.0
105,47.0,46.0,45.0,40.0,40.0
106,49.0,48.0,47.0,42.0,42.0
107,49.0,48.0,47.0,42.0,42.0
108,45.0,46.0,46.0,42.0,38.0
109,48.0,47.0,47.0,44.0,41.0
110,47.0,52.0,52.0,44.0,40.0
111,48.0,48.0,48.0,42.0,41.0
112,48.0,53.0,53.0,43.0,41.0
113,50.0,52.0,52.0,44.0,43.0
114,47.0,47.0,47.0,41.0,40.0
115,48.0,52.0,52.0,42.0,41.0
116,49.0,51.0,51.0,43.0,42.0
117,48.0,48.0,48.0,42.0,41.0
118,49.0,48.0,48.0,43.0,42.0
119,50.0,52.0,52.0,44.0,43.0
120,54.0,53.0,53.0,48.0,47.0
121,55.0,55.0,55.0,50.0,49.0
122,56.0,55.0,55.0,50.0,49.0
123,55.0,54.0,53.0,47.0,48.0
