Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,51.0,51.0,47.0,47.0,43.0,47.0,49.0,45.0,45.0,47.0,47.0
69,46.0,46.0,46.0,44.0,41.0,44.0,47.0,40.0,39.0,45.0,45.0
70,52.0,52.0,48.0,45.0,43.0,45.0,49.0,45.0,44.0,47.0,47.0
71,50.0,50.0,48.0,46.0,42.0,46.0,49.0,44.0,45.0,46.0,46.0
72,45.0,45.0,46.0,43.0,40.0,43.0,46.0,39.0,39.0,44.0,44.0
73,51.0,51.0,48.0,44.0,42.0,44.0,48.0,44.0,43.0,46.0,46.0
74,49.0,49.0,48.0,45.0,41.0,45.0,48.0,45.0,45.0,46.0,46.0
75,46.0,46.0,47.0,44.0,41.0,44.0,47.0,40.0,40.0,45.0,45.0
76,46.0,46.0,49.0,45.0,39.0,45.0,49.0,40.0,40.0,47.0,47.0
77,50.0,50.0,49.0,46.0,42.0,46.0,49.0,46.0,46.0,47.0,47.0
78,46.0,46.0,46.0,39.0,41.0,39.0,47.0,40.0,39.0,46.0,46.0
79,47.0,47.0,48.0,45.0,43.0,45.0,49.0,41.0,41.0,48.0,48.0
80,52.0,52.0,48.0,41.0,44.0,41.0,48.0,46.0,44.0,48.0,48.0
81,47.0,47.0,47.0,39.0,42.0,39.0,47.0,41.0,40.0,46.0,46.0
82,53.0,53.0,48.0,45.0,44.0,45.0,49.0,46.0,45.0,48.0,48.0
83,51.0,51.0,49.0,46.0,43.0,46.0,49.0,45.0,46.0,47.0,47.0
84,46.0,46.0,47.0,40.0,41.0,40.0,46.0,40.0,39.0,45.0,45.0
85,52.0,52.0,48.0,44.0,43.0,44.0,48.0,45.0,44.0,47.0,47.0
86,50.0,50.0,49.0,46.0,42.0,46.0,48.0,44.0,45.0,47.0,47.0
87,47.0,47.0,48.0,41.0,42.0,41.0,47.0,41.0,39.0,46.0,46.0
88,47.0,47.0,49.0,45.0,40.0,45.0,49.0,41.0,41.0,48.0,48.0
89,51.0,51.0,50.0,47.0,43.0,47.0,49.0,45.0,43.0,48.0,48.0
90,52.0,52.0,54.0,47.0,45.0,47.0,48.0,46.0,46.0,53.0,53.0
91,55.0,54.0,54.0,49.0,47.0,49.0,49.0,48.0,48.0,55.0,55.0
92,55.0,54.0,56.0,49.0,47.0,49.0,50.0,48.0,48.0,55.0,55.0
93,53.0,52.0,54.0,48.0,45.0,48.0,47.0,46.0,45.0,52.0,52.0
94,59.0,59.0,56.0,48.0,51.0,48.0,48.0,52.0,51.0,54.0,54.0
95,55.0,54.0,56.0,54.0,47.0,54.0,49.0,48.0,47.0,54.0,54.0
96,48.0,47.0,49.0,41.0,40.0,41.0,48.0,42.0,42.0,47.0,47.0
97,54.0,53.0,50.0,46.0,45.0,46.0,49.0,46.0,46.0,49.0,49.0
98,50.0,49.0,51.0,47.0,42.0,47.0,50.0,48.0,48.0,49.0,49.0
99,52.0,51.0,53.0,47.0,44.0,47.0,46.0,45.0,44.0,51.0,51.0
100,58.0,58.0,55.0,47.0,50.0,47.0,47.0,51.0,50.0,53.0,53.0
101,54.0,53.0,55.0,53.0,46.0,53.0,48.0,47.0,46.0,53.0,53.0
102,47.0,46.0,48.0,40.0,39.0,40.0,47.0,41.0,41.0,46.0,46.0
103,53.0,52.0,49.0,45.0,44.0,45.0,48.0,45.0,45.0,48.0,48.0
104,49.0,48.0,50.0,46.0,41.0,46.0,49.0,47.0,47.0,48.0,48.0
105,46.0,45.0,47.0,41.0,38.0,41.0,48.0,40.0,39.0,46.0,46.0
106,48.0,47.0,49.0,45.0,40.0,45.0,49.0,41.0,41.0,48.0,48.0
107,48.0,47.0,49.0,47.0,40.0,47.0,50.0,44.0,41.0,48.0,48.0
108,46.0,46.0,45.0,39.0,40.0,39.0,46.0,39.0,39.0,40.0,40.0
109,47.0,47.0,48.0,40.0,42.0,40.0,48.0,40.0,40.0,42.0,42.0
110,52.0,52.0,47.0,41.0,44.0,41.0,48.0,45.0,45.0,42.0,42.0
111,48.0,48.0,48.0,39.0,40.0,39.0,47.0,41.0,40.0,39.0,39.0
112,53.0,53.0,48.0,41.0,45.0,41.0,49.0,46.0,46.0,41.0,41.0
113,52.0,52.0,50.0,41.0,44.0,41.0,49.0,45.0,44.0,41.0,41.0
114,47.0,47.0,47.0,40.0,39.0,40.0,46.0,40.0,39.0,38.0,38.0
115,52.0,52.0,48.0,40.0,44.0,40.0,48.0,45.0,45.0,40.0,40.0
116,51.0,51.0,49.0,46.0,43.0,46.0,48.0,44.0,43.0,40.0,40.0
117,48.0,48.0,48.0,41.0,40.0,41.0,47.0,41.0,40.0,39.0,39.0
118,48.0,48.0,49.0,41.0,41.0,41.0,48.0,41.0,41.0,41.0,41.0
119,52.0,52.0,50.0,47.0,44.0,47.0,49.0,45.0,44.0,41.0,41.0
120,53.0,53.0,54.0,48.0,46.0,48.0,48.0,46.0,47.0,46.0,46.0
121,55.0,55.0,55.0,49.0,48.0,49.0,50.0,48.0,48.0,48.0,48.0
122,55.0,55.0,56.0,50.0,48.0,50.0,50.0,48.0,49.0,48.0,48.0
123,54.0,53.0,55.0,48.0,46.0,48.0,47.0,47.0,46.0,46.0,46.0
124,60.0,60.0,56.0,48.0,52.0,48.0,49.0,53.0,52.0,47.0,47.0
125,56.0,55.0,57.0,54.0,48.0,54.0,49.0,49.0,48.0,48.0,48.0
126,49.0,48.0,50.0,41.0,41.0,41.0,48.0,43.0,41.0,41.0,41.0
127,54.0,54.0,51.0,42.0,46.0,42.0,50.0,47.0,47.0,42.0,42.0
128,51.0,50.0,52.0,47.0,43.0,47.0,50.0,46.0,43.0,43.0,43.0
129,53.0,52.0,54.0,47.0,45.0,47.0,46.0,46.0,45.0,45.0,45.0
130,59.0,59.0,55.0,47.0,51.0,47.0,48.0,52.0,51.0,46.0,46.0
131,55.0,54.0,56.0,53.0,47.0,53.0,48.0,48.0,47.0,47.0,47.0
132,48.0,47.0,49.0,40.0,40.0,40.0,47.0,42.0,40.0,40.0,40.0
133,53.0,53.0,50.0,41.0,45.0,41.0,49.0,46.0,46.0,41.0,41.0
134,50.0,49.0,51.0,46.0,42.0,46.0,49.0,45.0,42.0,42.0,42.0
135,47.0,46.0,48.0,41.0,39.0,41.0,47.0,41.0,40.0,39.0,39.0
136,48.0,48.0,49.0,41.0,41.0,41.0,48.0,41.0,41.0,41.0,41.0
137,49.0,48.0,50.0,47.0,41.0,47.0,49.0,45.0,42.0,41.0,41.0
138,54.0,53.0,55.0,47.0,46.0,47.0,50.0,47.0,47.0,46.0,46.0
139,56.0,48.0,56.0,49.0,48.0,49.0,52.0,49.0,48.0,48.0,48.0
140,56.0,48.0,56.0,49.0,48.0,49.0,52.0,49.0,49.0,48.0,48.0
141,54.0,53.0,55.0,48.0,46.0,48.0,49.0,47.0,46.0,46.0,46.0
142,56.0,52.0,57.0,48.0,48.0,48.0,51.0,53.0,48.0,48.0,48.0
143,56.0,48.0,57.0,54.0,48.0,54.0,51.0,49.0,49.0,48.0,48.0
144,53.0,53.0,53.0,47.0,46.0,47.0,50.0,47.0,47.0,47.0,46.0
145,55.0,47.0,55.0,49.0,48.0,49.0,51.0,48.0,48.0,48.0,48.0
146,55.0,49.0,55.0,49.0,48.0,49.0,52.0,50.0,50.0,48.0,48.0
147,53.0,52.0,54.0,47.0,45.0,47.0,48.0,46.0,45.0,45.0,45.0
148,59.0,51.0,56.0,47.0,51.0,47.0,50.0,52.0,51.0,47.0,47.0
149,55.0,47.0,56.0,53.0,47.0,53.0,50.0,48.0,48.0,47.0,47.0
150,53.0,53.0,53.0,48.0,45.0,48.0,49.0,46.0,46.0,46.0,45.0
151,60.0,52.0,55.0,48.0,52.0,48.0,50.0,53.0,52.0,47.0,47.0
152,55.0,48.0,55.0,54.0,47.0,54.0,51.0,49.0,49.0,47.0,48.0
153,49.0,48.0,53.0,41.0,41.0,41.0,50.0,42.0,41.0,41.0,43.0
154,55.0,46.0,52.0,42.0,47.0,42.0,50.0,47.0,47.0,43.0,43.0
155,51.0,43.0,52.0,47.0,43.0,47.0,52.0,44.0,43.0,43.0,49.0
156,52.0,51.0,53.0,46.0,44.0,46.0,47.0,45.0,44.0,44.0,44.0
157,58.0,50.0,55.0,46.0,50.0,46.0,49.0,51.0,50.0,46.0,46.0
158,54.0,46.0,55.0,52.0,46.0,52.0,49.0,47.0,47.0,46.0,46.0
159,52.0,52.0,53.0,47.0,44.0,47.0,48.0,45.0,45.0,44.0,44.0
160,59.0,51.0,55.0,47.0,51.0,47.0,49.0,52.0,51.0,46.0,46.0
161,54.0,47.0,55.0,53.0,46.0,53.0,50.0,48.0,48.0,46.0,47.0
162,48.0,47.0,52.0,41.0,40.0,41.0,49.0,41.0,40.0,40.0,42.0
163,54.0,45.0,51.0,41.0,46.0,41.0,49.0,46.0,46.0,42.0,42.0
164,50.0,42.0,51.0,47.0,42.0,47.0,51.0,43.0,42.0,42.0,48.0
165,46.0,46.0,46.0,41.0,39.0,41.0,49.0,41.0,40.0,38.0,40.0
166,48.0,40.0,48.0,41.0,42.0,41.0,47.0,41.0,41.0,42.0,42.0
167,48.0,42.0,48.0,47.0,41.0,47.0,51.0,43.0,42.0,42.0,42.0
