Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
92,60.0,60.0,60.0,59.0,59.0,59.0,55.0,55.0
93,58.0,58.0,58.0,57.0,57.0,57.0,56.0,56.0
94,62.0,62.0,62.0,61.0,61.0,61.0,56.0,56.0
95,61.0,61.0,61.0,60.0,60.0,60.0,59.0,59.0
96,58.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0
97,59.0,60.0,60.0,59.0,59.0,59.0,57.0,57.0
98,60.0,60.0,60.0,60.0,60.0,60.0,59.0,58.0
99,58.0,57.0,58.0,57.0,56.0,57.0,57.0,57.0
100,61.0,61.0,61.0,60.0,60.0,60.0,58.0,58.0
101,62.0,62.0,62.0,61.0,61.0,61.0,59.0,59.0
102,58.0,57.0,58.0,57.0,57.0,57.0,57.0,57.0
103,62.0,62.0,62.0,61.0,61.0,61.0,58.0,58.0
104,63.0,63.0,63.0,62.0,62.0,62.0,59.0,59.0
105,58.0,57.0,58.0,58.0,57.0,58.0,57.0,57.0
106,59.0,59.0,59.0,59.0,59.0,59.0,56.0,56.0
107,63.0,63.0,63.0,62.0,62.0,62.0,58.0,58.0
108,55.0,55.0,55.0,54.0,54.0,54.0,55.0,55.0
109,54.0,54.0,53.0,55.0,55.0,55.0,55.0,55.0
110,56.0,56.0,55.0,55.0,55.0,54.0,56.0,56.0
111,58.0,58.0,58.0,57.0,57.0,57.0,53.0,53.0
112,56.0,56.0,54.0,56.0,56.0,56.0,55.0,55.0
113,57.0,57.0,56.0,56.0,56.0,55.0,56.0,56.0
114,57.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0
115,57.0,57.0,57.0,56.0,56.0,56.0,59.0,59.0
116,59.0,59.0,58.0,58.0,58.0,57.0,59.0,59.0
117,56.0,56.0,56.0,55.0,55.0,55.0,56.0,56.0
118,57.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0
119,59.0,59.0,59.0,58.0,58.0,58.0,60.0,60.0
120,57.0,57.0,57.0,58.0,58.0,58.0,53.0,53.0
121,54.0,54.0,54.0,55.0,55.0,55.0,52.0,52.0
122,59.0,59.0,57.0,58.0,58.0,56.0,55.0,55.0
123,58.0,58.0,58.0,57.0,57.0,57.0,55.0,55.0
124,58.0,58.0,58.0,59.0,59.0,59.0,56.0,56.0
125,59.0,59.0,59.0,58.0,58.0,58.0,59.0,59.0
126,57.0,57.0,57.0,58.0,58.0,58.0,56.0,55.0
127,58.0,58.0,58.0,60.0,60.0,60.0,56.0,56.0
128,59.0,59.0,59.0,59.0,59.0,59.0,60.0,58.0
129,57.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0
130,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0
131,60.0,60.0,60.0,59.0,59.0,59.0,59.0,59.0
132,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
133,58.0,58.0,58.0,59.0,59.0,59.0,58.0,58.0
134,60.0,60.0,60.0,59.0,59.0,59.0,59.0,59.0
135,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
136,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
137,59.0,59.0,59.0,59.0,59.0,59.0,59.0,58.0
138,57.0,57.0,57.0,57.0,57.0,57.0,51.0,51.0
139,56.0,56.0,56.0,55.0,55.0,55.0,52.0,52.0
140,59.0,59.0,59.0,58.0,58.0,58.0,55.0,55.0
