Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,45.0,49.0,49.0,51.0,47.0,47.0,51.0,44.0,46.0
83,44.0,44.0,49.0,50.0,48.0,47.0,49.0,45.0,43.0
84,50.0,44.0,54.0,52.0,45.0,42.0,47.0,48.0,48.0
85,46.0,50.0,50.0,50.0,51.0,47.0,50.0,49.0,45.0
86,49.0,49.0,54.0,54.0,47.0,48.0,53.0,50.0,45.0
87,50.0,43.0,54.0,52.0,45.0,41.0,47.0,48.0,44.0
88,46.0,48.0,50.0,50.0,48.0,44.0,50.0,49.0,45.0
89,49.0,49.0,54.0,54.0,47.0,45.0,53.0,50.0,45.0
90,44.0,44.0,44.0,48.0,46.0,41.0,48.0,43.0,40.0
91,41.0,45.0,46.0,43.0,46.0,43.0,46.0,39.0,41.0
92,44.0,45.0,44.0,42.0,44.0,43.0,45.0,39.0,39.0
93,44.0,45.0,46.0,47.0,45.0,42.0,47.0,48.0,44.0
94,45.0,46.0,51.0,43.0,46.0,47.0,45.0,44.0,46.0
95,50.0,50.0,47.0,44.0,46.0,47.0,45.0,44.0,44.0
96,44.0,44.0,46.0,48.0,45.0,41.0,48.0,48.0,43.0
97,45.0,45.0,51.0,44.0,46.0,43.0,45.0,44.0,42.0
98,50.0,50.0,47.0,44.0,46.0,43.0,45.0,44.0,45.0
99,44.0,45.0,46.0,46.0,44.0,42.0,46.0,47.0,45.0
100,46.0,46.0,51.0,42.0,50.0,46.0,44.0,43.0,45.0
101,50.0,51.0,47.0,43.0,45.0,47.0,44.0,43.0,46.0
102,44.0,45.0,46.0,47.0,44.0,42.0,47.0,47.0,43.0
103,46.0,46.0,51.0,43.0,50.0,44.0,45.0,43.0,43.0
104,50.0,51.0,47.0,43.0,45.0,47.0,44.0,43.0,46.0
105,44.0,42.0,46.0,47.0,40.0,41.0,47.0,47.0,38.0
106,44.0,43.0,48.0,42.0,46.0,42.0,45.0,43.0,40.0
107,45.0,48.0,47.0,43.0,42.0,43.0,44.0,43.0,44.0
108,43.0,40.0,50.0,49.0,50.0,40.0,42.0,46.0,44.0
109,39.0,41.0,45.0,50.0,49.0,40.0,45.0,41.0,45.0
110,40.0,41.0,50.0,50.0,48.0,46.0,44.0,42.0,45.0
111,44.0,44.0,47.0,49.0,46.0,42.0,43.0,47.0,50.0
112,41.0,45.0,49.0,50.0,47.0,45.0,47.0,42.0,42.0
113,42.0,45.0,49.0,50.0,48.0,45.0,45.0,43.0,43.0
114,46.0,45.0,50.0,48.0,45.0,41.0,43.0,46.0,49.0
115,45.0,46.0,50.0,49.0,48.0,44.0,46.0,47.0,44.0
116,47.0,46.0,54.0,54.0,47.0,45.0,49.0,48.0,42.0
117,46.0,43.0,50.0,48.0,42.0,38.0,43.0,46.0,45.0
118,45.0,44.0,50.0,49.0,48.0,40.0,46.0,47.0,42.0
119,47.0,46.0,54.0,54.0,47.0,42.0,49.0,48.0,42.0
120,45.0,45.0,45.0,49.0,44.0,41.0,44.0,41.0,41.0
121,41.0,46.0,47.0,44.0,47.0,44.0,42.0,40.0,42.0
122,45.0,46.0,45.0,43.0,43.0,41.0,40.0,39.0,40.0
123,45.0,46.0,47.0,48.0,46.0,41.0,43.0,46.0,45.0
124,46.0,47.0,52.0,43.0,47.0,44.0,42.0,45.0,47.0
125,51.0,51.0,48.0,44.0,47.0,44.0,41.0,44.0,45.0
126,45.0,45.0,47.0,49.0,46.0,41.0,44.0,46.0,41.0
127,46.0,46.0,52.0,44.0,47.0,44.0,42.0,45.0,42.0
128,51.0,51.0,48.0,44.0,47.0,44.0,41.0,44.0,46.0
129,45.0,46.0,47.0,47.0,45.0,42.0,42.0,45.0,46.0
130,46.0,47.0,52.0,42.0,51.0,43.0,41.0,44.0,46.0
131,51.0,52.0,48.0,43.0,46.0,48.0,40.0,44.0,47.0
132,45.0,46.0,47.0,48.0,45.0,42.0,43.0,45.0,41.0
133,46.0,47.0,52.0,43.0,51.0,43.0,41.0,44.0,44.0
134,51.0,52.0,48.0,44.0,46.0,48.0,40.0,44.0,47.0
135,45.0,43.0,47.0,48.0,41.0,38.0,43.0,45.0,39.0
136,45.0,44.0,49.0,43.0,47.0,39.0,41.0,44.0,41.0
137,46.0,49.0,48.0,44.0,42.0,43.0,40.0,44.0,45.0
138,40.0,44.0,40.0,39.0,41.0,40.0,38.0,37.0,40.0
139,42.0,43.0,37.0,38.0,42.0,39.0,42.0,36.0,40.0
140,40.0,40.0,40.0,38.0,42.0,43.0,41.0,38.0,39.0
141,44.0,45.0,44.0,39.0,43.0,40.0,38.0,39.0,41.0
142,42.0,44.0,42.0,40.0,42.0,43.0,42.0,39.0,46.0
143,41.0,42.0,45.0,40.0,42.0,43.0,42.0,39.0,43.0
144,44.0,44.0,44.0,39.0,43.0,40.0,39.0,39.0,40.0
145,42.0,43.0,42.0,41.0,41.0,43.0,42.0,40.0,46.0
146,41.0,42.0,45.0,40.0,41.0,42.0,41.0,39.0,41.0
147,44.0,45.0,45.0,40.0,43.0,41.0,37.0,41.0,44.0
148,45.0,45.0,46.0,39.0,42.0,47.0,41.0,44.0,47.0
149,45.0,45.0,45.0,39.0,41.0,47.0,41.0,42.0,44.0
150,44.0,45.0,46.0,41.0,43.0,41.0,38.0,41.0,43.0
151,45.0,45.0,47.0,40.0,42.0,47.0,41.0,45.0,48.0
152,45.0,45.0,45.0,40.0,42.0,47.0,41.0,42.0,45.0
153,44.0,44.0,46.0,41.0,43.0,41.0,38.0,41.0,39.0
154,42.0,45.0,47.0,40.0,42.0,43.0,41.0,45.0,45.0
155,41.0,45.0,44.0,40.0,42.0,43.0,41.0,42.0,42.0
156,43.0,44.0,45.0,39.0,42.0,41.0,37.0,41.0,44.0
157,45.0,46.0,46.0,38.0,41.0,46.0,40.0,43.0,48.0
158,45.0,46.0,44.0,38.0,40.0,47.0,43.0,41.0,44.0
159,44.0,45.0,46.0,40.0,42.0,41.0,37.0,41.0,43.0
160,45.0,46.0,47.0,39.0,42.0,46.0,41.0,44.0,47.0
161,45.0,46.0,44.0,39.0,41.0,47.0,43.0,42.0,45.0
162,44.0,45.0,46.0,40.0,42.0,40.0,37.0,41.0,40.0
163,43.0,44.0,47.0,39.0,42.0,42.0,41.0,44.0,44.0
164,40.0,44.0,44.0,39.0,41.0,45.0,43.0,42.0,42.0
165,43.0,42.0,41.0,39.0,38.0,37.0,36.0,41.0,38.0
166,41.0,42.0,42.0,38.0,38.0,37.0,41.0,44.0,39.0
167,38.0,42.0,42.0,39.0,37.0,41.0,41.0,42.0,40.0
