Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,41.0,41.0,41.0,44.0,41.0
144,36.0,35.0,35.0,44.0,37.0
145,38.0,38.0,38.0,39.0,37.0
146,40.0,40.0,40.0,39.0,37.0
147,39.0,39.0,39.0,49.0,41.0
148,41.0,41.0,41.0,44.0,42.0
149,44.0,44.0,44.0,44.0,41.0
150,40.0,39.0,39.0,50.0,41.0
151,42.0,42.0,42.0,44.0,41.0
152,44.0,44.0,44.0,45.0,41.0
153,36.0,35.0,35.0,45.0,38.0
154,38.0,38.0,38.0,39.0,37.0
155,38.0,38.0,38.0,40.0,36.0
156,38.0,38.0,38.0,49.0,40.0
157,40.0,40.0,40.0,43.0,41.0
158,43.0,43.0,43.0,44.0,40.0
159,39.0,39.0,39.0,50.0,41.0
160,41.0,41.0,41.0,44.0,41.0
161,43.0,43.0,43.0,45.0,40.0
162,40.0,39.0,39.0,45.0,42.0
163,42.0,42.0,42.0,40.0,41.0
164,42.0,42.0,42.0,45.0,38.0
165,31.0,31.0,31.0,40.0,33.0
166,35.0,35.0,34.0,35.0,35.0
167,38.0,38.0,37.0,40.0,34.0
