Turn 6,Turn 7,Score,Connecting Exits,Longest Railway,Longest Highway,Centre Points,Errors,Bonus Point
0,0,54,26,13,10,8,-4,1
0,1,55,27,13,10,8,-4,1
0,2,52,26,10,11,8,-4,1
0,3,53,27,11,10,8,-5,1
0,4,54,27,13,9,8,-4,1
0,5,52,26,11,10,8,-5,1
0,6,54,27,13,10,8,-4,1
0,7,53,27,12,10,8,-5,1
